Issuer_id,1_1,1_2,1_3,1_4,1_5,1_6,1_7,1_8,1_9,1_10,1_11,1_12,2_1,2_2,2_3,2_4,2_5,2_6,2_7,2_8,2_9,2_10,2_11,2_12,3_1,3_2,3_3,3_4,3_5,3_6,3_7,3_8,3_9,3_10,3_11,3_12,4_1,4_2,4_3,4_4,4_5,4_6,4_7,4_8,4_9,4_10,4_11,4_12,5_1,5_2,5_3,5_4,5_5,5_6,5_7,5_8,5_9,5_10,5_11,5_12,6_1,6_2,6_3,6_4,6_5,6_6,6_7,6_8,6_9,6_10,6_11,6_12
355212,1,182,623,118,60,72,0,0,0,0,0,0,168,546,336,239,168,64,19,63,58,36,11,4,31,227,167,260,234,66,2,30,29,33,10,0,0,0,0,4,12,2,0,21,9,4,2,0,214,143,198,224,223,40,8,65,52,18,9,3,0,0,0,0,0,0,0,0,0,0,0,0
355218,2,260,478,384,53,139,3,0,0,0,0,0,362,684,360,332,157,83,19,10,17,3,3,0,80,52,64,46,35,17,3,13,5,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,28,86,99,71,42,14,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
358857,0,0,10,0,0,0,0,0,0,0,0,0,0,31,59,83,55,83,141,502,485,465,397,494,0,16,23,34,16,17,28,161,90,54,43,36,0,0,1,6,6,5,9,97,72,61,49,53,0,14,41,69,33,17,43,294,161,180,114,134,0,0,0,0,0,0,0,0,2,2,1,0
358204,0,0,0,0,0,0,0,0,0,0,0,0,0,17,8,20,21,36,52,673,755,528,539,525,0,0,0,4,3,6,5,49,65,32,29,31,0,0,0,0,2,0,1,55,63,26,14,15,0,3,9,5,15,8,10,118,124,88,58,48,0,0,1,0,0,0,0,21,13,2,0,0
357338,0,5,0,0,0,0,0,1,0,0,0,0,0,2,187,459,34,222,478,833,736,435,227,128,0,0,25,70,10,47,101,140,113,48,20,19,0,0,2,6,0,19,48,65,169,107,42,43,0,2,28,79,9,39,140,178,301,197,94,102,0,0,0,0,0,0,0,0,0,0,0,0
357086,0,3,11,20,1,8,0,0,0,0,0,0,0,32,304,668,315,278,994,478,475,202,313,206,0,1,25,76,40,13,81,54,52,15,15,8,0,2,14,78,29,15,123,83,89,23,47,36,0,5,136,211,72,50,158,131,124,74,86,68,0,1,0,0,0,0,0,0,1,0,0,1
330291,2,344,691,148,16,553,20,0,0,0,0,0,294,416,234,358,144,73,20,12,26,7,1,0,118,71,63,251,108,77,7,24,24,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,22,28,91,109,12,23,1,38,20,6,3,0,4,0,0,0,0,0,0,0,0,0,0,0
350423,0,0,1,0,0,6,11,0,0,0,0,0,0,9,49,26,19,16,221,422,251,127,112,220,0,3,0,1,1,2,59,41,28,12,12,11,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,13,46,21,106,622,660,230,203,635,0,0,0,0,0,0,0,0,0,0,0,0
350424,0,2,25,0,0,0,0,0,0,0,0,0,2,88,96,108,96,42,48,308,608,481,440,226,0,13,11,33,26,16,13,51,48,40,28,14,0,0,0,1,1,0,1,0,1,0,0,0,0,15,17,45,22,11,12,55,93,60,43,14,0,0,4,3,5,1,7,64,100,8,1,1
350425,29,126,321,181,5,159,0,0,0,0,0,0,139,276,131,96,31,39,1,7,5,20,52,35,40,162,72,55,37,25,2,10,1,12,21,12,0,0,3,0,3,2,2,0,0,0,0,0,73,147,164,114,19,27,4,5,1,11,13,7,8,47,0,0,2,1,1,0,0,0,0,0
