Issuer_id,Week_AM_14_,Week_AM_38_,Week_AM_69_,Week_AM_21_,Week_AM_37_,Week_AM_20_,Week_AM_31_,Week_AM_16_,Week_AM_46_,Week_AM_40_,Week_AM_47_,Week_AM_19_,Week_AM_42_,Week_AM_71_,Week_AM_17_,Week_PM_14_,Week_PM_38_,Week_PM_69_,Week_PM_21_,Week_PM_37_,Week_PM_20_,Week_PM_31_,Week_PM_16_,Week_PM_46_,Week_PM_40_,Week_PM_47_,Week_PM_19_,Week_PM_42_,Week_PM_71_,Week_PM_17_,Weekend_AM_14_,Weekend_AM_38_,Weekend_AM_69_,Weekend_AM_21_,Weekend_AM_37_,Weekend_AM_20_,Weekend_AM_31_,Weekend_AM_16_,Weekend_AM_46_,Weekend_AM_40_,Weekend_AM_47_,Weekend_AM_19_,Weekend_AM_42_,Weekend_AM_71_,Weekend_AM_17_,Weekend_PM_14_,Weekend_PM_38_,Weekend_PM_69_,Weekend_PM_21_,Weekend_PM_37_,Weekend_PM_20_,Weekend_PM_31_,Weekend_PM_16_,Weekend_PM_46_,Weekend_PM_40_,Weekend_PM_47_,Weekend_PM_19_,Weekend_PM_42_,Weekend_PM_71_,Weekend_PM_17_
355212,422,122,428,761,8,252,84,50,1,15,553,126,10,29,75,39,19,61,0,17,21,23,7,0,2,62,9,11,3,10,65,48,13,119,0,79,19,29,1,11,50,20,0,6,21,20,4,0,0,0,6,0,0,0,5,1,2,0,4,2
355218,310,30,0,1003,1,176,0,210,24,97,0,35,0,39,22,7,2,0,2,0,2,0,8,3,1,0,1,0,0,1,175,54,0,162,1,125,0,71,15,225,0,30,0,31,54,8,0,0,0,0,3,0,0,1,7,0,8,0,0,2
358857,14,0,80,0,0,1,49,0,1,5,12,4,7,1,2,340,121,510,0,79,61,1190,27,50,69,109,91,196,27,58,50,15,29,10,2,1,63,0,12,34,44,11,5,5,2,37,37,14,0,14,4,41,0,12,35,7,10,3,3,4
358204,17,0,2,0,0,4,14,0,0,0,1,0,1,1,0,941,41,202,0,25,80,1344,48,78,35,30,39,126,25,31,47,19,7,0,0,0,7,0,6,2,3,0,1,4,1,50,14,1,0,5,2,6,5,11,6,0,2,0,1,0
357338,607,1,65,5,0,0,12,23,105,16,0,27,26,16,79,858,146,239,1,108,135,120,604,245,38,0,39,128,52,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,287,23,0,185,5,72,15,16,32,0,7,9,40,54
357086,592,47,271,37,22,42,53,392,102,46,0,39,94,24,104,489,135,118,0,165,116,166,656,106,55,0,50,120,58,179,104,4,0,1,3,4,2,1,2,18,0,4,0,22,42,182,109,8,0,51,69,106,47,5,99,0,5,1,67,69
330291,514,31,0,1202,0,221,0,7,320,150,0,76,0,34,18,13,43,0,19,1,9,0,0,35,15,0,7,0,4,0,25,120,0,283,0,116,0,0,19,147,0,16,0,16,7,1,1,0,0,0,3,0,2,1,2,0,3,0,0,0
350423,12,46,1,6,0,39,0,0,0,5,0,0,0,3,6,185,1378,145,11,0,407,42,17,22,65,41,26,0,158,124,6,19,1,1,0,25,0,2,0,2,0,1,0,4,4,32,424,2,0,0,68,3,19,0,35,1,3,0,54,58
350424,119,10,52,10,1,8,129,4,13,7,64,30,1,4,7,638,28,92,0,0,34,898,31,52,9,98,56,2,16,19,19,11,3,11,0,8,22,9,2,1,2,4,0,0,1,15,0,2,0,0,1,21,0,1,0,0,1,0,0,0
350425,259,103,0,724,8,102,0,46,99,122,0,53,0,43,14,20,8,0,0,2,10,0,28,21,25,0,0,0,1,0,23,44,0,97,0,6,0,5,5,28,0,8,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
346409,1145,14,466,33,3,23,140,12,108,6,278,60,23,10,25,6,0,4,0,0,1,3,0,0,0,2,0,2,0,0,27,2,7,0,0,0,4,1,3,1,6,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330692,941,77,390,227,55,168,152,127,24,116,248,73,0,42,16,102,4,65,7,29,14,53,14,13,19,21,19,0,5,1,55,17,39,2,5,15,7,6,10,69,18,13,0,14,1,76,15,25,0,8,14,9,38,15,70,26,31,0,14,5
355453,798,34,113,274,1,250,3,623,303,4,362,31,2,50,76,13,1,74,0,0,7,9,22,16,1,26,1,22,11,4,40,12,11,45,0,6,4,100,33,1,66,0,0,5,16,5,0,0,0,0,2,4,5,0,0,2,0,0,0,4
355156,489,25,15,1158,5,126,3,134,48,90,0,120,0,27,6,31,2,0,53,0,16,3,3,7,17,0,25,0,3,1,199,42,1,134,6,189,0,53,28,131,0,96,0,33,13,46,12,0,0,4,19,0,3,9,21,0,37,0,2,4
349570,172,254,0,2816,10,121,0,40,110,125,0,310,0,110,23,91,28,0,57,14,38,0,138,246,67,0,198,0,25,23,31,148,0,550,8,31,0,7,46,51,0,90,0,20,1,5,8,0,0,1,3,0,3,29,3,0,22,0,3,1
342966,1460,2,9,31,0,29,1079,19,96,354,187,54,0,8,24,139,0,0,0,0,26,77,19,153,118,6,30,0,7,0,44,0,0,0,0,4,30,2,16,7,3,7,0,0,0,24,0,0,0,0,0,23,4,4,1,3,1,0,0,0
349576,272,0,409,0,0,1,41,0,1,8,77,4,160,10,3,357,6,766,0,2,5,303,0,2,23,103,11,593,22,7,35,230,25,0,53,2,12,1,0,6,16,1,3,25,0,47,73,9,0,41,2,2,6,0,14,6,0,4,20,1
352036,139,69,199,979,4,197,445,25,26,11,231,36,6,41,25,112,23,150,11,3,133,357,8,43,4,70,15,15,13,25,108,105,15,219,0,29,73,31,14,29,48,35,0,15,63,131,12,4,0,1,25,26,21,8,44,13,23,2,18,57
357771,8,0,3,0,0,0,4,0,0,0,3,1,0,0,0,1530,13,69,0,2,15,1275,97,160,5,120,21,29,1,15,36,19,6,0,0,1,6,1,5,1,5,1,0,0,1,98,21,1,0,0,1,18,9,30,2,2,6,0,3,0
356964,1,3,0,0,1,18,0,18,2,0,0,0,0,1,3,468,84,7,0,71,716,18,1282,123,24,0,18,6,25,25,5,6,0,3,0,3,0,3,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
358126,141,702,8,778,651,34,0,233,3,42,0,30,2,29,2,74,380,2,11,495,27,0,22,8,51,0,26,0,35,1,9,260,0,22,138,4,0,5,0,7,0,0,0,20,2,1,54,0,0,36,4,0,0,1,4,0,1,0,6,0
358128,141,138,184,126,76,13,21,9,6,18,42,10,41,96,0,598,136,1001,2,334,4,359,98,24,46,231,30,608,146,6,55,115,31,1,35,6,6,8,9,39,29,8,9,77,2,27,36,9,0,43,1,9,4,8,29,0,9,2,33,0
355205,198,394,23,836,272,132,5,54,16,192,0,91,1,125,44,50,292,15,29,298,75,5,49,14,94,0,69,6,50,20,45,11,0,0,3,58,0,20,2,118,0,67,0,33,53,17,3,0,0,1,24,0,16,1,60,0,34,0,13,43
359336,8,34,0,6,22,4,0,2,2,6,0,3,0,5,0,38,464,0,0,440,26,0,15,62,69,0,23,0,62,3,0,85,0,0,19,5,0,0,2,11,0,1,0,10,1,0,27,0,0,16,2,0,1,1,1,0,0,0,8,0
346330,940,0,9,76,0,176,320,271,52,40,95,48,0,22,70,400,0,0,0,0,143,79,236,25,15,15,28,0,13,83,230,78,0,115,0,81,32,95,13,17,3,15,0,4,27,54,0,1,0,0,63,13,41,9,6,2,6,0,3,5
358607,2,1,9,1,1,0,5,0,0,0,0,0,2,3,0,300,277,506,0,167,80,777,21,41,34,106,32,151,52,48,13,13,9,4,3,0,7,0,0,2,2,1,0,3,1,5,17,2,0,5,0,8,0,0,0,0,0,0,2,1
350433,216,207,0,1757,4,219,0,25,69,832,0,65,0,114,1,17,4,0,8,1,5,0,1,48,26,0,3,0,2,0,105,50,0,298,1,81,0,1,8,282,0,29,0,46,2,0,1,0,0,0,0,0,0,0,12,0,3,0,2,0
358603,31,15,208,0,7,0,21,0,2,5,42,3,30,5,1,486,147,472,0,132,16,834,36,41,38,209,57,323,39,41,55,58,30,3,13,0,30,4,7,15,51,12,4,9,5,23,41,16,0,20,0,31,3,4,23,29,4,5,10,1
358214,32,0,1,0,0,1,14,0,3,1,1,0,4,3,0,868,125,172,0,105,52,1154,35,64,43,74,52,127,41,39,23,8,2,0,0,1,5,0,2,3,1,4,0,3,0,49,12,1,0,5,1,10,5,9,6,1,9,1,2,0
358608,152,75,0,330,63,27,1,41,8,33,6,20,0,16,8,433,430,1,35,469,125,8,394,70,164,3,94,0,65,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,139,0,0,128,30,27,103,18,48,2,10,0,24,6
331510,1,0,0,2,0,2,0,2,0,1,0,0,0,0,0,943,58,32,3,49,529,231,443,85,184,0,169,2,39,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,1,4,0,3,0,2,0,3,0,1,7
350439,18,249,1,20,1,7,0,4,14,23,0,18,0,9,1,304,215,164,8,0,20,340,10,38,36,24,75,3,3,28,0,13,0,0,0,0,0,1,1,1,0,0,0,0,0,7,15,1,0,0,1,1,1,0,2,1,0,0,2,0
355619,17,17,7,31,5,11,1,8,30,7,0,0,0,1,2,426,125,36,17,37,604,45,383,672,74,0,52,1,50,55,19,5,0,1,1,40,1,3,8,12,0,5,0,2,5,33,0,0,0,0,29,1,1,6,12,0,10,0,5,1
355492,86,44,0,737,1,169,0,15,121,348,0,34,0,75,5,3,2,0,26,0,3,0,0,15,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355050,322,104,223,349,15,256,50,83,337,12,468,100,2,15,53,13,8,53,0,5,9,7,22,17,3,24,4,23,6,9,29,22,7,44,1,7,2,7,30,2,45,7,0,1,6,26,3,0,0,0,21,0,0,5,1,4,7,0,0,4
341298,83,6,82,3,0,5,82,4,69,0,35,5,9,0,5,162,36,188,1,12,20,863,38,124,4,64,23,144,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357073,11,21,13,6,12,7,11,2,1,0,0,1,2,3,0,254,977,150,0,817,250,181,79,115,7,0,39,83,143,27,25,367,13,93,71,19,14,6,20,0,0,8,1,29,0,1,97,3,0,43,1,3,2,4,0,0,0,0,6,0
356484,149,1,309,0,0,0,16,0,1,5,277,13,23,26,73,422,239,777,0,73,7,64,43,9,5,410,68,143,34,79,51,77,92,71,1,0,22,0,3,2,97,17,8,14,30,4,37,14,0,13,3,6,0,1,0,9,1,0,0,1
347687,2333,2,72,21,0,12,180,61,25,63,475,282,0,49,52,497,3,18,0,0,6,76,78,67,22,66,36,0,21,4,106,8,11,0,0,8,26,14,13,31,74,23,0,53,1,93,3,10,0,0,6,46,26,16,31,24,28,0,18,2
355113,201,959,13,832,396,71,5,138,2,93,0,44,2,60,7,91,299,1,4,307,195,0,28,4,75,0,24,0,26,3,17,275,4,23,68,23,0,7,2,58,0,9,0,44,0,60,62,0,0,35,34,0,10,3,137,0,39,0,57,3
355446,415,1,1187,0,1,3,103,0,3,38,270,41,92,20,19,135,2,580,0,7,1,97,0,1,14,146,12,241,6,72,70,86,149,0,9,0,50,1,0,4,37,9,19,3,7,5,5,15,0,0,0,6,0,0,2,2,1,1,0,0
355117,382,160,0,793,2,152,0,20,110,552,0,44,0,98,22,18,13,0,24,2,3,0,1,8,16,0,8,0,8,0,13,7,0,0,0,24,0,0,3,177,0,12,0,17,1,2,0,0,0,0,1,0,0,1,4,0,0,0,0,0
356356,514,60,282,795,6,75,71,20,106,33,759,183,4,23,93,6,40,19,0,30,6,15,2,2,6,22,6,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348566,1305,2,158,0,0,17,340,36,140,28,196,75,11,7,21,127,2,11,0,0,5,63,13,11,2,14,13,3,0,5,33,7,0,0,1,0,6,2,8,1,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
