Issuer_id,1_AM_14_,1_AM_38_,1_AM_69_,1_AM_21_,1_AM_37_,1_AM_20_,1_AM_31_,1_AM_16_,1_AM_46_,1_AM_40_,1_AM_47_,1_AM_19_,1_AM_42_,1_AM_71_,1_AM_17_,1_PM_14_,1_PM_38_,1_PM_69_,1_PM_21_,1_PM_37_,1_PM_20_,1_PM_31_,1_PM_16_,1_PM_46_,1_PM_40_,1_PM_47_,1_PM_19_,1_PM_42_,1_PM_71_,1_PM_17_,2_AM_14_,2_AM_38_,2_AM_69_,2_AM_21_,2_AM_37_,2_AM_20_,2_AM_31_,2_AM_16_,2_AM_46_,2_AM_40_,2_AM_47_,2_AM_19_,2_AM_42_,2_AM_71_,2_AM_17_,2_PM_14_,2_PM_38_,2_PM_69_,2_PM_21_,2_PM_37_,2_PM_20_,2_PM_31_,2_PM_16_,2_PM_46_,2_PM_40_,2_PM_47_,2_PM_19_,2_PM_42_,2_PM_71_,2_PM_17_,3_AM_14_,3_AM_38_,3_AM_69_,3_AM_21_,3_AM_37_,3_AM_20_,3_AM_31_,3_AM_16_,3_AM_46_,3_AM_40_,3_AM_47_,3_AM_19_,3_AM_42_,3_AM_71_,3_AM_17_,3_PM_14_,3_PM_38_,3_PM_69_,3_PM_21_,3_PM_37_,3_PM_20_,3_PM_31_,3_PM_16_,3_PM_46_,3_PM_40_,3_PM_47_,3_PM_19_,3_PM_42_,3_PM_71_,3_PM_17_,4_AM_14_,4_AM_38_,4_AM_69_,4_AM_21_,4_AM_37_,4_AM_20_,4_AM_31_,4_AM_16_,4_AM_46_,4_AM_40_,4_AM_47_,4_AM_19_,4_AM_42_,4_AM_71_,4_AM_17_,4_PM_14_,4_PM_38_,4_PM_69_,4_PM_21_,4_PM_37_,4_PM_20_,4_PM_31_,4_PM_16_,4_PM_46_,4_PM_40_,4_PM_47_,4_PM_19_,4_PM_42_,4_PM_71_,4_PM_17_,5_AM_14_,5_AM_38_,5_AM_69_,5_AM_21_,5_AM_37_,5_AM_20_,5_AM_31_,5_AM_16_,5_AM_46_,5_AM_40_,5_AM_47_,5_AM_19_,5_AM_42_,5_AM_71_,5_AM_17_,5_PM_14_,5_PM_38_,5_PM_69_,5_PM_21_,5_PM_37_,5_PM_20_,5_PM_31_,5_PM_16_,5_PM_46_,5_PM_40_,5_PM_47_,5_PM_19_,5_PM_42_,5_PM_71_,5_PM_17_,6_AM_14_,6_AM_38_,6_AM_69_,6_AM_21_,6_AM_37_,6_AM_20_,6_AM_31_,6_AM_16_,6_AM_46_,6_AM_40_,6_AM_47_,6_AM_19_,6_AM_42_,6_AM_71_,6_AM_17_,6_PM_14_,6_PM_38_,6_PM_69_,6_PM_21_,6_PM_37_,6_PM_20_,6_PM_31_,6_PM_16_,6_PM_46_,6_PM_40_,6_PM_47_,6_PM_19_,6_PM_42_,6_PM_71_,6_PM_17_,7_AM_14_,7_AM_38_,7_AM_69_,7_AM_21_,7_AM_37_,7_AM_20_,7_AM_31_,7_AM_16_,7_AM_46_,7_AM_40_,7_AM_47_,7_AM_19_,7_AM_42_,7_AM_71_,7_AM_17_,7_PM_14_,7_PM_38_,7_PM_69_,7_PM_21_,7_PM_37_,7_PM_20_,7_PM_31_,7_PM_16_,7_PM_46_,7_PM_40_,7_PM_47_,7_PM_19_,7_PM_42_,7_PM_71_,7_PM_17_
355212,53,22,46,145,1,89,13,18,0,1,65,15,1,4,12,13,7,17,0,4,6,10,2,0,0,23,7,5,2,5,99,34,80,155,3,42,16,8,0,2,126,26,1,11,17,13,4,16,0,3,8,3,2,0,1,11,0,3,0,2,82,32,90,119,0,36,17,8,0,1,122,25,6,5,10,10,5,18,0,5,6,6,1,0,1,23,0,1,1,3,99,13,112,175,4,42,18,7,1,4,113,34,2,6,11,1,1,8,0,2,0,2,1,0,0,3,0,2,0,0,89,21,100,167,0,43,20,9,0,7,127,26,0,3,25,2,2,2,0,3,1,2,1,0,0,2,2,0,0,0,53,48,13,119,0,77,19,28,0,7,50,18,0,5,14,6,4,0,0,0,1,0,0,0,0,1,0,0,1,0,12,0,0,0,0,2,0,1,1,4,0,2,0,1,7,14,0,0,0,0,5,0,0,0,5,0,2,0,3,2
355218,95,9,0,291,0,58,0,61,4,17,0,12,0,9,8,1,2,0,0,0,2,0,7,3,1,0,1,0,0,1,75,6,0,337,1,42,0,47,7,21,0,7,0,9,1,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,66,7,0,66,0,52,0,57,9,23,0,9,0,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,25,0,4,0,9,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,8,0,284,0,20,0,36,4,34,0,6,0,11,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,54,0,162,1,50,0,68,5,64,0,11,0,14,12,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,100,0,0,0,0,75,0,3,10,161,0,19,0,17,42,8,0,0,0,0,3,0,0,1,7,0,4,0,0,1
358857,0,0,13,0,0,0,9,0,0,1,1,0,2,0,0,71,32,115,0,18,6,256,5,3,18,23,22,35,3,13,4,0,39,0,0,0,20,0,0,2,4,3,2,1,0,71,22,89,0,16,17,215,5,15,13,30,18,45,6,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,9,85,0,6,15,210,8,6,9,16,19,43,5,7,9,0,18,0,0,1,18,0,1,0,4,1,2,0,2,69,35,111,0,24,11,261,3,15,14,20,15,38,9,13,1,0,10,0,0,0,2,0,0,2,3,0,1,0,0,63,23,110,0,15,12,248,6,11,15,20,17,35,4,12,47,15,29,10,2,1,63,0,12,24,44,11,5,5,2,25,37,14,0,14,2,41,0,7,13,7,7,3,3,3,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,12,0,0,0,0,2,0,0,5,22,0,3,0,0,1
358204,7,0,1,0,0,0,10,0,0,0,1,0,0,0,0,206,3,37,0,1,12,260,22,13,4,7,7,24,2,5,10,0,1,0,0,4,4,0,0,0,0,0,1,1,0,213,8,39,0,7,18,238,10,14,12,5,8,21,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,3,52,0,3,13,335,4,16,6,6,11,30,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,22,37,0,11,22,287,1,24,9,10,8,19,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,5,37,0,3,15,224,11,11,4,2,5,32,3,6,30,19,7,0,0,0,7,0,3,1,3,0,1,3,0,8,14,1,0,5,0,6,0,1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,3,1,0,0,0,1,1,42,0,0,0,0,2,0,5,10,6,0,2,0,1,0
357338,29,0,7,0,0,0,1,0,7,2,0,4,2,2,2,168,31,57,1,17,46,41,127,37,10,0,5,38,15,52,142,1,13,5,0,0,4,5,14,2,0,5,7,1,19,132,29,37,0,25,16,14,151,62,3,0,9,15,12,40,64,0,9,0,0,0,0,3,11,3,0,1,1,3,15,154,41,40,0,23,42,18,147,44,11,0,9,15,9,41,205,0,14,0,0,0,5,6,47,6,0,10,6,6,26,192,25,44,0,19,22,19,91,55,6,0,14,30,10,26,167,0,22,0,0,0,2,9,26,3,0,7,10,4,17,212,20,61,0,24,9,28,88,47,8,0,2,30,6,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192,287,23,0,185,5,72,15,16,32,0,7,9,40,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357086,127,24,64,23,14,22,13,164,25,16,0,12,17,10,29,43,27,10,0,23,18,18,64,13,6,0,5,2,11,20,102,5,46,8,1,5,11,40,16,6,0,5,18,5,13,121,39,25,0,46,26,62,139,21,22,0,7,23,15,41,108,4,35,2,3,1,11,50,23,5,0,5,22,3,19,89,13,25,0,32,12,30,153,23,8,0,9,9,7,25,143,5,56,3,3,8,10,70,26,13,0,6,18,4,21,96,44,22,0,51,48,35,154,21,14,0,18,35,17,35,112,9,70,1,1,6,8,68,12,6,0,11,19,2,22,140,12,36,0,13,12,21,146,28,5,0,11,51,8,58,8,4,0,1,3,0,2,0,0,1,0,0,0,0,0,81,103,8,0,51,55,106,40,2,49,0,1,1,28,22,96,0,0,0,0,4,0,1,2,17,0,4,0,22,42,101,6,0,0,0,14,0,7,3,50,0,4,0,39,47
330291,104,0,0,281,0,44,0,0,65,34,0,15,0,6,4,2,11,0,3,0,0,0,0,6,3,0,1,0,0,0,95,4,0,233,0,46,0,2,56,33,0,16,0,9,3,7,26,0,4,0,4,0,0,21,4,0,2,0,3,0,117,11,0,211,0,40,0,2,71,22,0,14,0,6,4,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,87,3,0,240,0,42,0,0,53,27,0,15,0,4,3,0,0,0,7,0,0,0,0,1,2,0,2,0,0,0,111,13,0,237,0,49,0,3,75,34,0,16,0,9,4,4,6,0,1,1,5,0,0,7,5,0,2,0,1,0,21,120,0,283,0,68,0,0,10,83,0,11,0,10,6,0,1,0,0,0,2,0,2,1,1,0,2,0,0,0,4,0,0,0,0,48,0,0,9,64,0,5,0,6,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
350423,9,34,0,0,0,31,0,0,0,5,0,0,0,2,3,34,288,23,0,0,86,2,3,6,11,4,6,0,29,30,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,45,248,29,11,0,85,14,9,4,13,4,6,0,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,273,40,0,0,79,10,2,0,18,15,10,0,34,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,279,29,0,0,85,7,1,4,8,5,2,0,21,13,3,12,1,0,0,7,0,0,0,0,0,0,0,1,3,28,290,24,0,0,72,9,2,8,15,13,2,0,37,30,6,19,1,1,0,25,0,2,0,2,0,1,0,4,4,32,424,2,0,0,68,3,19,0,35,1,3,0,54,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350424,29,1,9,2,0,1,31,0,7,1,16,3,0,1,0,128,6,12,0,0,11,211,9,7,3,19,8,0,6,5,13,2,11,0,0,4,22,0,2,2,8,3,1,0,1,167,5,15,0,0,8,197,6,10,3,29,8,0,3,3,16,2,7,1,0,1,12,2,2,3,13,9,0,2,2,92,8,14,0,0,1,151,11,6,1,15,8,1,6,7,36,2,14,0,0,2,40,2,1,0,13,8,0,1,3,90,4,29,0,0,2,132,1,12,0,19,15,1,0,1,25,3,11,7,1,0,24,0,1,1,14,7,0,0,1,161,5,22,0,0,12,207,4,17,2,16,17,0,1,3,19,11,3,11,0,8,22,9,2,1,2,4,0,0,1,15,0,2,0,0,1,21,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350425,51,14,0,206,0,21,0,9,22,13,0,6,0,12,5,8,2,0,0,0,3,0,2,5,11,0,0,0,1,0,68,11,0,161,5,16,0,9,20,23,0,10,0,7,5,2,0,0,0,2,1,0,9,4,4,0,0,0,0,0,46,32,0,93,1,23,0,9,18,31,0,7,0,12,3,6,2,0,0,0,3,0,7,5,5,0,0,0,0,0,49,25,0,160,2,24,0,7,23,23,0,14,0,6,1,4,4,0,0,0,3,0,10,5,5,0,0,0,0,0,45,21,0,104,0,18,0,12,16,32,0,16,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,14,44,0,97,0,5,0,3,3,23,0,7,0,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,1,0,2,2,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
