Issuer_id,AM_1_,AM_2_,AM_3_,AM_4_,AM_5_,AM_6_,PM_1_,PM_2_,PM_3_,PM_4_,PM_5_,PM_6_
355212,880,1326,836,18,909,0,0,156,90,28,123,0
355218,1165,1736,271,2,281,1,2,52,22,0,3,0
358857,10,272,98,14,139,0,0,2093,304,292,772,4
358204,0,94,12,2,40,1,0,2703,189,157,398,27
357338,5,831,133,26,139,0,1,2484,356,430,903,0
357086,38,1478,137,119,416,1,0,2360,192,340,564,2
330291,1485,1314,628,0,240,2,19,59,57,1,48,0
350423,7,108,7,0,78,0,11,1204,147,0,2271,0
350424,21,394,90,2,100,12,0,1804,162,2,238,132
350425,821,712,391,8,544,58,0,120,58,2,41,1
346409,33,1607,452,26,755,0,0,12,2,2,6,0
330692,229,2127,411,62,651,0,7,559,102,37,145,0
355453,319,2073,917,3,556,2,0,82,45,22,108,0
355156,1292,1886,127,12,199,1,53,252,27,4,31,0
349570,3366,1056,226,18,621,4,57,828,320,15,89,0
342966,31,3273,364,0,91,0,0,489,196,0,11,0
349576,0,395,95,216,734,4,0,797,114,640,936,16
352036,1198,1283,365,10,543,0,11,1003,160,21,275,0
357771,0,63,16,0,38,0,0,3179,394,31,229,16
356964,3,55,5,1,11,0,0,2585,235,78,142,0
358126,800,530,8,793,1075,0,11,220,15,531,504,0
358128,127,364,105,161,718,0,2,1325,350,987,1474,0
355205,836,1103,43,276,676,0,29,570,30,306,419,0
359336,6,42,7,41,150,0,0,193,77,456,615,0
346330,191,2599,227,0,258,4,0,1318,96,1,58,3
358607,5,42,3,6,42,4,0,1445,168,323,956,70
350433,2055,1921,237,5,915,0,8,68,64,1,31,0
358603,3,201,119,54,343,1,0,1710,352,480,787,12
358214,0,103,10,4,26,0,0,2443,236,238,532,1
358608,330,287,26,63,103,0,35,1569,155,597,752,0
331510,2,6,0,0,0,0,3,2683,407,52,203,0
350439,20,77,17,1,281,0,8,889,84,3,421,1
355619,32,138,58,6,40,13,17,1760,1048,43,276,83
355492,737,685,395,1,191,6,26,9,16,0,6,0
355050,393,1184,989,18,640,5,0,149,57,28,81,0
341298,3,216,106,9,209,1,1,1349,223,291,804,13
357073,99,108,32,86,459,1,0,891,242,1002,1452,9
356484,71,406,433,32,765,0,0,776,523,229,1387,4
347687,21,3606,704,0,289,0,0,1037,194,0,95,0
355113,855,738,27,466,1410,0,4,754,78,344,497,0
355446,0,880,340,121,1673,0,0,353,152,249,675,0
355117,793,1449,588,2,479,2,24,56,39,2,34,0
356356,795,1194,974,10,478,2,0,46,31,32,70,0
348566,0,1945,392,12,339,2,0,233,28,3,16,1
333386,1857,898,227,3,265,0,57,36,15,0,6,0
355567,3,121,13,17,78,0,20,2273,506,140,566,0
351929,0,226,9,0,67,0,0,2619,247,339,953,1
358119,0,138,34,1,27,0,0,3000,376,123,262,92
358847,41,574,54,57,167,0,0,1685,145,696,776,0
351280,1051,1722,573,5,302,90,17,153,39,0,17,2
346346,376,465,99,80,305,0,1,2673,415,345,699,0
356522,60,203,57,80,436,0,0,483,182,742,927,7
358194,470,502,100,216,560,0,10,2185,326,742,1018,0
358617,1,100,10,3,60,2,0,1148,164,1167,1713,10
356565,1080,993,358,131,1197,0,59,68,15,22,18,0
341943,0,574,200,81,544,16,0,819,198,303,657,23
358594,21,225,134,95,486,12,0,1313,430,839,1402,44
357724,97,332,128,120,367,0,0,1576,466,706,972,0
355283,784,2621,422,20,474,0,0,56,7,1,13,0
358873,0,56,30,8,38,1,0,1444,400,300,639,23
356314,304,230,15,610,649,0,10,412,47,1641,1382,0
340051,33,3371,380,0,55,0,0,843,254,0,11,0
345221,1916,1849,138,33,303,0,41,240,72,2,29,0
353424,777,1862,201,9,228,0,10,493,56,5,58,0
356259,0,213,8,2,33,0,6,2214,145,72,456,0
355144,51,2139,704,21,958,0,0,77,15,0,6,0
355145,0,161,1,0,24,2,0,2746,181,523,798,103
357751,0,2,0,0,3,0,0,1968,518,612,985,73
330001,108,2881,444,5,148,0,0,501,45,0,20,0
357802,0,66,20,7,37,0,0,1732,372,313,485,3
358187,0,8,2,0,12,0,0,1583,215,558,888,0
351274,17,3126,483,7,388,0,0,1013,356,8,79,0
345331,1563,1269,242,0,555,39,6,28,5,0,7,0
356214,927,610,34,637,1236,0,10,103,21,228,236,0
357360,5,1163,48,28,122,0,0,2597,109,934,1051,0
349850,2615,1100,339,1,573,37,9,12,5,0,10,2
346105,2224,1839,254,14,553,1,21,417,292,88,254,0
347593,1383,1755,254,7,221,0,14,110,17,16,47,0
355677,243,502,52,653,908,0,15,676,43,928,675,0
354084,114,451,41,8,292,0,0,2016,497,346,1016,0
355675,196,613,355,209,1561,0,0,317,112,299,520,0
346109,0,2121,558,17,529,3,0,115,9,1,4,0
345536,18,720,145,5,102,0,0,471,89,1,32,0
349481,81,774,111,46,229,0,0,2415,306,289,618,0
345560,1474,1556,557,0,265,0,17,6,2,0,3,0
348520,0,1810,120,2,202,0,0,0,0,0,0,0
344778,2178,2671,318,6,359,0,36,64,18,0,8,0
351997,2206,1209,301,1,626,1,36,139,88,1,125,0
353486,4,1490,120,1,291,40,0,291,18,0,21,5
351995,216,2157,436,57,534,3,1,808,139,23,208,4
355497,145,697,667,272,1766,0,0,83,58,63,138,0
357078,145,611,386,261,1482,0,0,288,107,325,518,0
357721,7,77,11,3,27,4,2,1846,303,47,207,17
357689,0,0,0,0,0,0,0,34,9,37,76,0
358579,4,641,33,28,126,0,0,1839,106,345,578,0
349538,96,2021,100,90,559,0,2,595,31,60,161,0
337778,271,418,255,314,733,3,132,390,199,489,643,2
333163,11,1839,638,1,223,1,0,342,170,0,22,0
358570,7,392,88,89,378,1,0,2265,252,503,734,1
353164,0,195,21,0,52,4,0,2085,192,401,665,15
356304,53,252,212,53,558,0,0,1808,563,710,1714,13
354098,2306,2277,138,17,374,0,17,394,87,8,61,0
351919,1,57,22,21,74,0,0,1629,191,697,956,3
353408,643,785,282,2,324,0,17,119,57,3,33,1
331220,372,1029,351,59,706,0,0,320,52,32,58,0
333733,0,4,3,0,3,0,0,1951,299,357,762,163
347674,1505,1640,194,0,329,0,16,20,15,0,4,0
352070,53,14,0,2,23,0,3,916,295,652,1288,0
347489,2380,3588,160,30,404,0,17,265,33,3,13,0
355080,262,978,1008,0,1335,0,0,1,5,0,4,0
358948,19,374,174,91,601,0,0,1240,322,533,1018,15
352992,296,339,52,9,163,0,11,1293,577,160,262,0
355451,768,1957,224,16,355,0,0,57,8,2,7,0
