Issuer_id,AM_1_,AM_2_,AM_3_,AM_4_,AM_5_,AM_6_,AM_7_,AM_8_,AM_9_,AM_10_,AM_11_,AM_12_,AM_13_,AM_14_,AM_15_,AM_16_,AM_17_,AM_18_,AM_19_,AM_20_,AM_21_,AM_22_,AM_23_,AM_24_,AM_25_,AM_26_,AM_27_,AM_28_,AM_29_,AM_30_,AM_31_,AM_32_,AM_33_,AM_34_,AM_35_,AM_36_,AM_37_,AM_38_,AM_39_,AM_40_,AM_41_,AM_42_,AM_43_,AM_44_,AM_45_,AM_46_,AM_47_,AM_48_,AM_49_,AM_50_,AM_51_,AM_52_,AM_53_,AM_54_,AM_55_,AM_56_,AM_57_,AM_58_,AM_59_,AM_60_,AM_61_,AM_62_,AM_63_,AM_64_,AM_65_,AM_66_,AM_67_,AM_68_,AM_69_,AM_70_,AM_71_,AM_72_,AM_73_,AM_74_,AM_75_,AM_76_,AM_77_,AM_78_,AM_79_,AM_80_,AM_81_,AM_82_,AM_83_,AM_84_,AM_85_,AM_86_,AM_87_,AM_88_,AM_89_,AM_90_,AM_91_,AM_92_,AM_93_,AM_94_,AM_95_,AM_96_,AM_97_,AM_98_,AM_99_,PM_1_,PM_2_,PM_3_,PM_4_,PM_5_,PM_6_,PM_7_,PM_8_,PM_9_,PM_10_,PM_11_,PM_12_,PM_13_,PM_14_,PM_15_,PM_16_,PM_17_,PM_18_,PM_19_,PM_20_,PM_21_,PM_22_,PM_23_,PM_24_,PM_25_,PM_26_,PM_27_,PM_28_,PM_29_,PM_30_,PM_31_,PM_32_,PM_33_,PM_34_,PM_35_,PM_36_,PM_37_,PM_38_,PM_39_,PM_40_,PM_41_,PM_42_,PM_43_,PM_44_,PM_45_,PM_46_,PM_47_,PM_48_,PM_49_,PM_50_,PM_51_,PM_52_,PM_53_,PM_54_,PM_55_,PM_56_,PM_57_,PM_58_,PM_59_,PM_60_,PM_61_,PM_62_,PM_63_,PM_64_,PM_65_,PM_66_,PM_67_,PM_68_,PM_69_,PM_70_,PM_71_,PM_72_,PM_73_,PM_74_,PM_75_,PM_76_,PM_77_,PM_78_,PM_79_,PM_80_,PM_81_,PM_82_,PM_83_,PM_84_,PM_85_,PM_86_,PM_87_,PM_88_,PM_89_,PM_90_,PM_91_,PM_92_,PM_93_,PM_94_,PM_95_,PM_96_,PM_97_,PM_98_,PM_99_
925657,1,0,1,4,0,0,0,1,1,25,76,0,42,1161,0,18,79,2,140,233,17,0,0,0,0,0,4,0,0,0,9,0,0,0,0,0,25,6,0,125,22,0,0,0,107,225,276,12,2,20,15,3,2,1,0,0,0,0,0,1,1,0,0,5,0,0,0,0,1,3,10,0,0,4,1,0,0,2,0,0,0,0,0,49,0,0,0,1,1,0,0,0,0,0,1,0,3,94,0,0,0,0,0,0,0,0,0,0,0,2,0,1,27,0,0,8,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,0,0,3,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
346086,0,0,0,0,0,0,0,0,0,11,0,0,0,372,0,516,7,2,46,110,566,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,56,155,0,141,0,0,0,0,0,46,0,11,0,13,11,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,10,42,1,0,4,1,0,0,0,0,0,0,5,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,46,0,92,2,0,24,35,25,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,20,0,27,0,0,0,0,2,18,0,3,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,1,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
934615,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,0,7,3,122,22,1,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,2,0,5,4,3,0,1,677,18,558,91,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359324,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,4,12,0,1,0,3,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,94,0,0,18,0,18,8,0,0,0,0,0,0,0,0,0,0,54,0,0,0,1,0,112,80,0,11,0,132,0,0,0,5,129,9,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159,4,14,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355607,0,0,0,0,0,0,0,0,0,4,0,0,5,35,0,27,6,0,34,28,260,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,265,329,0,73,0,0,0,0,0,29,0,15,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,34,52,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,4,37,0,31,2,0,53,24,39,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,370,355,0,107,0,2,0,0,0,43,0,10,0,9,2,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,12,30,55,0,0,11,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,13,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2,0,1,55,0,18,8,9,7,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,380,340,0,28,0,7,0,0,0,3,0,4,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,22,40,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331794,0,0,0,0,0,0,0,0,0,0,1,0,0,16,0,38,2,1,9,17,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,81,108,0,16,0,0,0,0,0,2,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,15,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,133,0,68,16,1,32,82,24,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,394,484,9,63,0,1,0,0,0,17,0,6,0,2,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,43,65,0,0,15,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,0,6,293,0,45,59,8,92,385,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,135,0,346,0,0,0,0,0,167,0,73,0,50,11,0,87,0,0,0,0,0,0,2,4,0,0,0,0,0,91,1,1,40,74,1,1,31,4,0,0,0,0,0,0,54,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
358856,0,0,0,0,0,0,0,0,0,10,0,0,2,137,0,27,9,0,66,25,214,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,352,689,0,129,0,0,0,0,2,28,0,6,0,11,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,31,1,1,0,0,0,0,0,0,0,0,3,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,33,0,6,8,0,29,33,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,191,212,3,50,0,0,0,0,1,19,0,1,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,14,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
926112,0,0,0,0,0,0,0,0,0,11,0,0,0,91,0,6,2,0,132,18,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,86,0,0,0,0,218,41,433,2,0,0,4,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,5,0,0,2,5,0,0,7,0,0,0,0,0,1,0,0,0,19,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,6,3,15,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
