Issuer_id,AM_1_,AM_2_,AM_3_,AM_4_,AM_5_,AM_6_,AM_7_,AM_8_,AM_9_,AM_10_,AM_11_,AM_12_,AM_13_,AM_14_,AM_15_,AM_16_,AM_17_,AM_18_,AM_19_,AM_20_,AM_21_,AM_22_,AM_23_,AM_24_,AM_25_,AM_26_,AM_27_,AM_28_,AM_29_,AM_30_,AM_31_,AM_32_,AM_33_,AM_34_,AM_35_,AM_36_,AM_37_,AM_38_,AM_39_,AM_40_,AM_41_,AM_42_,AM_43_,AM_44_,AM_45_,AM_46_,AM_47_,AM_48_,AM_49_,AM_50_,AM_51_,AM_52_,AM_53_,AM_54_,AM_55_,AM_56_,AM_57_,AM_58_,AM_59_,AM_60_,AM_61_,AM_62_,AM_63_,AM_64_,AM_65_,AM_66_,AM_67_,AM_68_,AM_69_,AM_70_,AM_71_,AM_72_,AM_73_,AM_74_,AM_75_,AM_76_,AM_77_,AM_78_,AM_79_,AM_80_,AM_81_,AM_82_,AM_83_,AM_84_,AM_85_,AM_86_,AM_87_,AM_88_,AM_89_,AM_90_,AM_91_,AM_92_,AM_93_,AM_94_,AM_95_,AM_96_,AM_97_,AM_98_,AM_99_,PM_1_,PM_2_,PM_3_,PM_4_,PM_5_,PM_6_,PM_7_,PM_8_,PM_9_,PM_10_,PM_11_,PM_12_,PM_13_,PM_14_,PM_15_,PM_16_,PM_17_,PM_18_,PM_19_,PM_20_,PM_21_,PM_22_,PM_23_,PM_24_,PM_25_,PM_26_,PM_27_,PM_28_,PM_29_,PM_30_,PM_31_,PM_32_,PM_33_,PM_34_,PM_35_,PM_36_,PM_37_,PM_38_,PM_39_,PM_40_,PM_41_,PM_42_,PM_43_,PM_44_,PM_45_,PM_46_,PM_47_,PM_48_,PM_49_,PM_50_,PM_51_,PM_52_,PM_53_,PM_54_,PM_55_,PM_56_,PM_57_,PM_58_,PM_59_,PM_60_,PM_61_,PM_62_,PM_63_,PM_64_,PM_65_,PM_66_,PM_67_,PM_68_,PM_69_,PM_70_,PM_71_,PM_72_,PM_73_,PM_74_,PM_75_,PM_76_,PM_77_,PM_78_,PM_79_,PM_80_,PM_81_,PM_82_,PM_83_,PM_84_,PM_85_,PM_86_,PM_87_,PM_88_,PM_89_,PM_90_,PM_91_,PM_92_,PM_93_,PM_94_,PM_95_,PM_96_,PM_97_,PM_98_,PM_99_
355212,0,0,0,0,0,0,0,0,0,45,0,0,6,487,0,79,96,3,146,331,880,0,3,0,0,0,0,0,0,0,103,0,0,0,0,0,8,170,0,26,0,10,0,0,0,2,603,68,0,6,12,0,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441,10,35,0,0,7,0,0,0,0,0,0,0,7,21,218,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,3,59,0,7,12,0,11,27,0,0,4,0,0,0,0,0,0,0,23,0,0,0,0,0,17,23,0,7,0,11,0,0,0,0,63,7,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,1,7,0,0,1,0,0,0,0,0,0,0,3,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355218,0,0,0,0,0,0,0,0,0,37,4,0,2,485,0,281,76,108,65,301,1165,0,1,48,0,1,0,0,0,0,0,0,0,0,0,0,2,84,0,322,0,0,0,0,0,39,0,42,0,111,11,0,33,0,0,0,0,0,3,29,2,0,0,2,0,1,1,0,0,32,70,0,0,35,1,0,0,0,0,0,0,14,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,15,0,8,3,3,9,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,4,0,8,0,6,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
358857,0,0,0,0,0,0,0,0,1,7,0,0,18,64,0,0,4,0,15,2,10,0,0,0,0,0,0,0,0,0,112,0,0,0,0,0,2,15,0,39,0,12,0,0,0,13,56,8,0,12,0,0,7,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,109,4,6,0,1,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,29,0,0,73,377,0,27,62,0,101,65,0,0,1,0,0,0,0,0,0,0,1231,0,0,0,4,0,93,158,0,104,0,199,0,0,0,62,116,37,0,50,1,0,35,0,0,0,0,0,0,0,0,1,0,13,0,0,0,0,524,22,30,3,6,5,0,0,0,0,0,0,0,4,2,18,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
358204,0,0,0,0,0,0,0,0,0,0,0,0,1,64,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1,0,0,19,0,2,0,2,0,0,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,3,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,3,1,0,70,991,0,53,31,0,41,82,0,0,9,0,0,0,0,0,0,0,1350,0,0,0,27,0,30,55,0,41,0,126,1,0,0,89,30,22,0,8,5,0,11,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,203,21,26,2,8,6,0,0,0,0,0,0,0,10,27,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357338,0,0,0,0,0,0,0,0,0,30,0,0,32,607,0,23,79,0,27,0,5,0,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,1,0,16,0,26,0,0,0,105,0,0,0,4,16,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,65,1,16,1,0,0,1,0,0,0,0,0,0,3,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,31,0,0,61,1050,0,619,241,3,46,140,1,0,6,14,0,9,0,0,0,0,192,0,0,0,0,0,293,433,0,70,0,137,0,0,2,261,0,22,0,20,37,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,262,20,92,0,0,5,1,0,0,0,0,0,0,42,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357086,0,0,0,1,0,0,0,0,0,17,0,0,17,696,0,393,146,0,43,46,38,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,25,51,0,64,0,94,0,0,0,104,0,4,0,12,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,271,11,46,0,0,6,1,0,1,0,0,0,0,14,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,19,671,0,703,248,0,55,185,0,0,0,2,0,0,0,0,0,0,272,0,0,0,1,0,216,244,3,154,0,121,0,0,0,111,0,8,0,48,13,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,126,37,125,0,0,9,2,0,1,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
330291,0,0,0,0,0,0,0,0,0,1,14,0,2,539,0,7,25,0,92,337,1485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,297,0,0,0,0,0,339,0,43,0,73,2,0,12,0,0,0,0,0,0,138,3,0,0,0,0,2,18,0,0,21,50,0,0,4,0,0,0,0,0,0,0,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,2,0,3,10,12,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0,17,0,0,0,0,0,36,0,7,1,10,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350423,0,0,0,0,0,0,0,0,0,1,0,0,0,18,0,2,10,0,1,64,7,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,7,0,0,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,2,217,0,36,182,0,29,475,11,0,1,102,0,0,0,0,0,0,45,0,0,0,0,0,0,1802,0,100,0,0,0,0,0,22,42,19,0,19,2,0,42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,147,73,212,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350424,0,0,0,0,0,0,0,1,0,7,0,0,11,138,0,13,8,2,34,16,21,0,0,1,0,0,0,0,0,0,151,0,0,0,12,0,1,21,0,8,0,1,0,0,0,15,66,1,0,1,5,0,1,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,55,1,4,0,2,1,0,0,0,0,0,0,0,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,41,653,0,31,19,9,57,35,0,0,0,1,0,0,0,0,0,0,919,0,0,0,129,0,0,28,0,9,0,2,0,0,0,53,98,3,0,2,2,0,2,0,0,0,0,0,1,0,1,0,0,8,0,1,0,0,94,5,16,0,2,7,0,0,2,0,0,0,0,84,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350425,0,0,0,0,0,0,0,1,0,22,0,0,1,282,0,51,19,8,61,108,821,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,8,147,0,150,0,0,0,0,0,104,0,114,0,21,40,1,31,0,0,0,0,0,0,7,68,0,0,0,0,58,5,4,0,34,46,4,10,8,1,0,0,0,0,0,0,114,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0,20,0,28,0,23,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,25,0,0,0,0,0,21,0,6,0,4,0,0,22,0,0,0,0,0,0,1,2,0,0,0,0,1,2,0,0,2,1,2,1,1,0,0,0,0,0,0,0,23,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
