Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
925657,4,352,145,3,21,0,3,422,179,3,11,0,0,344,171,7,20,0,5,348,125,8,16,0,0,6,5,0,0,0,0,4,1,0,0,0,5,604,59,4,9,1
346086,108,190,13,7,52,0,196,257,19,5,37,0,1,342,26,12,43,0,126,254,25,14,58,0,127,236,19,11,37,0,33,155,11,10,52,0,0,2,0,0,0,0
934615,0,1,8,0,0,0,1,26,212,1,10,0,0,32,284,0,4,0,0,28,286,2,3,0,0,37,317,2,3,0,0,67,252,0,7,0,0,2,10,0,0,0
359324,0,63,30,65,58,0,0,41,32,47,59,0,0,29,30,27,52,0,0,48,32,45,48,1,0,44,35,60,60,0,0,16,6,7,19,0,0,1,0,0,4,0
355607,66,98,25,117,201,0,67,109,19,157,193,0,1,103,28,135,153,0,22,89,26,104,172,0,143,87,27,122,159,0,0,3,2,2,19,0,0,0,0,0,0,0
359326,0,27,3,85,97,0,0,23,7,81,75,0,0,17,5,54,44,0,0,62,4,38,54,0,0,31,5,56,65,0,0,5,3,77,96,0,0,0,0,0,0,0
331794,1,53,0,52,67,0,20,82,11,125,199,0,0,119,5,89,156,0,12,120,10,98,150,0,21,126,17,119,184,0,0,12,0,2,14,0,0,0,0,0,0,0
357330,0,241,72,12,60,0,1,311,139,3,65,0,0,220,73,11,61,0,0,256,100,17,74,0,0,205,94,11,80,0,0,25,7,2,22,0,0,0,0,0,0,0
358856,64,123,13,91,195,0,51,113,20,90,195,0,7,91,15,105,134,0,58,101,14,105,158,0,64,86,13,93,147,0,0,57,3,65,183,0,0,0,0,0,0,0
926112,0,105,153,0,8,0,0,102,224,0,6,1,0,50,117,0,8,0,0,52,132,0,6,0,0,68,102,0,6,0,0,2,5,0,0,0,0,0,2,0,0,0
331074,66,68,8,0,31,1,16,85,8,0,34,5,7,22,10,0,21,2,38,65,12,1,29,0,37,28,18,0,27,2,0,47,2,0,43,10,0,71,6,0,63,4
920567,26,80,209,0,5,0,43,80,246,0,19,0,0,86,310,0,1,0,38,63,276,3,6,0,36,60,301,1,3,0,1,4,0,0,0,0,0,1,0,0,0,0
901890,1,142,25,0,13,0,0,199,34,0,18,0,0,221,35,1,32,0,1,203,37,0,25,0,0,167,29,0,28,0,0,3,0,0,0,0,0,1,0,0,1,0
348553,0,40,12,21,75,0,0,49,18,21,104,0,1,55,13,22,112,0,0,52,9,15,117,0,0,75,23,44,117,0,0,0,0,0,1,0,0,0,0,0,0,0
345369,0,184,55,4,136,0,0,211,62,6,120,0,0,177,65,12,131,0,0,170,67,15,139,0,0,149,67,4,126,0,0,57,25,8,77,0,0,0,0,0,0,0
331261,0,195,9,0,176,0,0,236,25,0,234,0,0,230,18,0,250,0,0,169,20,0,166,0,0,185,14,0,173,0,0,0,0,0,0,0,0,2,1,0,2,0
359325,0,0,0,0,0,0,0,22,0,90,71,0,0,19,1,53,45,0,0,32,0,62,66,0,0,29,0,90,66,0,0,11,1,71,95,0,0,0,0,0,0,0
894955,0,49,155,0,3,0,0,96,140,0,2,0,0,73,102,0,0,0,0,97,107,0,2,0,0,70,107,0,0,0,0,8,14,0,2,0,0,20,4,0,0,0
906659,3,57,152,0,0,0,0,49,133,3,1,0,2,37,152,0,2,0,3,54,120,1,1,0,0,35,82,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0
355685,83,133,67,64,133,0,63,157,78,77,166,0,0,174,52,94,160,0,58,253,53,92,145,0,112,168,119,77,153,0,0,0,0,0,0,0,0,0,0,0,0,0
355208,0,261,43,38,63,0,0,276,45,62,58,0,1,241,64,36,55,0,0,273,63,30,49,0,0,242,63,28,58,0,0,0,0,0,0,0,0,43,26,0,4,0
355207,0,147,94,23,47,0,0,166,114,14,61,0,0,88,69,11,34,0,0,88,60,9,20,0,0,106,71,7,37,0,0,0,0,0,0,0,0,0,0,0,0,0
359330,0,40,13,70,72,1,0,29,16,73,77,4,0,23,11,42,63,1,0,34,12,34,82,0,0,22,7,58,79,1,0,3,4,0,6,0,0,3,1,0,11,0
357678,8,90,57,55,226,0,3,126,62,38,238,1,1,113,104,47,223,0,7,79,59,45,250,0,20,121,83,68,244,0,0,1,0,0,3,0,0,21,2,0,5,0
932845,2,155,199,20,0,0,2,171,205,3,0,1,0,221,277,10,5,0,0,193,239,6,0,0,0,188,221,2,2,0,0,0,0,0,0,0,0,3,0,0,0,0
927373,1,41,225,0,0,0,0,45,227,1,3,0,0,29,242,0,0,0,1,49,178,0,4,0,0,1,3,0,0,0,0,6,2,0,1,0,0,11,2,0,3,0
