Issuer_id,1_1_,1_2_,1_3_,1_4_,1_5_,1_6_,2_1_,2_2_,2_3_,2_4_,2_5_,2_6_,3_1_,3_2_,3_3_,3_4_,3_5_,3_6_,4_1_,4_2_,4_3_,4_4_,4_5_,4_6_,5_1_,5_2_,5_3_,5_4_,5_5_,5_6_,6_1_,6_2_,6_3_,6_4_,6_5_,6_6_,7_1_,7_2_,7_3_,7_4_,7_5_,7_6_
355212,145,264,124,11,140,0,155,257,187,10,213,0,119,209,204,12,203,0,175,234,157,10,191,0,167,234,174,3,177,0,119,226,74,0,97,0,0,58,6,0,11,0
355218,291,308,29,0,39,1,338,240,28,1,33,0,66,263,47,0,42,0,25,29,1,0,5,0,285,218,31,0,37,0,162,299,56,1,90,0,0,431,101,0,38,0
358857,0,429,56,55,175,1,0,410,65,63,168,2,0,342,37,49,104,0,0,441,59,64,192,0,0,404,58,51,155,1,10,269,109,24,116,0,0,70,18,0,1,0
358204,0,546,29,26,65,4,0,545,28,29,83,3,0,565,36,33,74,7,0,539,45,30,97,4,0,455,37,35,64,10,0,62,9,6,49,0,0,85,17,0,6,0
357338,1,532,66,57,140,0,5,581,104,47,119,0,0,535,78,39,127,0,0,661,121,55,141,0,0,624,98,64,152,0,0,382,22,194,363,0,0,0,0,0,0,0
357086,23,582,46,56,158,0,8,616,53,91,157,0,2,544,70,66,100,1,3,685,73,107,166,0,1,648,53,84,151,0,1,366,18,55,155,2,0,397,16,0,93,0
330291,284,212,109,0,24,0,237,217,144,0,48,0,215,202,112,0,23,1,247,180,73,0,11,0,238,234,120,1,37,0,283,201,93,0,139,1,0,127,34,0,6,0
350423,0,242,27,0,395,0,17,227,29,0,340,0,0,205,29,0,362,0,0,175,15,0,343,0,0,201,35,0,386,0,1,262,19,0,523,0,0,0,0,0,0,0
350424,2,461,52,0,63,29,0,469,55,1,59,30,1,330,37,1,66,15,0,346,52,1,64,23,7,487,51,1,69,46,11,105,5,0,17,1,0,0,0,0,0,0
350425,206,146,90,0,102,10,161,150,71,7,84,15,93,161,83,1,110,12,160,159,92,2,116,9,104,135,94,0,92,9,97,62,13,0,75,2,0,19,6,0,6,2
346409,11,306,70,4,144,0,7,300,78,0,146,0,5,283,99,7,133,0,4,335,79,7,151,0,6,346,117,10,172,0,0,49,11,0,15,0,0,0,0,0,0,0
330692,73,465,54,13,115,0,53,484,112,20,133,0,0,339,71,15,130,0,51,445,96,16,125,0,57,441,92,22,150,0,2,210,42,13,128,0,0,302,46,0,15,0
355453,46,491,185,14,143,0,73,377,174,6,146,0,29,364,138,2,95,1,67,360,174,3,105,0,59,363,180,0,102,0,45,171,110,0,72,1,0,29,1,0,1,0
355156,451,357,24,0,26,0,64,81,3,1,3,0,70,376,18,3,49,0,232,157,17,0,7,0,394,278,21,2,21,0,134,429,31,10,93,1,0,460,40,0,31,0
349570,577,419,102,8,168,0,668,301,80,3,111,1,365,216,73,3,59,1,501,311,89,6,68,0,762,378,119,4,110,2,550,259,83,9,194,0,0,0,0,0,0,0
342966,4,545,94,0,22,0,9,938,140,0,26,0,7,734,124,0,18,0,10,691,97,0,14,0,1,704,76,0,20,0,0,150,29,0,2,0,0,0,0,0,0,0
349576,0,152,19,128,239,1,0,287,56,168,237,4,0,216,44,159,272,7,0,172,37,143,214,3,0,227,31,157,304,4,0,82,22,101,390,1,0,56,0,0,14,0
352036,290,505,77,3,144,0,223,261,85,6,103,0,64,355,135,12,165,0,213,265,72,4,124,0,200,180,58,3,78,0,219,327,84,3,168,0,0,393,14,0,36,0
357771,0,621,72,9,50,0,0,638,79,5,35,0,0,569,57,4,28,10,0,634,73,5,37,2,0,588,63,8,55,4,0,123,31,0,57,0,0,69,35,0,5,0
356964,0,651,47,28,34,0,0,550,75,8,34,0,0,487,43,16,27,0,0,570,33,21,24,0,0,369,38,6,26,0,3,13,4,0,8,0,0,0,0,0,0,0
358126,152,120,4,255,219,0,237,143,1,270,262,0,2,205,8,259,273,0,199,126,5,169,232,0,199,117,4,196,232,0,22,39,1,175,361,0,0,0,0,0,0,0
358128,46,321,80,234,394,0,41,310,87,236,423,0,0,288,97,203,371,0,28,270,72,197,338,0,13,265,61,189,301,0,1,76,36,89,238,0,0,159,22,0,127,0
355205,200,337,14,123,222,0,226,196,9,103,185,0,33,223,18,128,207,0,215,215,13,140,207,0,191,144,8,84,176,0,0,29,3,4,22,0,0,529,8,0,76,0
359336,0,45,22,107,169,0,6,44,14,117,158,0,0,37,8,66,85,0,0,28,17,76,110,0,0,57,16,96,101,0,0,24,7,35,142,0,0,0,0,0,0,0
