Issuer_id,Week_1_,Week_2_,Week_3_,Week_4_,Week_5_,Week_6_,Weekend_1_,Weekend_2_,Weekend_3_,Weekend_4_,Weekend_5_,Weekend_6_
925657,12,1472,625,21,68,0,5,608,60,4,9,1
346086,558,1279,102,49,227,0,33,157,11,10,52,0
934615,1,124,1107,5,20,0,0,69,262,0,7,0
359324,0,225,159,244,277,1,0,17,6,7,23,0
355607,299,486,125,635,878,0,0,3,2,2,19,0
359326,0,160,24,314,335,0,0,5,3,77,96,0
331794,54,500,43,483,756,0,0,12,0,2,14,0
357330,1,1233,478,54,340,0,0,25,7,2,22,0
358856,244,514,75,484,829,0,0,57,3,65,183,0
926112,0,377,728,0,34,1,0,2,7,0,0,0
331074,164,268,56,1,142,10,0,118,8,0,106,14
920567,143,369,1342,4,34,0,1,5,0,0,0,0
901890,2,932,160,1,116,0,0,4,0,0,1,0
348553,1,271,75,123,525,0,0,0,0,0,1,0
345369,0,891,316,41,652,0,0,57,25,8,77,0
331261,0,1015,86,0,999,0,0,2,1,0,2,0
359325,0,102,1,295,248,0,0,11,1,71,95,0
894955,0,385,611,0,7,0,0,28,18,0,2,0
906659,8,232,639,6,5,0,0,0,1,0,0,0
355685,316,885,369,404,757,0,0,0,0,0,0,0
355208,1,1293,278,194,283,0,0,43,26,0,4,0
355207,0,595,408,64,199,0,0,0,0,0,0,0
359330,0,148,59,277,373,7,0,6,5,0,17,0
357678,39,529,365,253,1181,1,0,22,2,0,8,0
932845,4,928,1141,41,7,1,0,3,0,0,0,0
927373,2,165,875,1,7,0,0,17,4,0,4,0
330978,199,516,171,8,207,5,5,340,89,13,115,2
358525,264,415,105,601,746,0,1,11,2,16,76,0
355618,0,1232,177,302,483,199,0,86,12,61,83,4
355057,1,1124,229,127,250,0,24,135,30,2,31,0
358896,0,276,14,602,434,0,0,34,3,161,202,0
358914,800,689,253,244,676,0,0,0,0,0,0,0
938339,110,180,89,4,48,0,1,215,45,9,15,0
355443,16,285,130,101,752,0,2,32,14,4,37,0
353431,602,920,123,146,534,0,0,0,0,0,0,0
355290,202,504,108,1,112,5,2,2,0,0,0,0
345513,0,645,273,208,823,0,9,32,6,7,40,0
922379,0,56,653,0,0,0,0,1,2,0,0,0
358878,0,832,172,441,726,0,0,0,0,0,0,0
330039,0,562,25,0,37,8,0,318,18,0,20,7
352995,5,602,190,81,383,0,19,152,17,17,159,0
352991,0,464,63,83,187,848,0,54,19,1,32,19
939874,92,258,563,14,37,0,0,5,4,0,2,0
351202,0,468,174,103,472,0,0,85,35,9,46,0
341891,0,536,181,84,784,0,0,0,0,0,0,0
940864,3,178,995,3,1,0,0,0,0,0,0,0
936299,36,368,883,5,72,0,23,71,122,3,41,0
352012,0,514,174,2,519,0,0,0,0,0,0,0
356498,154,851,153,114,644,0,5,116,31,18,121,0
358840,12,365,18,798,784,0,0,7,0,25,56,0
926560,4,312,159,2,7,1,0,9,2,1,0,0
355603,110,1034,149,238,937,0,5,158,20,12,244,0
916949,2,431,20,3,115,0,0,2,0,0,0,0
926024,98,261,1011,3,12,0,2,11,24,0,0,0
356310,6,759,366,155,740,1,0,9,2,2,1,0
355604,747,1250,51,87,266,2,0,0,0,0,0,0
355682,0,786,173,11,77,18,16,204,40,1,50,6
351933,0,1214,151,173,549,13,0,0,0,0,0,0
348515,459,883,84,187,563,0,0,19,4,26,51,0
357752,2,1078,128,623,805,0,0,0,0,0,0,0
357804,0,715,162,287,433,28,0,90,16,17,102,0
346357,283,1380,138,102,360,0,1,30,2,0,20,0
330551,136,1429,24,44,124,0,0,0,0,0,0,0
359294,0,157,14,323,319,0,0,0,0,0,0,0
895496,0,288,1000,5,5,0,0,0,2,0,0,0
357801,7,694,276,340,1297,0,11,60,13,20,98,0
915560,0,69,1121,5,1,1,0,8,18,0,0,0
927487,2,370,310,1,3,0,0,46,7,1,0,0
358664,0,553,35,613,718,0,0,90,6,178,332,0
356549,616,486,106,248,699,0,4,26,1,4,61,0
357367,14,727,195,312,759,1,11,57,15,13,67,0
350513,84,1321,33,46,122,0,15,93,7,11,106,0
331356,0,595,51,3,78,0,0,156,29,1,74,1
347594,0,719,212,41,429,3,0,35,1,0,6,0
942819,228,528,869,9,19,0,2,1,4,0,0,0
355678,3,185,145,42,421,0,1,15,16,10,37,0
345535,46,1303,148,0,61,0,0,34,0,0,1,0
330957,0,700,134,181,480,0,0,0,0,0,0,0
346166,0,940,330,148,822,0,2,260,133,5,143,0
346167,0,835,347,154,885,0,0,7,0,1,8,0
355316,185,205,22,114,153,0,3,139,26,4,126,0
341964,0,779,213,103,1024,0,0,5,0,3,4,0
346204,66,1053,295,0,95,38,0,82,26,0,1,24
358928,251,427,117,502,588,0,0,0,0,0,0,0
349904,0,1130,261,86,652,0,0,38,18,5,42,0
356276,804,566,123,297,653,0,6,5,1,5,10,0
351262,10,914,170,416,680,0,0,29,2,4,15,0
346192,0,584,153,114,743,0,0,25,4,0,0,0
357377,0,843,482,161,1026,0,0,0,0,0,0,0
358889,0,456,668,631,784,0,0,2,4,5,9,0
355418,1,507,205,111,1487,17,0,118,89,11,146,0
347679,0,588,196,1,725,0,0,1,0,0,0,0
347581,8,109,14,142,264,0,0,1,0,1,1,0
929025,1,429,240,5,3,0,0,2,5,0,0,0
354150,0,949,411,124,775,1,0,64,25,21,111,0
897937,212,398,352,6,38,0,1,42,50,2,32,0
341240,0,919,199,320,467,2,0,37,6,0,9,0
940460,0,165,544,0,0,0,0,3,4,0,0,0
350307,680,943,140,119,544,0,0,0,0,0,0,0
945266,9,319,1089,2,3,0,0,2,5,0,0,0
932402,7,930,1421,38,6,0,0,3,25,0,0,0
330068,0,455,147,175,593,0,0,8,1,7,10,0
330069,0,444,357,85,1012,0,0,0,0,0,0,0
927706,0,67,553,6,2,0,0,14,4,0,0,0
343930,455,486,73,82,347,0,0,0,0,0,0,0
345551,277,912,288,1,179,35,0,177,40,0,21,4
346045,217,400,333,174,367,0,0,0,1,0,1,0
345557,33,251,60,15,496,0,0,30,5,1,11,0
358647,9,716,248,718,836,0,0,22,2,14,20,0
351315,593,862,100,248,477,0,0,0,0,0,0,0
357345,0,612,135,0,482,0,0,0,0,0,0,0
347576,0,307,9,23,127,1,0,34,10,0,5,0
354048,0,819,115,120,185,18,0,0,0,0,0,0
358939,0,233,18,940,640,0,0,34,8,242,226,0
355231,27,442,140,396,978,0,0,23,0,0,1,0
355135,729,659,378,57,500,0,0,0,0,0,0,0
911170,0,273,401,1,0,0,0,0,1,0,0,0
357355,0,535,181,87,536,0,0,0,0,0,0,0
330924,0,828,372,37,557,0,0,62,5,8,43,0
343455,39,564,129,43,389,42,0,251,17,9,107,1
907041,22,201,1469,2,184,1,0,4,8,0,2,0
357702,608,393,152,255,657,0,0,0,0,0,0,0
332944,27,693,82,1,225,28,0,271,26,3,114,12
356219,57,897,258,174,377,0,0,364,38,0,26,0
927636,2,542,1052,5,5,0,0,1,3,0,0,0
358868,251,360,169,575,538,0,1,1,0,20,27,0
345388,2,480,224,77,659,0,0,14,1,3,26,0
356510,6,770,278,161,1168,1,4,155,62,17,192,0
358929,1,300,19,800,746,0,0,23,3,253,305,0
357716,0,2202,157,16,288,0,0,0,0,0,0,0
355226,27,622,339,217,1022,0,0,9,2,0,8,0
357711,0,847,390,259,641,21,0,134,14,37,94,2
359316,18,217,132,190,318,10,0,9,6,9,25,0
346157,202,1099,44,137,382,0,10,62,7,28,101,0
921002,0,74,1024,0,0,0,0,11,2,0,0,0
927355,0,182,1156,5,3,0,0,10,21,0,0,0
357327,128,2148,67,45,206,0,0,0,0,0,0,0
358233,34,844,105,853,909,0,0,2,0,8,20,0
331829,0,609,60,57,179,0,0,488,91,7,171,0
330593,0,487,156,310,911,0,0,4,0,0,2,0
341171,175,1310,44,150,903,0,0,18,1,4,42,0
906258,285,959,408,2,81,0,1,0,0,0,1,0
903106,5,88,1487,2,267,0,0,0,0,0,1,0
355635,154,984,158,105,477,2,0,0,0,0,0,0
353512,11,475,212,564,864,0,0,82,27,143,299,0
904597,0,1047,792,5,48,3,0,2,4,0,0,0
356507,274,555,157,311,669,0,0,200,35,6,58,0
355671,25,907,312,126,1127,4,3,51,8,0,36,2
929923,24,966,436,37,42,0,0,4,2,0,0,0
356502,6,838,268,198,1149,8,1,195,67,11,183,0
