issuer_code,day_period,violation_category,count
330039,AM,2,121
330039,AM,3,12
330039,AM,5,5
330039,AM,6,4
330039,PM,2,759
330039,PM,3,31
330039,PM,5,52
330039,PM,6,11
330068,AM,2,388
330068,AM,3,124
330068,AM,4,128
330068,AM,5,519
330068,PM,2,75
330068,PM,3,24
330068,PM,4,54
330068,PM,5,84
330069,AM,2,377
330069,AM,3,286
330069,AM,4,62
330069,AM,5,847
330069,PM,2,67
330069,PM,3,71
330069,PM,4,23
330069,PM,5,165
330551,AM,1,136
330551,AM,2,355
330551,AM,3,2
330551,AM,5,26
330551,PM,2,1074
330551,PM,3,22
330551,PM,4,44
330551,PM,5,98
330593,AM,2,427
330593,AM,3,141
330593,AM,4,260
330593,AM,5,822
330593,PM,2,64
330593,PM,3,15
330593,PM,4,50
330593,PM,5,91
330924,AM,2,755
330924,AM,3,345
330924,AM,4,32
330924,AM,5,522
330924,PM,2,135
330924,PM,3,32
330924,PM,4,13
330924,PM,5,78
330957,AM,2,2
330957,AM,4,2
330957,AM,5,6
330957,PM,2,698
330957,PM,3,134
330957,PM,4,179
330957,PM,5,474
330978,AM,1,203
330978,AM,2,595
330978,AM,3,216
330978,AM,4,10
330978,AM,5,220
330978,AM,6,6
330978,PM,1,1
330978,PM,2,261
330978,PM,3,44
330978,PM,4,11
330978,PM,5,102
330978,PM,6,1
331074,AM,1,162
331074,AM,2,285
331074,AM,3,52
331074,AM,4,1
331074,AM,5,162
331074,AM,6,20
331074,PM,1,2
331074,PM,2,101
331074,PM,3,12
331074,PM,5,86
331074,PM,6,4
331261,AM,2,965
331261,AM,3,82
331261,AM,5,960
331261,PM,2,52
331261,PM,3,5
331261,PM,5,41
331356,AM,2,49
331356,AM,3,11
331356,AM,4,1
331356,AM,5,37
331356,PM,2,702
331356,PM,3,69
331356,PM,4,3
331356,PM,5,115
331356,PM,6,1
331794,AM,1,30
331794,AM,2,101
331794,AM,3,8
331794,AM,4,81
331794,AM,5,143
331794,PM,1,24
331794,PM,2,411
331794,PM,3,35
331794,PM,4,404
331794,PM,5,627
331829,AM,2,304
331829,AM,3,51
331829,AM,4,5
331829,AM,5,132
331829,PM,2,793
331829,PM,3,100
331829,PM,4,59
331829,PM,5,218
332944,AM,1,25
332944,AM,2,669
332944,AM,3,72
332944,AM,4,1
332944,AM,5,245
332944,AM,6,28
332944,PM,1,2
332944,PM,2,295
332944,PM,3,36
332944,PM,4,3
332944,PM,5,94
332944,PM,6,12
341171,AM,1,174
341171,AM,2,1196
341171,AM,3,34
341171,AM,4,126
341171,AM,5,791
341171,PM,1,1
341171,PM,2,132
341171,PM,3,11
341171,PM,4,28
341171,PM,5,154
341240,AM,2,19
341240,AM,3,2
341240,AM,4,3
341240,AM,5,5
341240,PM,2,937
341240,PM,3,203
341240,PM,4,317
341240,PM,5,471
341240,PM,6,2
341891,AM,2,490
341891,AM,3,175
341891,AM,4,73
341891,AM,5,759
341891,PM,2,46
341891,PM,3,6
341891,PM,4,11
341891,PM,5,25
341964,AM,2,713
341964,AM,3,201
341964,AM,4,82
341964,AM,5,944
341964,PM,2,71
341964,PM,3,12
341964,PM,4,24
341964,PM,5,84
343455,AM,1,36
343455,AM,2,615
343455,AM,3,130
343455,AM,4,41
343455,AM,5,396
343455,AM,6,43
343455,PM,1,3
343455,PM,2,200
343455,PM,3,16
343455,PM,4,11
343455,PM,5,100
343930,AM,1,442
343930,AM,2,399
343930,AM,3,44
343930,AM,4,59
343930,AM,5,305
343930,PM,1,13
343930,PM,2,87
343930,PM,3,29
343930,PM,4,23
343930,PM,5,42
345369,AM,2,877
345369,AM,3,319
345369,AM,4,43
345369,AM,5,694
345369,PM,2,71
345369,PM,3,22
345369,PM,4,6
345369,PM,5,35
345388,AM,1,2
345388,AM,2,453
345388,AM,3,197
345388,AM,4,57
345388,AM,5,638
345388,PM,2,41
345388,PM,3,28
345388,PM,4,23
345388,PM,5,47
345513,AM,1,9
345513,AM,2,568
345513,AM,3,243
345513,AM,4,169
345513,AM,5,758
345513,PM,2,109
345513,PM,3,36
345513,PM,4,46
345513,PM,5,105
345535,AM,1,46
345535,AM,2,353
345535,AM,3,24
345535,AM,5,17
345535,PM,2,984
345535,PM,3,124
345535,PM,5,45
345551,AM,1,264
345551,AM,2,894
345551,AM,3,294
345551,AM,5,165
345551,AM,6,35
345551,PM,1,13
345551,PM,2,195
345551,PM,3,34
345551,PM,4,1
345551,PM,5,35
345551,PM,6,4
345557,AM,1,33
345557,AM,2,224
345557,AM,3,52
345557,AM,4,9
345557,AM,5,429
345557,PM,2,57
345557,PM,3,13
345557,PM,4,7
345557,PM,5,78
346045,AM,1,215
346045,AM,2,387
346045,AM,3,315
346045,AM,4,164
346045,AM,5,359
346045,PM,1,2
346045,PM,2,13
346045,PM,3,19
346045,PM,4,10
346045,PM,5,9
346086,AM,1,566
346086,AM,2,1207
346086,AM,3,83
346086,AM,4,56
346086,AM,5,244
346086,PM,1,25
346086,PM,2,229
346086,PM,3,30
346086,PM,4,3
346086,PM,5,35
346157,AM,1,212
346157,AM,2,1039
346157,AM,3,38
346157,AM,4,124
346157,AM,5,418
346157,PM,2,122
346157,PM,3,13
346157,PM,4,41
346157,PM,5,65
346166,AM,1,2
346166,AM,2,1081
346166,AM,3,437
346166,AM,4,132
346166,AM,5,907
346166,PM,2,119
346166,PM,3,26
346166,PM,4,21
346166,PM,5,58
346167,AM,2,745
346167,AM,3,306
346167,AM,4,111
346167,AM,5,815
346167,PM,2,97
346167,PM,3,41
346167,PM,4,44
346167,PM,5,78
346192,AM,2,514
346192,AM,3,142
346192,AM,4,81
346192,AM,5,694
346192,PM,2,95
346192,PM,3,15
346192,PM,4,33
346192,PM,5,49
346204,AM,1,66
346204,AM,2,1047
346204,AM,3,287
346204,AM,5,94
346204,AM,6,37
346204,PM,2,88
346204,PM,3,34
346204,PM,5,2
346204,PM,6,25
346357,AM,1,284
346357,AM,2,1277
346357,AM,3,97
346357,AM,4,79
346357,AM,5,318
346357,PM,2,133
346357,PM,3,43
346357,PM,4,23
346357,PM,5,62
347576,AM,2,3
347576,AM,3,1
347576,PM,2,338
347576,PM,3,18
347576,PM,4,23
347576,PM,5,132
347576,PM,6,1
347581,AM,2,3
347581,AM,4,9
347581,AM,5,22
347581,PM,1,8
347581,PM,2,107
347581,PM,3,14
347581,PM,4,134
347581,PM,5,243
347594,AM,2,201
347594,AM,3,49
347594,AM,4,11
347594,AM,5,162
347594,PM,2,553
347594,PM,3,164
347594,PM,4,30
347594,PM,5,273
347594,PM,6,3
347679,AM,2,588
347679,AM,3,196
347679,AM,4,1
347679,AM,5,725
347679,PM,2,1
348515,AM,1,434
348515,AM,2,829
348515,AM,3,83
348515,AM,4,203
348515,AM,5,589
348515,PM,1,25
348515,PM,2,73
348515,PM,3,5
348515,PM,4,10
348515,PM,5,25
348553,PM,1,1
348553,PM,2,271
348553,PM,3,75
348553,PM,4,123
348553,PM,5,526
349904,AM,2,1066
349904,AM,3,254
349904,AM,4,79
349904,AM,5,655
349904,PM,2,102
349904,PM,3,25
349904,PM,4,12
349904,PM,5,39
350307,AM,1,679
350307,AM,2,807
350307,AM,3,105
350307,AM,4,84
350307,AM,5,465
350307,PM,1,1
350307,PM,2,136
350307,PM,3,35
350307,PM,4,35
350307,PM,5,79
350513,AM,1,98
350513,AM,2,1311
350513,AM,3,36
350513,AM,4,47
350513,AM,5,205
350513,PM,1,1
350513,PM,2,103
350513,PM,3,4
350513,PM,4,10
350513,PM,5,23
351202,AM,2,481
351202,AM,3,173
351202,AM,4,86
351202,AM,5,459
351202,PM,2,72
351202,PM,3,36
351202,PM,4,26
351202,PM,5,59
351262,AM,1,8
351262,AM,2,266
351262,AM,3,73
351262,AM,4,199
351262,AM,5,314
351262,PM,1,2
351262,PM,2,677
351262,PM,3,99
351262,PM,4,221
351262,PM,5,381
351315,AM,1,592
351315,AM,2,728
351315,AM,3,73
351315,AM,4,204
351315,AM,5,411
351315,PM,1,1
351315,PM,2,134
351315,PM,3,27
351315,PM,4,44
351315,PM,5,66
351933,AM,2,22
351933,AM,3,8
351933,AM,4,1
351933,AM,5,19
351933,PM,2,1192
351933,PM,3,143
351933,PM,4,172
351933,PM,5,530
351933,PM,6,13
352012,AM,2,514
352012,AM,3,174
352012,AM,4,2
352012,AM,5,519
352991,AM,2,54
352991,AM,3,19
352991,AM,4,1
352991,AM,5,31
352991,AM,6,19
352991,PM,2,464
352991,PM,3,63
352991,PM,4,83
352991,PM,5,188
352991,PM,6,848
352995,AM,1,24
352995,AM,2,687
352995,AM,3,200
352995,AM,4,83
352995,AM,5,494
352995,PM,2,67
352995,PM,3,7
352995,PM,4,15
352995,PM,5,48
353431,AM,1,588
353431,AM,2,790
353431,AM,3,95
353431,AM,4,109
353431,AM,5,477
353431,PM,1,14
353431,PM,2,130
353431,PM,3,28
353431,PM,4,37
353431,PM,5,57
353512,AM,2,9
353512,AM,3,1
353512,AM,4,6
353512,AM,5,21
353512,PM,1,11
353512,PM,2,548
353512,PM,3,238
353512,PM,4,701
353512,PM,5,1142
354048,AM,2,32
354048,AM,3,2
354048,AM,5,5
354048,PM,2,787
354048,PM,3,113
354048,PM,4,120
354048,PM,5,180
354048,PM,6,18
354150,AM,2,930
354150,AM,3,390
354150,AM,4,109
354150,AM,5,824
354150,AM,6,1
354150,PM,2,83
354150,PM,3,46
354150,PM,4,36
354150,PM,5,62
355057,AM,1,25
355057,AM,2,294
355057,AM,3,61
355057,AM,4,5
355057,AM,5,66
355057,PM,2,965
