issuer_code,day_period,violation_category,count
330001,AM,1,108
330001,AM,2,2881
330001,AM,3,444
330001,AM,4,5
330001,AM,5,148
330001,PM,2,501
330001,PM,3,45
330001,PM,5,20
330198,AM,1,1551
330198,AM,2,1124
330198,AM,3,175
330198,AM,4,94
330198,AM,5,686
330198,PM,1,131
330198,PM,2,528
330198,PM,3,62
330198,PM,4,104
330198,PM,5,274
330291,AM,1,1485
330291,AM,2,1314
330291,AM,3,628
330291,AM,5,240
330291,AM,6,2
330291,PM,1,19
330291,PM,2,59
330291,PM,3,57
330291,PM,4,1
330291,PM,5,48
330692,AM,1,229
330692,AM,2,2127
330692,AM,3,411
330692,AM,4,62
330692,AM,5,651
330692,PM,1,7
330692,PM,2,559
330692,PM,3,102
330692,PM,4,37
330692,PM,5,145
331220,AM,1,372
331220,AM,2,1029
331220,AM,3,351
331220,AM,4,59
331220,AM,5,706
331220,PM,2,320
331220,PM,3,52
331220,PM,4,32
331220,PM,5,58
331510,AM,1,2
331510,AM,2,6
331510,PM,1,3
331510,PM,2,2683
331510,PM,3,407
331510,PM,4,52
331510,PM,5,203
333163,AM,1,11
333163,AM,2,1839
333163,AM,3,638
333163,AM,4,1
333163,AM,5,223
333163,AM,6,1
333163,PM,2,342
333163,PM,3,170
333163,PM,5,22
333386,AM,1,1857
333386,AM,2,898
333386,AM,3,227
333386,AM,4,3
333386,AM,5,265
333386,PM,1,57
333386,PM,2,36
333386,PM,3,15
333386,PM,5,6
333733,AM,2,4
333733,AM,3,3
333733,AM,5,3
333733,PM,2,1951
333733,PM,3,299
333733,PM,4,357
333733,PM,5,762
333733,PM,6,163
337778,AM,1,271
337778,AM,2,418
337778,AM,3,255
337778,AM,4,314
337778,AM,5,733
337778,AM,6,3
337778,PM,1,132
337778,PM,2,390
337778,PM,3,199
337778,PM,4,489
337778,PM,5,643
337778,PM,6,2
340051,AM,1,33
340051,AM,2,3371
340051,AM,3,380
340051,AM,5,55
340051,PM,2,843
340051,PM,3,254
340051,PM,5,11
341298,AM,1,3
341298,AM,2,216
341298,AM,3,106
341298,AM,4,9
341298,AM,5,209
341298,AM,6,1
341298,PM,1,1
341298,PM,2,1349
341298,PM,3,223
341298,PM,4,291
341298,PM,5,804
341298,PM,6,13
341943,AM,2,574
341943,AM,3,200
341943,AM,4,81
341943,AM,5,544
341943,AM,6,16
341943,PM,2,819
341943,PM,3,198
341943,PM,4,303
341943,PM,5,657
341943,PM,6,23
341980,AM,1,9
341980,AM,2,222
341980,AM,3,38
341980,AM,4,2
341980,AM,5,28
341980,AM,6,4
341980,PM,2,2577
341980,PM,3,125
341980,PM,4,14
341980,PM,5,151
342966,AM,1,31
342966,AM,2,3273
342966,AM,3,364
342966,AM,5,91
342966,PM,2,489
342966,PM,3,196
342966,PM,5,11
343918,AM,1,1493
343918,AM,2,1599
343918,AM,3,333
343918,AM,5,380
343918,PM,1,4
343918,PM,2,22
343918,PM,3,13
344778,AM,1,2178
344778,AM,2,2671
344778,AM,3,318
344778,AM,4,6
344778,AM,5,359
344778,PM,1,36
344778,PM,2,64
344778,PM,3,18
344778,PM,5,8
345221,AM,1,1916
345221,AM,2,1849
345221,AM,3,138
345221,AM,4,33
345221,AM,5,303
345221,PM,1,41
345221,PM,2,240
345221,PM,3,72
345221,PM,4,2
345221,PM,5,29
345238,AM,1,935
345238,AM,2,985
345238,AM,3,560
345238,AM,4,16
345238,AM,5,315
345238,PM,2,704
345238,PM,3,257
345238,PM,4,86
345238,PM,5,344
345275,AM,1,8
345275,AM,2,2639
345275,AM,3,1204
345275,AM,4,1
345275,AM,5,828
345275,PM,2,412
345275,PM,3,94
345275,PM,5,24
345331,AM,1,1563
345331,AM,2,1269
345331,AM,3,242
345331,AM,5,555
345331,AM,6,39
345331,PM,1,6
345331,PM,2,28
345331,PM,3,5
345331,PM,5,7
345536,AM,1,18
345536,AM,2,720
345536,AM,3,145
345536,AM,4,5
345536,AM,5,102
345536,PM,2,471
345536,PM,3,89
345536,PM,4,1
345536,PM,5,32
345560,AM,1,1474
345560,AM,2,1556
345560,AM,3,557
345560,AM,5,265
345560,PM,1,17
345560,PM,2,6
345560,PM,3,2
345560,PM,5,3
346105,AM,1,2224
346105,AM,2,1839
346105,AM,3,254
346105,AM,4,14
346105,AM,5,553
346105,AM,6,1
346105,PM,1,21
346105,PM,2,417
346105,PM,3,292
346105,PM,4,88
346105,PM,5,254
346109,AM,2,2121
346109,AM,3,558
346109,AM,4,17
346109,AM,5,529
346109,AM,6,3
346109,PM,2,115
346109,PM,3,9
346109,PM,4,1
346109,PM,5,4
346330,AM,1,191
346330,AM,2,2599
346330,AM,3,227
346330,AM,5,258
346330,AM,6,4
346330,PM,2,1318
346330,PM,3,96
346330,PM,4,1
346330,PM,5,58
346330,PM,6,3
346346,AM,1,376
346346,AM,2,465
346346,AM,3,99
346346,AM,4,80
346346,AM,5,305
346346,PM,1,1
346346,PM,2,2673
346346,PM,3,415
346346,PM,4,345
346346,PM,5,699
346381,AM,1,17
346381,AM,2,878
346381,AM,3,46
346381,AM,4,61
346381,AM,5,211
346381,AM,6,16
346381,PM,2,1902
346381,PM,3,175
346381,PM,4,202
346381,PM,5,598
346381,PM,6,3
346409,AM,1,33
346409,AM,2,1607
346409,AM,3,452
346409,AM,4,26
346409,AM,5,755
346409,PM,2,12
346409,PM,3,2
346409,PM,4,2
346409,PM,5,6
347489,AM,1,2380
347489,AM,2,3588
347489,AM,3,160
347489,AM,4,30
347489,AM,5,404
347489,PM,1,17
347489,PM,2,265
347489,PM,3,33
347489,PM,4,3
347489,PM,5,13
347593,AM,1,1383
347593,AM,2,1755
347593,AM,3,254
347593,AM,4,7
347593,AM,5,221
347593,PM,1,14
347593,PM,2,110
347593,PM,3,17
347593,PM,4,16
347593,PM,5,47
347674,AM,1,1505
347674,AM,2,1640
347674,AM,3,194
347674,AM,5,329
347674,PM,1,16
347674,PM,2,20
347674,PM,3,15
347674,PM,5,4
347687,AM,1,21
347687,AM,2,3606
347687,AM,3,704
347687,AM,5,289
347687,PM,2,1037
347687,PM,3,194
347687,PM,5,95
348520,AM,2,1810
348520,AM,3,120
348520,AM,4,2
348520,AM,5,202
348566,AM,2,1945
348566,AM,3,392
348566,AM,4,12
348566,AM,5,339
348566,AM,6,2
348566,PM,2,233
348566,PM,3,28
348566,PM,4,3
348566,PM,5,16
348566,PM,6,1
349481,AM,1,81
349481,AM,2,774
349481,AM,3,111
349481,AM,4,46
349481,AM,5,229
349481,PM,2,2415
349481,PM,3,306
349481,PM,4,289
349481,PM,5,618
349538,AM,1,96
349538,AM,2,2021
349538,AM,3,100
349538,AM,4,90
349538,AM,5,559
349538,PM,1,2
349538,PM,2,595
349538,PM,3,31
349538,PM,4,60
349538,PM,5,161
349570,AM,1,3366
349570,AM,2,1056
349570,AM,3,226
349570,AM,4,18
349570,AM,5,621
349570,AM,6,4
349570,PM,1,57
349570,PM,2,828
349570,PM,3,320
