issuer_code,day_period,violation_code,count
330001,AM,10,7
330001,AM,11,110
330001,AM,13,43
330001,AM,14,1691
330001,AM,16,220
330001,AM,17,48
330001,AM,18,3
330001,AM,19,190
330001,AM,20,59
330001,AM,21,108
330001,AM,31,218
330001,AM,37,5
330001,AM,38,8
330001,AM,40,118
330001,AM,46,61
330001,AM,47,277
330001,AM,48,88
330001,AM,50,14
330001,AM,51,3
330001,AM,64,174
330001,AM,67,1
330001,AM,69,53
330001,AM,70,19
330001,AM,71,37
330001,AM,72,1
330001,AM,74,9
330001,AM,84,21
330001,PM,10,1
330001,PM,11,12
330001,PM,13,17
330001,PM,14,139
330001,PM,16,64
330001,PM,17,10
330001,PM,19,30
330001,PM,20,24
330001,PM,31,66
330001,PM,40,81
330001,PM,46,22
330001,PM,47,6
330001,PM,48,11
330001,PM,50,6
330001,PM,64,57
330001,PM,69,2
330001,PM,70,5
330001,PM,71,13
330198,AM,10,45
330198,AM,13,10
330198,AM,14,376
330198,AM,16,106
330198,AM,17,141
330198,AM,18,4
330198,AM,19,49
330198,AM,20,300
330198,AM,21,1551
330198,AM,24,28
330198,AM,31,13
330198,AM,37,87
330198,AM,38,479
330198,AM,39,4
330198,AM,40,33
330198,AM,42,3
330198,AM,46,11
330198,AM,48,104
330198,AM,50,12
330198,AM,51,25
330198,AM,53,23
330198,AM,68,19
330198,AM,69,58
330198,AM,70,15
330198,AM,71,79
330198,AM,74,16
330198,AM,82,2
330198,AM,84,37
330198,PM,10,25
330198,PM,13,2
330198,PM,14,172
330198,PM,16,63
330198,PM,17,61
330198,PM,19,44
330198,PM,20,106
330198,PM,21,131
330198,PM,24,5
330198,PM,31,6
330198,PM,37,103
330198,PM,38,210
330198,PM,40,33
330198,PM,42,1
330198,PM,46,11
330198,PM,48,36
330198,PM,50,4
330198,PM,51,10
330198,PM,53,1
330198,PM,68,11
330198,PM,69,5
330198,PM,70,8
330198,PM,71,40
330198,PM,74,5
330198,PM,82,2
330198,PM,84,4
330291,AM,10,1
330291,AM,11,14
330291,AM,13,2
330291,AM,14,539
330291,AM,16,7
330291,AM,17,25
330291,AM,19,92
330291,AM,20,337
330291,AM,21,1485
330291,AM,38,151
330291,AM,40,297
330291,AM,46,339
330291,AM,48,43
330291,AM,50,73
330291,AM,51,2
330291,AM,53,12
330291,AM,60,138
330291,AM,61,3
330291,AM,66,2
330291,AM,67,18
330291,AM,70,21
330291,AM,71,50
330291,AM,74,4
330291,AM,82,3
330291,AM,84,11
330291,PM,13,1
330291,PM,14,14
330291,PM,16,2
330291,PM,18,3
330291,PM,19,10
330291,PM,20,12
330291,PM,21,19
330291,PM,37,1
330291,PM,38,44
330291,PM,40,17
330291,PM,46,36
330291,PM,48,7
330291,PM,49,1
330291,PM,50,10
330291,PM,53,1
330291,PM,60,1
330291,PM,67,1
330291,PM,71,4
330692,AM,9,12
330692,AM,10,22
330692,AM,11,15
330692,AM,13,50
330692,AM,14,996
330692,AM,16,133
330692,AM,17,17
330692,AM,18,80
330692,AM,19,86
330692,AM,20,183
330692,AM,21,229
330692,AM,31,159
330692,AM,32,2
330692,AM,37,60
330692,AM,38,94
330692,AM,40,185
330692,AM,46,34
330692,AM,47,266
330692,AM,48,64
330692,AM,50,24
330692,AM,52,3
330692,AM,53,4
330692,AM,64,200
330692,AM,67,4
330692,AM,69,429
330692,AM,70,14
330692,AM,71,56
330692,AM,74,19
330692,AM,82,2
330692,AM,84,37
330692,AM,98,1
330692,PM,9,1
330692,PM,10,11
330692,PM,11,3
330692,PM,13,3
330692,PM,14,178
330692,PM,16,52
330692,PM,17,6
330692,PM,18,15
330692,PM,19,50
330692,PM,20,28
330692,PM,21,7
330692,PM,31,62
330692,PM,37,37
330692,PM,38,19
330692,PM,40,89
330692,PM,46,28
330692,PM,47,47
330692,PM,48,17
330692,PM,50,8
330692,PM,51,1
330692,PM,64,62
330692,PM,69,90
330692,PM,70,6
330692,PM,71,19
330692,PM,74,2
330692,PM,82,1
330692,PM,84,8
331220,AM,8,6
331220,AM,10,27
331220,AM,11,2
331220,AM,13,19
331220,AM,14,334
331220,AM,16,31
331220,AM,17,40
331220,AM,18,8
331220,AM,19,49
331220,AM,20,73
331220,AM,21,372
331220,AM,24,1
331220,AM,31,352
331220,AM,37,12
331220,AM,38,54
331220,AM,40,80
331220,AM,42,46
331220,AM,43,1
331220,AM,46,119
331220,AM,47,185
331220,AM,48,28
331220,AM,50,7
331220,AM,51,6
331220,AM,53,4
331220,AM,64,6
331220,AM,69,518
331220,AM,70,6
331220,AM,71,24
331220,AM,74,4
331220,AM,79,2
331220,AM,82,34
331220,AM,84,66
331220,AM,98,1
331220,PM,10,2
331220,PM,13,6
331220,PM,14,74
331220,PM,16,8
331220,PM,17,17
331220,PM,19,20
331220,PM,20,8
331220,PM,31,127
331220,PM,37,3
331220,PM,38,3
331220,PM,40,58
331220,PM,42,29
331220,PM,46,25
331220,PM,47,23
331220,PM,48,2
331220,PM,50,2
331220,PM,69,36
331220,PM,70,4
331220,PM,71,7
331220,PM,75,1
331220,PM,82,5
331220,PM,84,2
331510,AM,14,1
331510,AM,16,2
331510,AM,20,2
331510,AM,21,2
331510,AM,40,1
331510,PM,4,18
331510,PM,10,18
331510,PM,13,16
331510,PM,14,957
331510,PM,16,446
331510,PM,17,102
331510,PM,18,3
331510,PM,19,172
331510,PM,20,533
331510,PM,21,3
331510,PM,31,231
331510,PM,37,50
331510,PM,38,58
331510,PM,40,186
331510,PM,42,2
331510,PM,46,85
331510,PM,48,131
331510,PM,50,22
331510,PM,51,19
331510,PM,53,118
331510,PM,61,3
331510,PM,67,29
331510,PM,69,32
331510,PM,70,26
331510,PM,71,40
331510,PM,74,11
331510,PM,75,1
331510,PM,82,22
331510,PM,84,13
331510,PM,98,1
333163,AM,10,89
333163,AM,13,28
333163,AM,14,575
333163,AM,16,143
333163,AM,17,181
333163,AM,18,7
333163,AM,19,127
333163,AM,20,108
333163,AM,21,11
333163,AM,24,10
333163,AM,31,294
333163,AM,34,1
333163,AM,40,239
333163,AM,45,2
333163,AM,46,318
333163,AM,47,39
333163,AM,48,53
333163,AM,50,8
333163,AM,51,29
333163,AM,53,168
333163,AM,61,1
333163,AM,64,22
333163,AM,67,20
333163,AM,68,15
333163,AM,70,70
333163,AM,71,132
333163,AM,74,9
333163,AM,75,1
333163,AM,80,1
333163,AM,81,1
333163,AM,82,10
333163,AM,84,1
333163,PM,10,21
333163,PM,13,2
333163,PM,14,53
333163,PM,16,21
333163,PM,17,36
333163,PM,18,26
333163,PM,19,44
333163,PM,20,49
333163,PM,31,24
333163,PM,38,1
333163,PM,40,64
333163,PM,46,103
333163,PM,48,15
333163,PM,50,3
333163,PM,51,7
333163,PM,53,35
333163,PM,60,2
333163,PM,64,2
333163,PM,67,5
333163,PM,70,11
333163,PM,71,8
333163,PM,74,2
333386,AM,10,2
333386,AM,11,4
333386,AM,14,174
333386,AM,16,56
333386,AM,17,18
333386,AM,18,3
333386,AM,19,63
333386,AM,20,328
333386,AM,21,1857
333386,AM,37,2
333386,AM,38,154
333386,AM,39,1
333386,AM,40,248
333386,AM,46,102
333386,AM,48,19
