issuer_code,day_week,violation_category,count
330039,1,2,113
330039,1,3,7
330039,1,5,9
330039,1,6,1
330039,2,2,112
330039,2,3,3
330039,2,5,7
330039,2,6,5
330039,3,2,104
330039,3,3,6
330039,3,5,7
330039,3,6,1
330039,4,2,120
330039,4,3,3
330039,4,5,4
330039,5,2,113
330039,5,3,6
330039,5,5,10
330039,5,6,1
330039,7,2,318
330039,7,3,18
330039,7,5,20
330039,7,6,7
330068,1,2,71
330068,1,3,31
330068,1,4,30
330068,1,5,116
330068,2,2,93
330068,2,3,34
330068,2,4,47
330068,2,5,128
330068,3,2,115
330068,3,3,30
330068,3,4,33
330068,3,5,149
330068,4,2,83
330068,4,3,27
330068,4,4,33
330068,4,5,93
330068,5,2,93
330068,5,3,25
330068,5,4,32
330068,5,5,107
330068,6,2,8
330068,6,3,1
330068,6,4,7
330068,6,5,10
330069,1,2,80
330069,1,3,50
330069,1,4,22
330069,1,5,218
330069,2,2,87
330069,2,3,81
330069,2,4,11
330069,2,5,189
330069,3,2,93
330069,3,3,67
330069,3,4,19
330069,3,5,197
330069,4,2,75
330069,4,3,78
330069,4,4,12
330069,4,5,187
330069,5,2,109
330069,5,3,81
330069,5,4,21
330069,5,5,221
330551,1,2,255
330551,1,3,7
330551,1,4,13
330551,1,5,26
330551,2,2,274
330551,2,3,7
330551,2,4,6
330551,2,5,20
330551,3,2,312
330551,3,3,2
330551,3,4,8
330551,3,5,19
330551,4,1,84
330551,4,2,367
330551,4,3,7
330551,4,4,12
330551,4,5,35
330551,5,1,52
330551,5,2,221
330551,5,3,1
330551,5,4,5
330551,5,5,24
330593,1,2,111
330593,1,3,30
330593,1,4,67
330593,1,5,190
330593,2,2,100
330593,2,3,37
330593,2,4,66
330593,2,5,187
330593,3,2,98
330593,3,3,33
330593,3,4,58
330593,3,5,189
330593,4,2,100
330593,4,3,25
330593,4,4,62
330593,4,5,158
330593,5,2,78
330593,5,3,31
330593,5,4,57
330593,5,5,187
330593,6,2,4
330593,6,5,2
330924,1,2,160
330924,1,3,45
330924,1,4,8
330924,1,5,99
330924,2,2,142
330924,2,3,85
330924,2,4,4
330924,2,5,89
330924,3,2,155
330924,3,3,60
330924,3,4,6
330924,3,5,113
330924,4,2,167
330924,4,3,71
330924,4,4,6
330924,4,5,129
330924,5,2,204
330924,5,3,111
330924,5,4,13
330924,5,5,127
330924,6,2,62
330924,6,3,5
330924,6,4,8
330924,6,5,43
330957,1,2,156
330957,1,3,21
330957,1,4,46
330957,1,5,107
330957,2,2,141
330957,2,3,38
330957,2,4,30
330957,2,5,102
330957,3,2,145
330957,3,3,26
330957,3,4,36
330957,3,5,97
330957,4,2,130
330957,4,3,36
330957,4,4,35
330957,4,5,95
330957,5,2,128
330957,5,3,13
330957,5,4,34
330957,5,5,79
330978,1,1,79
330978,1,2,157
330978,1,3,23
330978,1,4,4
330978,1,5,46
330978,1,6,1
330978,2,1,32
330978,2,2,87
330978,2,3,26
330978,2,4,1
330978,2,5,45
330978,2,6,1
330978,3,1,5
330978,3,2,80
330978,3,3,56
330978,3,5,48
330978,3,6,1
330978,4,1,36
330978,4,2,87
330978,4,3,35
330978,4,4,2
330978,4,5,42
330978,4,6,1
330978,5,1,47
330978,5,2,105
330978,5,3,31
330978,5,4,1
330978,5,5,26
330978,5,6,1
330978,6,1,5
330978,6,2,234
330978,6,3,86
330978,6,4,13
330978,6,5,95
330978,6,6,2
330978,7,2,106
330978,7,3,3
330978,7,5,20
331074,1,1,66
331074,1,2,68
331074,1,3,8
331074,1,5,31
331074,1,6,1
331074,2,1,16
331074,2,2,85
331074,2,3,8
331074,2,5,34
331074,2,6,5
331074,3,1,7
331074,3,2,22
331074,3,3,10
331074,3,5,21
