issuer_code,day_week,violation_category,count
330001,1,1,33
330001,1,2,528
330001,1,3,72
330001,1,5,36
330001,2,1,40
330001,2,2,604
330001,2,3,134
330001,2,4,1
330001,2,5,28
330001,3,1,2
330001,3,2,527
330001,3,3,85
330001,3,4,2
330001,3,5,20
330001,4,1,3
330001,4,2,344
330001,4,3,51
330001,4,5,17
330001,5,1,29
330001,5,2,456
330001,5,3,71
330001,5,4,1
330001,5,5,23
330001,6,1,1
330001,6,2,338
330001,6,3,44
330001,6,4,1
330001,6,5,20
330001,7,2,585
330001,7,3,32
330001,7,5,24
330198,1,1,375
330198,1,2,300
330198,1,3,35
330198,1,4,39
330198,1,5,109
330198,2,1,438
330198,2,2,188
330198,2,3,53
330198,2,4,33
330198,2,5,112
330198,3,1,33
330198,3,2,248
330198,3,3,60
330198,3,4,52
330198,3,5,231
330198,4,1,362
330198,4,2,197
330198,4,3,36
330198,4,4,21
330198,4,5,122
330198,5,1,416
330198,5,2,163
330198,5,3,26
330198,5,4,11
330198,5,5,91
330198,6,1,58
330198,6,2,199
330198,6,3,9
330198,6,4,42
330198,6,5,280
330198,7,2,357
330198,7,3,18
330198,7,5,15
330291,1,1,284
330291,1,2,212
330291,1,3,109
330291,1,5,24
330291,2,1,237
330291,2,2,217
330291,2,3,144
330291,2,5,48
330291,3,1,215
330291,3,2,202
330291,3,3,112
330291,3,5,23
330291,3,6,1
330291,4,1,247
330291,4,2,180
330291,4,3,73
330291,4,5,11
330291,5,1,238
330291,5,2,234
330291,5,3,120
330291,5,4,1
330291,5,5,37
330291,6,1,283
330291,6,2,201
330291,6,3,93
330291,6,5,139
330291,6,6,1
330291,7,2,127
330291,7,3,34
330291,7,5,6
330692,1,1,73
330692,1,2,465
330692,1,3,54
330692,1,4,13
330692,1,5,115
330692,2,1,53
330692,2,2,484
330692,2,3,112
330692,2,4,20
330692,2,5,133
330692,3,2,339
330692,3,3,71
330692,3,4,15
330692,3,5,130
330692,4,1,51
330692,4,2,445
330692,4,3,96
330692,4,4,16
330692,4,5,125
330692,5,1,57
330692,5,2,441
330692,5,3,92
330692,5,4,22
330692,5,5,150
330692,6,1,2
330692,6,2,210
330692,6,3,42
330692,6,4,13
330692,6,5,128
330692,7,2,302
330692,7,3,46
330692,7,5,15
331220,1,1,91
331220,1,2,219
331220,1,3,57
331220,1,4,21
331220,1,5,105
331220,2,1,76
331220,2,2,209
331220,2,3,63
331220,2,4,29
331220,2,5,180
331220,3,1,28
331220,3,2,225
331220,3,3,67
331220,3,4,17
331220,3,5,170
331220,4,1,83
331220,4,2,220
331220,4,3,98
331220,4,4,16
331220,4,5,152
331220,5,1,85
331220,5,2,213
331220,5,3,60
331220,5,4,6
331220,5,5,128
331220,6,1,9
331220,6,2,72
331220,6,3,27
331220,6,4,2
331220,6,5,19
331220,7,2,191
331220,7,3,31
331220,7,5,10
331510,1,2,519
331510,1,3,60
331510,1,4,8
331510,1,5,52
331510,2,1,5
331510,2,2,532
331510,2,3,72
331510,2,4,7
331510,2,5,44
331510,3,2,489
331510,3,3,101
331510,3,4,17
331510,3,5,32
331510,4,2,552
331510,4,3,85
331510,4,4,11
331510,4,5,39
331510,5,2,563
331510,5,3,86
331510,5,4,8
331510,5,5,34
331510,6,2,34
331510,6,3,3
331510,6,4,1
331510,6,5,2
333163,1,1,2
333163,1,2,450
333163,1,3,150
333163,1,5,47
333163,2,1,5
333163,2,2,430
333163,2,3,152
333163,2,4,1
333163,2,5,45
333163,3,2,340
333163,3,3,116
333163,3,5,45
333163,4,1,2
333163,4,2,203
333163,4,3,89
333163,4,5,30
333163,5,1,2
333163,5,2,276
333163,5,3,96
333163,5,5,30
333163,5,6,1
