issuer_code,day_week,violation_code,count
330039,1,10,1
330039,1,14,43
330039,1,16,11
330039,1,17,5
330039,1,19,4
330039,1,20,35
330039,1,31,10
330039,1,38,1
330039,1,40,3
330039,1,48,1
330039,1,50,2
330039,1,51,1
330039,1,53,2
330039,1,61,1
330039,1,64,1
330039,1,66,1
330039,1,69,2
330039,1,70,1
330039,1,71,3
330039,1,74,1
330039,1,84,1
330039,2,14,40
330039,2,16,28
330039,2,17,4
330039,2,20,23
330039,2,24,1
330039,2,31,9
330039,2,38,1
330039,2,40,6
330039,2,46,1
330039,2,47,1
330039,2,50,1
330039,2,66,5
330039,2,69,1
330039,2,70,1
330039,2,71,2
330039,2,82,1
330039,2,84,1
330039,2,98,1
330039,3,14,36
330039,3,16,24
330039,3,17,5
330039,3,19,1
330039,3,20,28
330039,3,31,8
330039,3,40,2
330039,3,46,3
330039,3,47,1
330039,3,48,1
330039,3,50,1
330039,3,66,1
330039,3,70,2
330039,3,71,3
330039,3,75,1
330039,3,84,1
330039,4,13,1
330039,4,14,34
330039,4,16,21
330039,4,17,11
330039,4,19,1
330039,4,20,27
330039,4,31,16
330039,4,40,9
330039,4,46,1
330039,4,48,1
330039,4,53,1
330039,4,70,2
330039,4,71,1
330039,4,82,1
330039,5,14,29
330039,5,16,17
330039,5,17,6
330039,5,20,51
330039,5,31,3
330039,5,40,7
330039,5,46,2
330039,5,48,2
330039,5,49,1
330039,5,53,1
330039,5,66,1
330039,5,70,3
330039,5,71,5
330039,5,84,2
330039,7,10,1
330039,7,13,16
330039,7,14,110
330039,7,16,15
330039,7,17,60
330039,7,19,35
330039,7,20,38
330039,7,23,2
330039,7,40,33
330039,7,46,4
330039,7,50,5
330039,7,53,4
330039,7,61,1
330039,7,64,8
330039,7,66,7
330039,7,67,4
330039,7,70,4
330039,7,71,14
330039,7,74,1
330039,7,75,1
330068,1,11,1
330068,1,14,42
330068,1,16,1
330068,1,17,5
330068,1,19,1
330068,1,20,1
330068,1,31,18
330068,1,37,4
330068,1,38,8
330068,1,40,2
330068,1,42,26
330068,1,46,1
330068,1,47,23
330068,1,48,3
330068,1,50,2
330068,1,51,2
330068,1,69,93
330068,1,71,6
330068,1,82,3
330068,1,84,6
330068,2,13,3
330068,2,14,56
330068,2,16,2
330068,2,17,8
330068,2,19,5
