issuer_code,day_week,violation_code,count
330001,1,10,2
330001,1,11,21
330001,1,13,6
330001,1,14,313
330001,1,16,44
330001,1,17,8
330001,1,18,2
330001,1,19,24
330001,1,20,21
330001,1,21,33
330001,1,31,49
330001,1,40,7
330001,1,46,13
330001,1,47,47
330001,1,48,10
330001,1,50,2
330001,1,64,31
330001,1,69,16
330001,1,70,1
330001,1,71,12
330001,1,72,1
330001,1,74,3
330001,1,84,3
330001,2,10,1
330001,2,11,19
330001,2,13,10
330001,2,14,366
330001,2,16,53
330001,2,17,5
330001,2,19,63
330001,2,20,13
330001,2,21,40
330001,2,31,41
330001,2,37,1
330001,2,40,6
330001,2,46,16
330001,2,47,76
330001,2,48,38
330001,2,50,2
330001,2,51,2
330001,2,64,27
330001,2,69,14
330001,2,70,4
330001,2,71,4
330001,2,74,1
330001,2,84,5
330001,3,10,1
330001,3,11,17
330001,3,13,5
330001,3,14,362
330001,3,16,34
330001,3,17,5
330001,3,18,1
330001,3,19,25
330001,3,20,2
330001,3,21,2
330001,3,31,46
330001,3,37,2
330001,3,38,2
330001,3,40,5
330001,3,46,11
330001,3,47,59
330001,3,48,12
330001,3,50,3
330001,3,64,24
330001,3,69,8
330001,3,70,4
330001,3,71,3
330001,3,74,1
330001,3,84,2
330001,4,11,11
330001,4,13,5
330001,4,14,216
330001,4,16,35
330001,4,17,1
330001,4,19,16
330001,4,20,8
330001,4,21,3
330001,4,31,36
330001,4,38,1
330001,4,40,2
330001,4,46,5
330001,4,47,39
330001,4,48,6
330001,4,50,1
330001,4,64,14
330001,4,69,7
330001,4,70,3
330001,4,71,3
330001,4,84,3
330001,5,10,3
330001,5,11,18
330001,5,13,6
330001,5,14,289
330001,5,16,46
330001,5,17,5
330001,5,19,25
330001,5,20,6
330001,5,21,29
330001,5,31,36
330001,5,37,1
330001,5,40,6
330001,5,46,6
330001,5,47,41
330001,5,48,20
330001,5,50,3
330001,5,51,1
330001,5,64,16
330001,5,69,5
330001,5,70,3
330001,5,71,7
330001,5,74,3
330001,5,84,5
330001,6,10,1
330001,6,11,7
330001,6,13,10
330001,6,14,110
330001,6,16,46
330001,6,17,6
330001,6,19,20
330001,6,20,18
330001,6,21,1
330001,6,31,76
330001,6,37,1
330001,6,38,5
330001,6,40,24
330001,6,46,15
330001,6,47,21
330001,6,48,6
330001,6,50,2
330001,6,64,20
330001,6,69,5
330001,6,70,2
330001,6,71,6
330001,6,74,1
330001,6,84,1
330001,7,11,29
330001,7,13,18
330001,7,14,174
330001,7,16,26
330001,7,17,28
330001,7,19,47
330001,7,20,15
330001,7,40,149
330001,7,46,17
330001,7,48,7
330001,7,50,7
330001,7,64,99
330001,7,67,1
330001,7,70,7
330001,7,71,15
330001,7,84,2
330198,1,10,4
330198,1,13,2
330198,1,14,88
330198,1,16,41
330198,1,17,29
330198,1,19,12
330198,1,20,101
330198,1,21,375
330198,1,24,8
330198,1,31,6
330198,1,37,39
330198,1,38,76
330198,1,40,2
330198,1,46,1
330198,1,48,18
330198,1,50,1
330198,1,51,6
330198,1,53,9
330198,1,68,7
330198,1,69,1
330198,1,70,3
330198,1,71,16
330198,1,74,4
330198,1,82,2
330198,1,84,7
330198,2,10,12
330198,2,13,1
330198,2,14,67
330198,2,16,17
330198,2,17,23
330198,2,19,9
330198,2,20,38
330198,2,21,438
330198,2,24,9
330198,2,31,4
330198,2,37,31
330198,2,38,71
330198,2,40,5
330198,2,42,2
330198,2,46,2
330198,2,48,27
330198,2,50,5
330198,2,51,10
330198,2,53,9
330198,2,68,3
330198,2,69,16
330198,2,70,5
330198,2,71,12
330198,2,74,3
330198,2,82,1
330198,2,84,4
330198,3,10,19
330198,3,13,3
330198,3,14,113
330198,3,16,10
330198,3,17,23
330198,3,18,3
330198,3,19,13
330198,3,20,32
330198,3,21,33
330198,3,24,8
330198,3,31,1
330198,3,37,50
330198,3,38,152
330198,3,40,12
330198,3,42,2
330198,3,46,6
330198,3,48,39
330198,3,50,3
330198,3,51,11
330198,3,53,1
330198,3,68,11
330198,3,69,33
330198,3,70,3
330198,3,71,31
330198,3,74,2
330198,3,84,10
330198,4,10,14
330198,4,14,60
330198,4,16,15
330198,4,17,16
330198,4,18,1
330198,4,19,17
330198,4,20,61
330198,4,21,362
330198,4,24,3
330198,4,37,17
330198,4,38,71
330198,4,39,4
330198,4,40,7
330198,4,46,3
330198,4,48,23
330198,4,50,2
330198,4,51,5
330198,4,53,3
330198,4,68,3
330198,4,69,10
330198,4,70,4
330198,4,71,25
330198,4,74,3
330198,4,84,9
330198,5,10,12
330198,5,14,44
330198,5,16,11
330198,5,17,13
330198,5,19,11
330198,5,20,55
330198,5,21,416
330198,5,24,5
330198,5,31,1
330198,5,37,11
330198,5,38,64
330198,5,40,8
330198,5,48,24
330198,5,50,1
330198,5,51,1
330198,5,68,3
330198,5,69,2
330198,5,70,3
330198,5,71,9
330198,5,74,3
330198,5,84,10
330198,6,13,4
330198,6,14,49
330198,6,16,38
330198,6,17,29
330198,6,19,3
330198,6,20,60
330198,6,21,58
330198,6,31,7
330198,6,37,42
330198,6,38,255
330198,6,40,9
330198,6,46,3
330198,6,48,3
330198,6,50,2
330198,6,53,1
330198,6,69,1
330198,6,70,5
330198,6,71,11
330198,6,74,6
330198,6,82,1
330198,6,84,1
330198,7,10,9
330198,7,13,2
330198,7,14,127
330198,7,16,37
330198,7,17,69
330198,7,19,28
330198,7,20,59
330198,7,40,23
330198,7,46,7
330198,7,48,6
330198,7,50,2
330198,7,51,2
330198,7,53,1
330198,7,68,3
330198,7,71,15
330291,1,11,2
330291,1,14,106
330291,1,17,4
330291,1,18,3
330291,1,19,16
330291,1,20,44
330291,1,21,284
330291,1,38,11
330291,1,40,37
330291,1,46,71
330291,1,48,8
330291,1,50,12
330291,1,53,4
330291,1,60,14
330291,1,70,3
330291,1,71,6
330291,1,82,1
330291,1,84,3
330291,2,11,4
330291,2,13,1
330291,2,14,102
330291,2,16,2
330291,2,17,3
330291,2,19,18
330291,2,20,50
330291,2,21,237
330291,2,38,30
330291,2,40,37
330291,2,46,77
330291,2,48,4
