issuer_code,type_day,violation_code,count
330039,Week,10,1
330039,Week,13,1
330039,Week,14,182
330039,Week,16,101
330039,Week,17,31
330039,Week,19,6
330039,Week,20,164
330039,Week,24,1
330039,Week,31,46
330039,Week,38,2
330039,Week,40,27
330039,Week,46,7
330039,Week,47,2
330039,Week,48,5
330039,Week,49,1
330039,Week,50,4
330039,Week,51,1
330039,Week,53,4
330039,Week,61,1
330039,Week,64,1
330039,Week,66,8
330039,Week,69,3
330039,Week,70,9
330039,Week,71,14
330039,Week,74,1
330039,Week,75,1
330039,Week,82,2
330039,Week,84,5
330039,Week,98,1
330039,Weekend,10,1
330039,Weekend,13,16
330039,Weekend,14,110
330039,Weekend,16,15
330039,Weekend,17,60
330039,Weekend,19,35
330039,Weekend,20,38
330039,Weekend,23,2
330039,Weekend,40,33
330039,Weekend,46,4
330039,Weekend,50,5
330039,Weekend,53,4
330039,Weekend,61,1
330039,Weekend,64,8
330039,Weekend,66,7
330039,Weekend,67,4
330039,Weekend,70,4
330039,Weekend,71,14
330039,Weekend,74,1
330039,Weekend,75,1
330068,Week,10,1
330068,Week,11,1
330068,Week,13,11
330068,Week,14,278
330068,Week,16,3
330068,Week,17,31
330068,Week,18,2
330068,Week,19,20
330068,Week,20,1
330068,Week,31,94
330068,Week,37,13
330068,Week,38,36
330068,Week,40,13
330068,Week,42,162
330068,Week,46,4
330068,Week,47,118
330068,Week,48,17
330068,Week,50,3
330068,Week,51,5
330068,Week,69,515
330068,Week,70,6
330068,Week,71,13
330068,Week,82,7
330068,Week,84,16
330068,Weekend,14,4
330068,Weekend,31,4
330068,Weekend,37,4
330068,Weekend,38,6
330068,Weekend,42,3
330068,Weekend,47,1
330068,Weekend,69,3
330068,Weekend,71,1
330069,Week,10,9
330069,Week,13,13
330069,Week,14,272
330069,Week,17,14
330069,Week,18,1
330069,Week,19,14
330069,Week,20,4
330069,Week,31,76
330069,Week,37,2
330069,Week,38,68
330069,Week,40,41
330069,Week,42,83
330069,Week,46,71
330069,Week,47,286
330069,Week,69,890
330069,Week,70,2
330069,Week,74,1
330069,Week,84,51
330551,Week,14,37
330551,Week,16,875
330551,Week,17,29
330551,Week,19,8
330551,Week,20,430
330551,Week,21,136
330551,Week,37,44
330551,Week,38,37
330551,Week,40,50
330551,Week,46,15
330551,Week,48,1
330551,Week,51,8
330551,Week,70,21
330551,Week,71,61
330551,Week,74,5
330593,Week,10,1
330593,Week,13,1
330593,Week,14,341
330593,Week,17,10
330593,Week,19,14
330593,Week,20,1
330593,Week,31,83
330593,Week,37,18
330593,Week,38,20
330593,Week,40,7
330593,Week,42,292
330593,Week,47,140
330593,Week,48,13
330593,Week,50,1
330593,Week,51,2
330593,Week,64,29
330593,Week,69,803
330593,Week,70,8
330593,Week,71,32
330593,Week,74,4
330593,Week,75,1
330593,Week,82,2
330593,Week,84,41
330593,Weekend,14,2
330593,Weekend,64,2
330593,Weekend,69,2
330924,Week,11,2
330924,Week,13,9
330924,Week,14,536
330924,Week,16,6
330924,Week,17,8
330924,Week,19,50
330924,Week,20,3
330924,Week,22,1
330924,Week,24,1
330924,Week,31,186
330924,Week,38,1
330924,Week,40,25
330924,Week,42,37
330924,Week,46,6
330924,Week,47,359
330924,Week,50,6
330924,Week,51,1
330924,Week,69,522
330924,Week,70,6
330924,Week,71,22
330924,Week,82,6
330924,Week,98,1
330924,Weekend,14,31
330924,Weekend,16,9
330924,Weekend,19,5
330924,Weekend,20,2
330924,Weekend,31,15
330924,Weekend,37,8
330924,Weekend,38,35
330924,Weekend,46,3
330924,Weekend,47,2
330924,Weekend,69,3
330924,Weekend,71,4
330924,Weekend,74,1
330957,Week,10,1
330957,Week,13,1
330957,Week,14,281
330957,Week,16,1
330957,Week,17,37
330957,Week,19,21
330957,Week,20,7
330957,Week,31,322
330957,Week,37,18
330957,Week,38,39
330957,Week,40,27
330957,Week,42,163
330957,Week,46,72
330957,Week,47,37
330957,Week,48,6
330957,Week,50,12
330957,Week,51,3
330957,Week,52,1
330957,Week,67,1
330957,Week,69,362
330957,Week,70,3
330957,Week,71,22
330957,Week,79,2
330957,Week,82,48
330957,Week,83,1
330957,Week,84,5
330957,Week,89,2
330978,Week,8,11
330978,Week,10,26
330978,Week,11,1
330978,Week,13,5
330978,Week,14,301
330978,Week,16,14
330978,Week,17,5
330978,Week,18,1
330978,Week,19,35
330978,Week,20,59
330978,Week,21,199
330978,Week,31,40
330978,Week,38,22
330978,Week,40,17
330978,Week,42,8
330978,Week,46,4
330978,Week,47,144
330978,Week,48,12
330978,Week,50,1
330978,Week,51,6
330978,Week,53,3
330978,Week,60,1
330978,Week,64,1
330978,Week,66,5
330978,Week,69,93
330978,Week,70,8
330978,Week,71,23
330978,Week,74,4
330978,Week,75,1
330978,Week,82,1
330978,Week,84,55
330978,Weekend,8,1
330978,Weekend,10,8
330978,Weekend,13,2
330978,Weekend,14,107
330978,Weekend,16,25
330978,Weekend,17,17
330978,Weekend,19,27
330978,Weekend,20,55
330978,Weekend,21,5
330978,Weekend,31,70
330978,Weekend,37,5
330978,Weekend,38,52
330978,Weekend,40,24
330978,Weekend,42,8
330978,Weekend,46,6
330978,Weekend,47,76
330978,Weekend,48,5
330978,Weekend,50,1
330978,Weekend,51,1
330978,Weekend,64,3
330978,Weekend,66,2
330978,Weekend,69,17
330978,Weekend,70,4
330978,Weekend,71,29
330978,Weekend,74,1
330978,Weekend,75,2
330978,Weekend,84,10
330978,Weekend,98,1
331074,Week,10,11
331074,Week,11,1
331074,Week,13,3
331074,Week,14,167
331074,Week,16,9
331074,Week,17,3
331074,Week,19,10
331074,Week,20,41
331074,Week,21,164
331074,Week,31,10
331074,Week,37,1
331074,Week,38,37
331074,Week,40,12
331074,Week,47,32
331074,Week,48,10
331074,Week,51,13
331074,Week,53,1
331074,Week,64,1
331074,Week,66,10
331074,Week,69,54
331074,Week,70,3
331074,Week,71,33
331074,Week,82,2
331074,Week,84,13
331074,Weekend,11,1
331074,Weekend,13,7
331074,Weekend,14,44
331074,Weekend,16,6
331074,Weekend,17,12
331074,Weekend,19,5
331074,Weekend,20,14
331074,Weekend,31,1
331074,Weekend,38,15
331074,Weekend,40,28
331074,Weekend,47,2
331074,Weekend,48,1
331074,Weekend,50,3
331074,Weekend,51,1
331074,Weekend,61,1
331074,Weekend,66,14
331074,Weekend,69,2
331074,Weekend,70,14
331074,Weekend,71,66
331074,Weekend,74,8
331074,Weekend,84,1
331261,Week,13,1
331261,Week,14,452
331261,Week,16,78
331261,Week,17,15
331261,Week,19,9
331261,Week,20,3
