issuer_code,type_day,day_period,violation_code,count
330039,Week,AM,16,1
330039,Week,PM,14,182
330039,Week,PM,16,100
330039,Week,PM,17,31
330039,Week,PM,19,6
330039,Week,PM,20,164
330039,Week,PM,31,46
330039,Week,PM,38,2
330039,Week,PM,40,27
330039,Week,PM,46,7
330039,Week,PM,47,2
330039,Week,PM,69,3
330039,Week,PM,71,14
330039,Weekend,AM,14,45
330039,Weekend,AM,16,4
330039,Weekend,AM,17,27
330039,Weekend,AM,19,15
330039,Weekend,AM,20,8
330039,Weekend,AM,40,11
330039,Weekend,AM,46,1
330039,Weekend,AM,71,4
330039,Weekend,PM,14,65
330039,Weekend,PM,16,11
330039,Weekend,PM,17,33
330039,Weekend,PM,19,20
330039,Weekend,PM,20,30
330039,Weekend,PM,40,22
330039,Weekend,PM,46,3
330039,Weekend,PM,71,10
330068,Week,AM,14,240
330068,Week,AM,16,3
330068,Week,AM,17,26
330068,Week,AM,19,16
330068,Week,AM,20,1
330068,Week,AM,31,74
330068,Week,AM,37,7
330068,Week,AM,38,19
330068,Week,AM,40,8
330068,Week,AM,42,116
330068,Week,AM,46,4
330068,Week,AM,47,98
330068,Week,AM,69,453
330068,Week,AM,71,12
330068,Week,PM,14,38
330068,Week,PM,17,5
330068,Week,PM,19,4
330068,Week,PM,31,20
330068,Week,PM,37,6
330068,Week,PM,38,17
330068,Week,PM,40,5
330068,Week,PM,42,46
330068,Week,PM,47,20
330068,Week,PM,69,62
330068,Week,PM,71,1
330068,Weekend,AM,14,3
330068,Weekend,AM,31,2
330068,Weekend,AM,37,3
330068,Weekend,AM,38,6
330068,Weekend,AM,42,2
330068,Weekend,AM,47,1
330068,Weekend,AM,69,2
330068,Weekend,AM,71,1
330068,Weekend,PM,14,1
330068,Weekend,PM,31,2
330068,Weekend,PM,37,1
330068,Weekend,PM,42,1
330068,Weekend,PM,69,1
330069,Week,AM,14,241
330069,Week,AM,17,11
330069,Week,AM,19,11
330069,Week,AM,20,4
330069,Week,AM,31,56
330069,Week,AM,37,1
330069,Week,AM,38,51
330069,Week,AM,40,33
330069,Week,AM,42,61
330069,Week,AM,46,58
330069,Week,AM,47,228
330069,Week,AM,69,749
330069,Week,PM,14,31
330069,Week,PM,17,3
330069,Week,PM,19,3
330069,Week,PM,31,20
