issuer_code,day_week,day_period,violation_code,count
330039,1,PM,14,43
330039,1,PM,16,11
330039,1,PM,17,5
330039,1,PM,19,4
330039,1,PM,20,35
330039,1,PM,31,10
330039,1,PM,38,1
330039,1,PM,40,3
330039,1,PM,69,2
330039,1,PM,71,3
330039,2,PM,14,40
330039,2,PM,16,28
330039,2,PM,17,4
330039,2,PM,20,23
330039,2,PM,31,9
330039,2,PM,38,1
330039,2,PM,40,6
330039,2,PM,46,1
330039,2,PM,47,1
330039,2,PM,69,1
330039,2,PM,71,2
330039,3,PM,14,36
330039,3,PM,16,24
330039,3,PM,17,5
330039,3,PM,19,1
330039,3,PM,20,28
330039,3,PM,31,8
330039,3,PM,40,2
330039,3,PM,46,3
330039,3,PM,47,1
330039,3,PM,71,3
330039,4,AM,16,1
330039,4,PM,14,34
330039,4,PM,16,20
330039,4,PM,17,11
330039,4,PM,19,1
330039,4,PM,20,27
330039,4,PM,31,16
330039,4,PM,40,9
330039,4,PM,46,1
330039,4,PM,71,1
330039,5,PM,14,29
330039,5,PM,16,17
330039,5,PM,17,6
330039,5,PM,20,51
330039,5,PM,31,3
330039,5,PM,40,7
330039,5,PM,46,2
330039,5,PM,71,5
330039,7,AM,14,45
330039,7,AM,16,4
330039,7,AM,17,27
330039,7,AM,19,15
330039,7,AM,20,8
330039,7,AM,40,11
330039,7,AM,46,1
330039,7,AM,71,4
330039,7,PM,14,65
330039,7,PM,16,11
330039,7,PM,17,33
330039,7,PM,19,20
330039,7,PM,20,30
330039,7,PM,40,22
330039,7,PM,46,3
330039,7,PM,71,10
330068,1,AM,14,35
330068,1,AM,16,1
330068,1,AM,17,5
330068,1,AM,20,1
330068,1,AM,31,15
330068,1,AM,37,2
330068,1,AM,38,5
330068,1,AM,40,2
330068,1,AM,42,19
330068,1,AM,46,1
330068,1,AM,47,15
330068,1,AM,69,79
330068,1,AM,71,5
330068,1,PM,14,7
330068,1,PM,19,1
330068,1,PM,31,3
330068,1,PM,37,2
