issuer_code,day_week,day_period,violation_code,count
330001,1,AM,14,313
330001,1,AM,16,44
330001,1,AM,17,8
330001,1,AM,19,24
330001,1,AM,20,21
330001,1,AM,21,33
330001,1,AM,31,48
330001,1,AM,40,7
330001,1,AM,46,13
330001,1,AM,47,47
330001,1,AM,69,16
330001,1,AM,71,11
330001,1,PM,31,1
330001,1,PM,71,1
330001,2,AM,14,359
330001,2,AM,16,44
330001,2,AM,17,5
330001,2,AM,19,61
330001,2,AM,20,7
330001,2,AM,21,40
330001,2,AM,31,33
330001,2,AM,37,1
330001,2,AM,40,6
330001,2,AM,46,12
330001,2,AM,47,75
330001,2,AM,69,14
330001,2,AM,71,3
330001,2,PM,14,7
330001,2,PM,16,9
330001,2,PM,19,2
330001,2,PM,20,6
330001,2,PM,31,8
330001,2,PM,46,4
330001,2,PM,47,1
330001,2,PM,71,1
330001,3,AM,14,362
330001,3,AM,16,34
330001,3,AM,17,5
330001,3,AM,19,25
330001,3,AM,20,2
330001,3,AM,21,2
330001,3,AM,31,46
330001,3,AM,37,2
330001,3,AM,38,2
330001,3,AM,40,5
330001,3,AM,46,11
330001,3,AM,47,59
330001,3,AM,69,8
330001,3,AM,71,3
330001,4,AM,14,210
330001,4,AM,16,27
330001,4,AM,17,1
330001,4,AM,19,16
330001,4,AM,20,8
330001,4,AM,21,3
330001,4,AM,31,31
330001,4,AM,38,1
330001,4,AM,40,2
330001,4,AM,46,4
330001,4,AM,47,39
330001,4,AM,69,7
330001,4,AM,71,3
330001,4,PM,14,6
330001,4,PM,16,8
330001,4,PM,31,5
330001,4,PM,46,1
330001,5,AM,14,289
330001,5,AM,16,46
330001,5,AM,17,5
330001,5,AM,19,24
330001,5,AM,20,6
330001,5,AM,21,29
330001,5,AM,31,36
330001,5,AM,37,1
330001,5,AM,40,6
330001,5,AM,46,6
330001,5,AM,47,41
330001,5,AM,69,5
330001,5,AM,71,7
330001,5,PM,19,1
330001,6,AM,14,61
330001,6,AM,16,18
330001,6,AM,17,6
330001,6,AM,19,13
330001,6,AM,20,8
330001,6,AM,21,1
330001,6,AM,31,24
330001,6,AM,37,1
330001,6,AM,38,5
330001,6,AM,40,13
330001,6,AM,46,12
330001,6,AM,47,16
330001,6,AM,69,3
330001,6,AM,71,2
330001,6,PM,14,49
330001,6,PM,16,28
330001,6,PM,19,7
330001,6,PM,20,10
330001,6,PM,31,52
330001,6,PM,40,11
330001,6,PM,46,3
330001,6,PM,47,5
330001,6,PM,69,2
330001,6,PM,71,4
330001,7,AM,14,97
330001,7,AM,16,7
330001,7,AM,17,18
330001,7,AM,19,27
330001,7,AM,20,7
330001,7,AM,40,79
330001,7,AM,46,3
330001,7,AM,71,8
330001,7,PM,14,77
330001,7,PM,16,19
330001,7,PM,17,10
330001,7,PM,19,20
330001,7,PM,20,8
330001,7,PM,40,70
330001,7,PM,46,14
330001,7,PM,71,7
330198,1,AM,14,74
330198,1,AM,16,32
330198,1,AM,17,27
330198,1,AM,19,6
330198,1,AM,20,75
330198,1,AM,21,340
330198,1,AM,31,4
330198,1,AM,37,10
330198,1,AM,38,28
330198,1,AM,40,1
330198,1,AM,46,1
330198,1,AM,69,1
330198,1,AM,71,9
330198,1,PM,14,14
330198,1,PM,16,9
330198,1,PM,17,2
330198,1,PM,19,6
330198,1,PM,20,26
330198,1,PM,21,35
330198,1,PM,31,2
330198,1,PM,37,29
330198,1,PM,38,48
330198,1,PM,40,1
330198,1,PM,71,7
330198,2,AM,14,57
330198,2,AM,16,10
330198,2,AM,17,21
330198,2,AM,19,6
330198,2,AM,20,30
330198,2,AM,21,404
330198,2,AM,31,4
330198,2,AM,37,10
330198,2,AM,38,38
330198,2,AM,40,3
