issuer_code,day_period,violation_code,count
330039,AM,13,5
330039,AM,14,45
330039,AM,16,5
330039,AM,17,27
330039,AM,19,15
330039,AM,20,8
330039,AM,40,11
330039,AM,46,1
330039,AM,50,4
330039,AM,53,4
330039,AM,61,1
330039,AM,64,5
330039,AM,66,4
330039,AM,67,2
330039,AM,70,1
330039,AM,71,4
330039,PM,10,2
330039,PM,13,12
330039,PM,14,247
330039,PM,16,111
330039,PM,17,64
330039,PM,19,26
330039,PM,20,194
330039,PM,23,2
330039,PM,24,1
330039,PM,31,46
330039,PM,38,2
330039,PM,40,49
330039,PM,46,10
330039,PM,47,2
330039,PM,48,5
330039,PM,49,1
330039,PM,50,5
330039,PM,51,1
330039,PM,53,4
330039,PM,61,1
330039,PM,64,4
330039,PM,66,11
330039,PM,67,2
330039,PM,69,3
330039,PM,70,12
330039,PM,71,24
330039,PM,74,2
330039,PM,75,2
330039,PM,82,2
330039,PM,84,5
330039,PM,98,1
330068,AM,10,1
330068,AM,11,1
330068,AM,13,11
330068,AM,14,243
330068,AM,16,3
330068,AM,17,26
330068,AM,18,2
330068,AM,19,16
330068,AM,20,1
330068,AM,31,76
330068,AM,37,10
330068,AM,38,25
330068,AM,40,8
330068,AM,42,118
330068,AM,46,4
330068,AM,47,99
330068,AM,48,13
330068,AM,50,3
330068,AM,51,5
330068,AM,69,455
330068,AM,70,4
330068,AM,71,13
330068,AM,82,7
330068,AM,84,15
330068,PM,14,39
330068,PM,17,5
330068,PM,19,4
330068,PM,31,22
330068,PM,37,7
330068,PM,38,17
330068,PM,40,5
330068,PM,42,47
330068,PM,47,20
330068,PM,48,4
330068,PM,69,63
330068,PM,70,2
330068,PM,71,1
330068,PM,84,1
330069,AM,10,7
330069,AM,13,13
330069,AM,14,241
330069,AM,17,11
330069,AM,18,1
330069,AM,19,11
330069,AM,20,4
330069,AM,31,56
330069,AM,37,1
330069,AM,38,51
330069,AM,40,33
330069,AM,42,61
330069,AM,46,58
330069,AM,47,228
330069,AM,69,749
330069,AM,70,2
330069,AM,84,45
330069,PM,10,2
330069,PM,14,31
330069,PM,17,3
330069,PM,19,3
330069,PM,31,20
330069,PM,37,1
330069,PM,38,17
330069,PM,40,8
330069,PM,42,22
330069,PM,46,13
330069,PM,47,58
330069,PM,69,141
330069,PM,74,1
330069,PM,84,6
330551,AM,14,8
330551,AM,16,73
330551,AM,17,7
330551,AM,20,264
330551,AM,21,136
330551,AM,38,5
330551,AM,40,3
330551,AM,48,1
330551,AM,51,1
330551,AM,70,3
330551,AM,71,15
330551,AM,74,3
330551,PM,14,29
330551,PM,16,802
330551,PM,17,22
330551,PM,19,8
330551,PM,20,166
330551,PM,37,44
330551,PM,38,32
330551,PM,40,47
330551,PM,46,15
330551,PM,51,7
330551,PM,70,18
330551,PM,71,46
330551,PM,74,2
330593,AM,10,1
330593,AM,13,1
330593,AM,14,311
330593,AM,17,10
330593,AM,19,11
330593,AM,20,1
330593,AM,31,61
330593,AM,37,8
330593,AM,38,12
330593,AM,40,5
330593,AM,42,252
330593,AM,47,127
330593,AM,48,13
330593,AM,50,1
330593,AM,64,26
330593,AM,69,727
330593,AM,70,8
330593,AM,71,29
330593,AM,74,3
330593,AM,75,1
330593,AM,82,2
330593,AM,84,40
330593,PM,14,32
330593,PM,19,3
330593,PM,31,22
330593,PM,37,10
330593,PM,38,8
330593,PM,40,2
330593,PM,42,40
330593,PM,47,13
330593,PM,51,2
330593,PM,64,5
330593,PM,69,78
330593,PM,71,3
330593,PM,74,1
330593,PM,84,1
330924,AM,11,2
330924,AM,13,9
330924,AM,14,515
330924,AM,16,6
330924,AM,17,8
330924,AM,19,34
330924,AM,20,3
330924,AM,22,1
330924,AM,24,1
330924,AM,31,151
330924,AM,40,24
330924,AM,42,32
330924,AM,46,6
330924,AM,47,333
330924,AM,50,5
330924,AM,51,1
330924,AM,69,491
330924,AM,70,5
330924,AM,71,20
330924,AM,82,6
330924,AM,98,1
330924,PM,14,52
330924,PM,16,9
330924,PM,19,21
330924,PM,20,2
330924,PM,31,50
330924,PM,37,8
330924,PM,38,36
330924,PM,40,1
330924,PM,42,5
330924,PM,46,3
330924,PM,47,28
330924,PM,50,1
330924,PM,69,34
330924,PM,70,1
330924,PM,71,6
330924,PM,74,1
330957,AM,14,1
330957,AM,31,1
330957,AM,42,2
330957,AM,69,5
330957,AM,84,1
330957,PM,10,1
330957,PM,13,1
330957,PM,14,280
330957,PM,16,1
330957,PM,17,37
