issuer_code,type_day,violation_category,count
330039,Week,2,562
330039,Week,3,25
330039,Week,5,37
330039,Week,6,8
330039,Weekend,2,318
330039,Weekend,3,18
330039,Weekend,5,20
330039,Weekend,6,7
330068,Week,2,455
330068,Week,3,147
330068,Week,4,175
330068,Week,5,593
330068,Weekend,2,8
330068,Weekend,3,1
330068,Weekend,4,7
330068,Weekend,5,10
330069,Week,2,444
330069,Week,3,357
330069,Week,4,85
330069,Week,5,1012
330551,Week,1,136
330551,Week,2,1429
330551,Week,3,24
330551,Week,4,44
330551,Week,5,124
330593,Week,2,487
330593,Week,3,156
330593,Week,4,310
330593,Week,5,911
330593,Weekend,2,4
330593,Weekend,5,2
330924,Week,2,828
330924,Week,3,372
330924,Week,4,37
330924,Week,5,557
330924,Weekend,2,62
330924,Weekend,3,5
330924,Weekend,4,8
330924,Weekend,5,43
330957,Week,2,700
330957,Week,3,134
330957,Week,4,181
330957,Week,5,480
330978,Week,1,199
330978,Week,2,516
330978,Week,3,171
330978,Week,4,8
330978,Week,5,207
330978,Week,6,5
330978,Weekend,1,5
330978,Weekend,2,340
330978,Weekend,3,89
330978,Weekend,4,13
330978,Weekend,5,115
330978,Weekend,6,2
331074,Week,1,164
331074,Week,2,268
331074,Week,3,56
331074,Week,4,1
331074,Week,5,142
331074,Week,6,10
331074,Weekend,2,118
331074,Weekend,3,8
331074,Weekend,5,106
331074,Weekend,6,14
331261,Week,2,1015
331261,Week,3,86
331261,Week,5,999
331261,Weekend,2,2
331261,Weekend,3,1
331261,Weekend,5,2
331356,Week,2,595
331356,Week,3,51
331356,Week,4,3
331356,Week,5,78
331356,Weekend,2,156
331356,Weekend,3,29
331356,Weekend,4,1
331356,Weekend,5,74
331356,Weekend,6,1
331794,Week,1,54
331794,Week,2,500
331794,Week,3,43
331794,Week,4,483
331794,Week,5,756
331794,Weekend,2,12
331794,Weekend,4,2
331794,Weekend,5,14
331829,Week,2,609
331829,Week,3,60
331829,Week,4,57
331829,Week,5,179
331829,Weekend,2,488
331829,Weekend,3,91
331829,Weekend,4,7
331829,Weekend,5,171
332944,Week,1,27
332944,Week,2,693
332944,Week,3,82
332944,Week,4,1
332944,Week,5,225
332944,Week,6,28
332944,Weekend,2,271
332944,Weekend,3,26
332944,Weekend,4,3
332944,Weekend,5,114
332944,Weekend,6,12
341171,Week,1,175
341171,Week,2,1310
341171,Week,3,44
341171,Week,4,150
341171,Week,5,903
341171,Weekend,2,18
341171,Weekend,3,1
341171,Weekend,4,4
341171,Weekend,5,42
341240,Week,2,919
341240,Week,3,199
341240,Week,4,320
