issuer_code,type_day,violation_category,count
330001,Week,1,107
330001,Week,2,2459
330001,Week,3,413
330001,Week,4,4
330001,Week,5,124
330001,Weekend,1,1
330001,Weekend,2,923
330001,Weekend,3,76
330001,Weekend,4,1
330001,Weekend,5,44
330198,Week,1,1624
330198,Week,2,1096
330198,Week,3,210
330198,Week,4,156
330198,Week,5,665
330198,Weekend,1,58
330198,Weekend,2,556
330198,Weekend,3,27
330198,Weekend,4,42
330198,Weekend,5,295
330291,Week,1,1221
330291,Week,2,1045
330291,Week,3,558
330291,Week,4,1
330291,Week,5,143
330291,Week,6,1
330291,Weekend,1,283
330291,Weekend,2,328
330291,Weekend,3,127
330291,Weekend,5,145
330291,Weekend,6,1
330692,Week,1,234
330692,Week,2,2174
330692,Week,3,425
330692,Week,4,86
330692,Week,5,653
330692,Weekend,1,2
330692,Weekend,2,512
330692,Weekend,3,88
330692,Weekend,4,13
330692,Weekend,5,143
331220,Week,1,363
331220,Week,2,1086
331220,Week,3,345
331220,Week,4,89
331220,Week,5,735
331220,Weekend,1,9
331220,Weekend,2,263
331220,Weekend,3,58
331220,Weekend,4,2
331220,Weekend,5,29
331510,Week,1,5
331510,Week,2,2655
331510,Week,3,404
331510,Week,4,51
331510,Week,5,201
331510,Weekend,2,34
331510,Weekend,3,3
331510,Weekend,4,1
331510,Weekend,5,2
333163,Week,1,11
333163,Week,2,1699
333163,Week,3,603
333163,Week,4,1
333163,Week,5,197
333163,Week,6,1
333163,Weekend,2,482
333163,Weekend,3,205
333163,Weekend,5,48
333386,Week,1,1738
333386,Week,2,808
333386,Week,3,230
333386,Week,4,3
333386,Week,5,168
333386,Weekend,1,176
333386,Weekend,2,126
333386,Weekend,3,12
333386,Weekend,5,103
333733,Week,2,1791
333733,Week,3,279
333733,Week,4,331
333733,Week,5,692
333733,Week,6,140
333733,Weekend,2,164
333733,Weekend,3,23
333733,Weekend,4,26
333733,Weekend,5,73
333733,Weekend,6,23
337778,Week,1,399
337778,Week,2,637
337778,Week,3,406
337778,Week,4,705
337778,Week,5,1043
337778,Week,6,5
337778,Weekend,1,4
337778,Weekend,2,171
337778,Weekend,3,48
337778,Weekend,4,98
337778,Weekend,5,333
340051,Week,1,33
340051,Week,2,3542
340051,Week,3,464
340051,Week,5,53
340051,Weekend,2,672
340051,Weekend,3,170
340051,Weekend,5,13
341298,Week,1,4
341298,Week,2,1565
341298,Week,3,329
341298,Week,4,300
341298,Week,5,1013
341298,Week,6,14
341943,Week,2,1025
341943,Week,3,302
341943,Week,4,295
341943,Week,5,904
341943,Week,6,32
341943,Weekend,2,368
341943,Weekend,3,96
341943,Weekend,4,89
341943,Weekend,5,297
341943,Weekend,6,7
341980,Week,2,2556
341980,Week,3,123
341980,Week,4,15
341980,Week,5,149
341980,Weekend,1,9
341980,Weekend,2,243
341980,Weekend,3,40
341980,Weekend,4,1
341980,Weekend,5,30
341980,Weekend,6,4
342966,Week,1,31
342966,Week,2,3612
342966,Week,3,531
342966,Week,5,100
342966,Weekend,2,150
342966,Weekend,3,29
342966,Weekend,5,2
343918,Week,1,1341
343918,Week,2,1354
343918,Week,3,316
343918,Week,5,338
343918,Weekend,1,156
343918,Weekend,2,267
343918,Weekend,3,30
343918,Weekend,5,42
344778,Week,1,1937
344778,Week,2,1506
344778,Week,3,244
344778,Week,4,4
344778,Week,5,170
344778,Weekend,1,277
344778,Weekend,2,1229
344778,Weekend,3,92
344778,Weekend,4,2
344778,Weekend,5,197
345221,Week,1,1914
345221,Week,2,1908
345221,Week,3,180
345221,Week,4,35
345221,Week,5,297
345221,Weekend,1,43
345221,Weekend,2,181
345221,Weekend,3,30
345221,Weekend,5,35
345238,Week,1,842
345238,Week,2,1325
345238,Week,3,748
345238,Week,4,89
345238,Week,5,560
345238,Weekend,1,93
345238,Weekend,2,364
345238,Weekend,3,69
345238,Weekend,4,13
345238,Weekend,5,99
345275,Week,1,6
345275,Week,2,2072
345275,Week,3,982
345275,Week,5,664
345275,Weekend,1,2
345275,Weekend,2,979
345275,Weekend,3,316
345275,Weekend,4,1
345275,Weekend,5,188
345331,Week,1,1355
345331,Week,2,1004
345331,Week,3,195
345331,Week,5,363
345331,Week,6,29
345331,Weekend,1,214
345331,Weekend,2,293
345331,Weekend,3,52
345331,Weekend,5,199
345331,Weekend,6,10
345536,Week,1,17
345536,Week,2,830
345536,Week,3,154
345536,Week,4,5
345536,Week,5,107
345536,Weekend,1,1
345536,Weekend,2,361
345536,Weekend,3,80
345536,Weekend,4,1
345536,Weekend,5,27
345560,Week,1,1408
345560,Week,2,1379
345560,Week,3,530
345560,Week,5,215
345560,Weekend,1,83
345560,Weekend,2,183
345560,Weekend,3,29
345560,Weekend,5,53
346105,Week,1,2118
346105,Week,2,1894
346105,Week,3,496
346105,Week,4,101
346105,Week,5,635
346105,Weekend,1,127
346105,Weekend,2,362
346105,Weekend,3,50
346105,Weekend,4,1
346105,Weekend,5,172
346105,Weekend,6,1
346109,Week,2,2132
346109,Week,3,537
346109,Week,4,18
346109,Week,5,489
346109,Week,6,3
346109,Weekend,2,104
346109,Weekend,3,30
346109,Weekend,5,44
346330,Week,1,76
346330,Week,2,3219
346330,Week,3,274
346330,Week,4,1
346330,Week,5,199
346330,Week,6,7
346330,Weekend,1,115
346330,Weekend,2,698
346330,Weekend,3,49
346330,Weekend,5,117
346346,Week,1,374
346346,Week,2,2821
346346,Week,3,464
346346,Week,4,399
346346,Week,5,885
346346,Weekend,1,3
346346,Weekend,2,317
346346,Weekend,3,50
346346,Weekend,4,26
346346,Weekend,5,119
346381,Week,2,1879
346381,Week,3,161
346381,Week,4,205
346381,Week,5,612
346381,Week,6,3
346381,Weekend,1,17
346381,Weekend,2,901
346381,Weekend,3,60
346381,Weekend,4,58
346381,Weekend,5,197
346381,Weekend,6,16
346409,Week,1,33
346409,Week,2,1570
346409,Week,3,443
346409,Week,4,28
346409,Week,5,746
346409,Weekend,2,49
346409,Weekend,3,11
346409,Weekend,5,15
347489,Week,1,2168
347489,Week,2,2562
347489,Week,3,130
347489,Week,4,29
347489,Week,5,211
347489,Weekend,1,229
347489,Weekend,2,1291
347489,Weekend,3,63
347489,Weekend,4,4
347489,Weekend,5,206
347593,Week,1,1366
347593,Week,2,1621
347593,Week,3,241
347593,Week,4,23
347593,Week,5,218
347593,Weekend,1,31
347593,Weekend,2,244
347593,Weekend,3,30
347593,Weekend,5,50
347674,Week,1,1216
347674,Week,2,1092
347674,Week,3,161
347674,Week,5,203
347674,Weekend,1,305
347674,Weekend,2,568
347674,Weekend,3,48
347674,Weekend,5,130
347687,Week,1,21
347687,Week,2,4103
347687,Week,3,736
347687,Week,5,256
347687,Weekend,2,540
347687,Weekend,3,162
347687,Weekend,5,128
348520,Week,2,1810
348520,Week,3,120
348520,Week,4,2
348520,Week,5,202
348566,Week,2,2124
348566,Week,3,393
348566,Week,4,14
348566,Week,5,343
348566,Week,6,3
348566,Weekend,2,54
348566,Weekend,3,27
348566,Weekend,4,1
348566,Weekend,5,12
349481,Week,1,79
349481,Week,2,2870
349481,Week,3,392
349481,Week,4,318
349481,Week,5,782
349481,Weekend,1,2
349481,Weekend,2,319
349481,Weekend,3,25
349481,Weekend,4,17
349481,Weekend,5,65
349538,Week,1,98
349538,Week,2,2426
349538,Week,3,111
349538,Week,4,130
349538,Week,5,483
349538,Weekend,2,190
