issuer_code,type_day,violation_code,count
330001,Week,10,7
330001,Week,11,86
330001,Week,13,32
330001,Week,14,1546
330001,Week,16,212
330001,Week,17,24
330001,Week,18,3
330001,Week,19,153
330001,Week,20,50
330001,Week,21,107
330001,Week,31,208
330001,Week,37,4
330001,Week,38,3
330001,Week,40,26
330001,Week,46,51
330001,Week,47,262
330001,Week,48,86
330001,Week,50,11
330001,Week,51,3
330001,Week,64,112
330001,Week,69,50
330001,Week,70,15
330001,Week,71,29
330001,Week,72,1
330001,Week,74,8
330001,Week,84,18
330001,Weekend,10,1
330001,Weekend,11,36
330001,Weekend,13,28
330001,Weekend,14,284
330001,Weekend,16,72
330001,Weekend,17,34
330001,Weekend,19,67
330001,Weekend,20,33
330001,Weekend,21,1
330001,Weekend,31,76
330001,Weekend,37,1
330001,Weekend,38,5
330001,Weekend,40,173
330001,Weekend,46,32
330001,Weekend,47,21
330001,Weekend,48,13
330001,Weekend,50,9
330001,Weekend,64,119
330001,Weekend,67,1
330001,Weekend,69,5
330001,Weekend,70,9
330001,Weekend,71,21
330001,Weekend,74,1
330001,Weekend,84,3
330198,Week,10,61
330198,Week,13,6
330198,Week,14,372
330198,Week,16,94
330198,Week,17,104
330198,Week,18,4
330198,Week,19,62
330198,Week,20,287
330198,Week,21,1624
330198,Week,24,33
330198,Week,31,12
330198,Week,37,148
330198,Week,38,434
330198,Week,39,4
330198,Week,40,34
330198,Week,42,4
330198,Week,46,12
330198,Week,48,131
330198,Week,50,12
330198,Week,51,33
330198,Week,53,22
330198,Week,68,27
330198,Week,69,62
330198,Week,70,18
330198,Week,71,93
330198,Week,74,15
330198,Week,82,3
330198,Week,84,40
330198,Weekend,10,9
330198,Weekend,13,6
330198,Weekend,14,176
330198,Weekend,16,75
330198,Weekend,17,98
330198,Weekend,19,31
330198,Weekend,20,119
330198,Weekend,21,58
330198,Weekend,31,7
330198,Weekend,37,42
330198,Weekend,38,255
330198,Weekend,40,32
330198,Weekend,46,10
330198,Weekend,48,9
330198,Weekend,50,4
330198,Weekend,51,2
330198,Weekend,53,2
330198,Weekend,68,3
330198,Weekend,69,1
330198,Weekend,70,5
330198,Weekend,71,26
330198,Weekend,74,6
330198,Weekend,82,1
330198,Weekend,84,1
330291,Week,11,10
330291,Week,13,2
330291,Week,14,527
330291,Week,16,7
330291,Week,17,18
330291,Week,18,3
330291,Week,19,83
330291,Week,20,230
330291,Week,21,1221
330291,Week,37,1
330291,Week,38,74
330291,Week,40,165
330291,Week,46,355
330291,Week,48,30
330291,Week,49,1
330291,Week,50,59
330291,Week,51,2
330291,Week,53,11
330291,Week,60,91
330291,Week,61,2
330291,Week,66,1
330291,Week,67,7
330291,Week,70,14
330291,Week,71,38
330291,Week,74,3
330291,Week,82,3
330291,Week,84,11
330291,Weekend,10,1
330291,Weekend,11,4
330291,Weekend,13,1
330291,Weekend,14,26
330291,Weekend,16,2
330291,Weekend,17,7
330291,Weekend,19,19
330291,Weekend,20,119
330291,Weekend,21,283
330291,Weekend,38,121
330291,Weekend,40,149
330291,Weekend,46,20
330291,Weekend,48,20
330291,Weekend,50,24
330291,Weekend,53,2
330291,Weekend,60,48
330291,Weekend,61,1
330291,Weekend,66,1
330291,Weekend,67,12
330291,Weekend,70,7
330291,Weekend,71,16
330291,Weekend,74,1
330692,Week,9,13
330692,Week,10,30
330692,Week,11,11
330692,Week,13,46
330692,Week,14,1043
330692,Week,16,141
330692,Week,17,17
330692,Week,18,95
330692,Week,19,92
330692,Week,20,182
330692,Week,21,234
330692,Week,31,205
330692,Week,32,2
330692,Week,37,84
330692,Week,38,81
330692,Week,40,135
330692,Week,46,37
330692,Week,47,269
330692,Week,48,76
330692,Week,50,21
330692,Week,52,3
330692,Week,53,2
330692,Week,64,177
330692,Week,67,4
330692,Week,69,455
330692,Week,70,11
330692,Week,71,47
330692,Week,74,17
330692,Week,82,3
330692,Week,84,39
330692,Weekend,10,3
330692,Weekend,11,7
330692,Weekend,13,7
330692,Weekend,14,131
330692,Weekend,16,44
330692,Weekend,17,6
330692,Weekend,19,44
330692,Weekend,20,29
330692,Weekend,21,2
330692,Weekend,31,16
330692,Weekend,37,13
330692,Weekend,38,32
330692,Weekend,40,139
330692,Weekend,46,25
330692,Weekend,47,44
330692,Weekend,48,5
330692,Weekend,50,11
330692,Weekend,51,1
330692,Weekend,53,2
330692,Weekend,64,85
330692,Weekend,69,64
330692,Weekend,70,9
330692,Weekend,71,28
330692,Weekend,74,4
330692,Weekend,84,6
330692,Weekend,98,1
331220,Week,8,5
331220,Week,10,28
331220,Week,11,2
331220,Week,13,15
331220,Week,14,330
331220,Week,16,31
331220,Week,17,30
331220,Week,18,8
331220,Week,19,44
331220,Week,20,63
331220,Week,21,363
331220,Week,24,1
331220,Week,31,458
331220,Week,37,14
331220,Week,38,49
331220,Week,40,65
331220,Week,42,74
331220,Week,43,1
331220,Week,46,108
331220,Week,47,191
331220,Week,48,27
331220,Week,50,7
331220,Week,51,6
331220,Week,53,4
331220,Week,64,6
331220,Week,69,546
331220,Week,70,5
331220,Week,71,25
331220,Week,74,4
331220,Week,79,2
331220,Week,82,39
331220,Week,84,67
331220,Weekend,8,1
331220,Weekend,10,1
331220,Weekend,13,10
331220,Weekend,14,78
331220,Weekend,16,8
331220,Weekend,17,27
331220,Weekend,19,25
331220,Weekend,20,18
331220,Weekend,21,9
331220,Weekend,31,21
331220,Weekend,37,1
331220,Weekend,38,8
331220,Weekend,40,73
331220,Weekend,42,1
331220,Weekend,46,36
331220,Weekend,47,17
331220,Weekend,48,3
331220,Weekend,50,2
331220,Weekend,69,8
331220,Weekend,70,5
331220,Weekend,71,6
331220,Weekend,75,1
331220,Weekend,84,1
331220,Weekend,98,1
331510,Week,4,17
331510,Week,10,18
331510,Week,13,16
331510,Week,14,944
331510,Week,16,445
331510,Week,17,95
331510,Week,18,3
331510,Week,19,169
331510,Week,20,531
331510,Week,21,5
331510,Week,31,231
331510,Week,37,49
331510,Week,38,58
331510,Week,40,185
331510,Week,42,2
331510,Week,46,85
331510,Week,48,131
331510,Week,50,22
331510,Week,51,17
331510,Week,53,118
331510,Week,61,3
331510,Week,67,28
331510,Week,69,32
331510,Week,70,25
331510,Week,71,39
331510,Week,74,11
331510,Week,75,1
