issuer_code,tickets_monday,tickets_tuesday,tickets_wednesdays,tickets_thursday,tickets_friday,tickets_saturday,tickets_sunday,tickets_cat_1,tickets_cat_2,tickets_cat_3,tickets_cat_4,tickets_cat_5,tickets_cat_6,tickets_week,tickets_weekend,tickets_am,tickets_pm
52911,28,23,14,21,21,0,0,0,38,56,0,13,0,107,0,76,31
111125,36,22,31,11,18,10,8,1,133,2,0,0,0,118,18,3,133
111151,5,8,13,5,0,11,7,5,39,3,0,2,0,31,18,9,40
330015,74,70,77,52,78,1,0,0,93,49,0,196,0,351,1,241,111
330039,130,127,118,127,130,0,363,0,880,43,0,57,15,632,363,142,853
330068,248,302,327,236,257,26,0,0,463,148,182,603,0,1370,26,1159,237
330069,370,368,376,352,432,0,0,0,444,357,85,1012,0,1898,0,1572,326
330076,626,718,479,683,595,634,0,1265,1671,367,0,431,1,3101,634,3702,33
330232,28,22,12,13,20,0,0,0,88,5,0,2,0,95,0,0,95
330344,175,223,138,192,154,17,15,32,561,97,5,209,10,882,32,727,187
330347,8,19,6,9,16,0,0,0,57,0,0,1,0,58,0,4,54
330487,158,156,191,134,227,0,728,0,1101,140,4,79,270,866,728,13,1581
330551,301,307,341,505,303,0,0,136,1429,24,44,124,0,1757,0,519,1238
330571,38,40,46,19,27,27,1,0,196,0,0,2,0,170,28,9,189
330581,141,135,94,155,154,109,226,51,617,84,23,239,0,679,335,648,366
330593,398,390,378,345,353,6,0,0,491,156,310,913,0,1864,6,1650,220
330595,25,34,25,24,27,6,0,0,141,0,0,0,0,135,6,120,21
330602,136,138,144,151,100,56,0,6,275,89,1,352,2,669,56,630,95
330666,34,24,29,33,24,25,0,2,164,2,0,1,0,144,25,34,135
330711,126,77,99,106,61,42,67,0,498,23,0,48,9,469,109,23,555
330722,55,82,63,93,97,84,0,0,382,67,0,25,0,390,84,385,89
330749,77,99,54,97,70,125,175,58,451,40,10,138,0,397,300,443,254
330794,65,67,75,83,57,46,0,1,313,22,0,57,0,347,46,365,28
330876,30,20,15,13,25,0,0,0,102,0,0,1,0,103,0,1,102
330898,47,43,30,24,46,52,0,0,234,0,0,8,0,190,52,2,240
