issuer_code,tickets_monday,tickets_tuesday,tickets_wednesdays,tickets_thursday,tickets_friday,tickets_saturday,tickets_sunday,tickets_cat_1,tickets_cat_2,tickets_cat_3,tickets_cat_4,tickets_cat_5,tickets_cat_6,tickets_week,tickets_weekend,tickets_am,tickets_pm
330001,669,807,636,415,580,404,641,108,3382,489,5,168,0,3107,1045,3586,566
330198,858,824,624,738,707,588,390,1682,1652,237,198,960,0,3751,978,3630,1099
330291,629,646,553,511,630,717,167,1504,1373,685,1,288,2,2969,884,3669,184
330692,720,802,555,733,762,395,363,236,2686,513,99,796,0,3572,758,3480,850
331220,493,557,507,569,492,129,232,372,1349,403,91,764,0,2618,361,2517,462
331510,639,660,639,687,691,40,0,5,2689,407,52,203,0,3316,40,8,3348
333163,649,633,501,324,405,341,394,11,2181,808,1,245,1,2512,735,2713,534
333386,684,731,457,526,549,417,0,1914,934,242,3,271,0,2947,417,3250,114
333733,614,700,645,627,647,254,55,0,1955,302,357,765,163,3233,309,10,3532
337778,511,713,653,601,717,439,215,403,808,454,803,1376,5,3195,654,1994,1855
340051,788,1046,815,614,829,346,509,33,4214,634,0,66,0,4092,855,3839,1108
341298,616,758,680,621,550,0,0,4,1565,329,300,1013,14,3225,0,544,2681
341943,507,544,365,504,638,598,259,0,1393,398,384,1201,39,2558,857,1415,2000
341980,617,618,602,540,466,327,0,9,2799,163,16,179,4,2843,327,303,2867
342966,665,1113,883,812,801,181,0,31,3762,560,0,102,0,4274,181,3759,696
343918,738,797,472,647,695,425,70,1497,1621,346,0,380,0,3349,495,3805,39
344778,638,848,598,833,944,977,820,2214,2735,336,6,367,0,3861,1797,5532,126
345221,768,964,651,934,1017,190,99,1957,2089,210,35,332,0,4334,289,4239,384
345238,685,797,630,623,829,483,155,935,1689,817,102,659,0,3564,638,2811,1391
345275,647,765,678,826,808,645,841,8,3051,1298,1,852,0,3724,1486,4680,530
345331,592,535,531,645,643,555,213,1569,1297,247,0,562,39,2946,768,3668,46
345536,179,200,210,231,293,361,109,18,1191,234,6,134,0,1113,470,990,593
345560,725,870,537,663,737,348,0,1491,1562,559,0,268,0,3532,348,3852,28
346105,1082,1242,731,983,1206,678,35,2245,2256,546,102,807,1,5244,713,4885,1072
