issuer_code,day_week,type_day,day_period,violation_code,violation_category,count
330039,1,Week,PM,10,2,1
330039,1,Week,PM,14,2,43
330039,1,Week,PM,16,2,11
330039,1,Week,PM,17,2,5
330039,1,Week,PM,19,2,4
330039,1,Week,PM,20,2,35
330039,1,Week,PM,31,2,10
330039,1,Week,PM,38,5,1
330039,1,Week,PM,40,2,3
330039,1,Week,PM,48,3,1
330039,1,Week,PM,50,3,2
330039,1,Week,PM,51,3,1
330039,1,Week,PM,53,3,2
330039,1,Week,PM,61,3,1
330039,1,Week,PM,64,2,1
330039,1,Week,PM,66,6,1
330039,1,Week,PM,69,5,2
330039,1,Week,PM,70,5,1
330039,1,Week,PM,71,5,3
330039,1,Week,PM,74,5,1
330039,1,Week,PM,84,5,1
330039,2,Week,PM,14,2,40
330039,2,Week,PM,16,2,28
330039,2,Week,PM,17,2,4
330039,2,Week,PM,20,2,23
330039,2,Week,PM,24,2,1
330039,2,Week,PM,31,2,9
330039,2,Week,PM,38,5,1
330039,2,Week,PM,40,2,6
330039,2,Week,PM,46,3,1
330039,2,Week,PM,47,3,1
330039,2,Week,PM,50,3,1
330039,2,Week,PM,66,6,5
330039,2,Week,PM,69,5,1
330039,2,Week,PM,70,5,1
330039,2,Week,PM,71,5,2
330039,2,Week,PM,82,5,1
330039,2,Week,PM,84,5,1
330039,2,Week,PM,98,2,1
330039,3,Week,PM,14,2,36
330039,3,Week,PM,16,2,24
330039,3,Week,PM,17,2,5
330039,3,Week,PM,19,2,1
330039,3,Week,PM,20,2,28
330039,3,Week,PM,31,2,8
330039,3,Week,PM,40,2,2
330039,3,Week,PM,46,3,3
330039,3,Week,PM,47,3,1
330039,3,Week,PM,48,3,1
330039,3,Week,PM,50,3,1
330039,3,Week,PM,66,6,1
330039,3,Week,PM,70,5,2
330039,3,Week,PM,71,5,3
330039,3,Week,PM,75,5,1
330039,3,Week,PM,84,5,1
330039,4,Week,AM,16,2,1
330039,4,Week,AM,53,3,1
330039,4,Week,PM,13,2,1
330039,4,Week,PM,14,2,34
330039,4,Week,PM,16,2,20
330039,4,Week,PM,17,2,11
330039,4,Week,PM,19,2,1
330039,4,Week,PM,20,2,27
330039,4,Week,PM,31,2,16
330039,4,Week,PM,40,2,9
330039,4,Week,PM,46,3,1
330039,4,Week,PM,48,3,1
330039,4,Week,PM,70,5,2
330039,4,Week,PM,71,5,1
330039,4,Week,PM,82,5,1
330039,5,Week,PM,14,2,29
330039,5,Week,PM,16,2,17
330039,5,Week,PM,17,2,6
330039,5,Week,PM,20,2,51
330039,5,Week,PM,31,2,3
330039,5,Week,PM,40,2,7
330039,5,Week,PM,46,3,2
330039,5,Week,PM,48,3,2
330039,5,Week,PM,49,3,1
330039,5,Week,PM,53,3,1
330039,5,Week,PM,66,6,1
330039,5,Week,PM,70,5,3
330039,5,Week,PM,71,5,5
