issuer_code,day_week,type_day,day_period,violation_code,violation_category,count
330001,1,Week,AM,10,2,2
330001,1,Week,AM,11,2,21
330001,1,Week,AM,13,2,6
330001,1,Week,AM,14,2,313
330001,1,Week,AM,16,2,44
330001,1,Week,AM,17,2,8
330001,1,Week,AM,18,2,2
330001,1,Week,AM,19,2,24
330001,1,Week,AM,20,2,21
330001,1,Week,AM,21,1,33
330001,1,Week,AM,31,2,48
330001,1,Week,AM,40,2,7
330001,1,Week,AM,46,3,13
330001,1,Week,AM,47,3,47
330001,1,Week,AM,48,3,10
330001,1,Week,AM,50,3,2
330001,1,Week,AM,64,2,31
330001,1,Week,AM,69,5,16
330001,1,Week,AM,70,5,1
330001,1,Week,AM,71,5,11
330001,1,Week,AM,72,5,1
330001,1,Week,AM,74,5,3
330001,1,Week,AM,84,5,3
330001,1,Week,PM,31,2,1
330001,1,Week,PM,71,5,1
330001,2,Week,AM,10,2,1
330001,2,Week,AM,11,2,19
330001,2,Week,AM,13,2,9
330001,2,Week,AM,14,2,359
330001,2,Week,AM,16,2,44
330001,2,Week,AM,17,2,5
330001,2,Week,AM,19,2,61
330001,2,Week,AM,20,2,7
330001,2,Week,AM,21,1,40
330001,2,Week,AM,31,2,33
330001,2,Week,AM,37,4,1
330001,2,Week,AM,40,2,6
330001,2,Week,AM,46,3,12
330001,2,Week,AM,47,3,75
330001,2,Week,AM,48,3,35
330001,2,Week,AM,50,3,2
330001,2,Week,AM,51,3,2
330001,2,Week,AM,64,2,26
330001,2,Week,AM,69,5,14
330001,2,Week,AM,70,5,3
330001,2,Week,AM,71,5,3
330001,2,Week,AM,74,5,1
330001,2,Week,AM,84,5,5
330001,2,Week,PM,13,2,1
330001,2,Week,PM,14,2,7
330001,2,Week,PM,16,2,9
330001,2,Week,PM,19,2,2
330001,2,Week,PM,20,2,6
330001,2,Week,PM,31,2,8
330001,2,Week,PM,46,3,4
330001,2,Week,PM,47,3,1
330001,2,Week,PM,48,3,3
330001,2,Week,PM,64,2,1
330001,2,Week,PM,70,5,1
330001,2,Week,PM,71,5,1
330001,3,Week,AM,10,2,1
330001,3,Week,AM,11,2,17
330001,3,Week,AM,13,2,5
330001,3,Week,AM,14,2,362
330001,3,Week,AM,16,2,34
330001,3,Week,AM,17,2,5
330001,3,Week,AM,18,2,1
330001,3,Week,AM,19,2,25
330001,3,Week,AM,20,2,2
330001,3,Week,AM,21,1,2
330001,3,Week,AM,31,2,46
330001,3,Week,AM,37,4,2
330001,3,Week,AM,38,5,2
330001,3,Week,AM,40,2,5
330001,3,Week,AM,46,3,11
330001,3,Week,AM,47,3,59
330001,3,Week,AM,48,3,12
330001,3,Week,AM,50,3,3
330001,3,Week,AM,64,2,24
330001,3,Week,AM,69,5,8
330001,3,Week,AM,70,5,4
330001,3,Week,AM,71,5,3
330001,3,Week,AM,74,5,1
330001,3,Week,AM,84,5,2
330001,4,Week,AM,11,2,11
330001,4,Week,AM,13,2,5
330001,4,Week,AM,14,2,210
330001,4,Week,AM,16,2,27
330001,4,Week,AM,17,2,1
330001,4,Week,AM,19,2,16
330001,4,Week,AM,20,2,8
330001,4,Week,AM,21,1,3
330001,4,Week,AM,31,2,31
330001,4,Week,AM,38,5,1
330001,4,Week,AM,40,2,2
330001,4,Week,AM,46,3,4
330001,4,Week,AM,47,3,39
330001,4,Week,AM,48,3,5
330001,4,Week,AM,50,3,1
330001,4,Week,AM,64,2,14
330001,4,Week,AM,69,5,7
330001,4,Week,AM,70,5,3
330001,4,Week,AM,71,5,3
330001,4,Week,AM,84,5,3
330001,4,Week,PM,14,2,6
330001,4,Week,PM,16,2,8
330001,4,Week,PM,31,2,5
330001,4,Week,PM,46,3,1
330001,4,Week,PM,48,3,1
330001,5,Week,AM,10,2,3
330001,5,Week,AM,11,2,18
330001,5,Week,AM,13,2,6
330001,5,Week,AM,14,2,289
330001,5,Week,AM,16,2,46
330001,5,Week,AM,17,2,5
330001,5,Week,AM,19,2,24
330001,5,Week,AM,20,2,6
330001,5,Week,AM,21,1,29
330001,5,Week,AM,31,2,36
330001,5,Week,AM,37,4,1
330001,5,Week,AM,40,2,6
330001,5,Week,AM,46,3,6
330001,5,Week,AM,47,3,41
330001,5,Week,AM,48,3,19
330001,5,Week,AM,50,3,3
330001,5,Week,AM,51,3,1
330001,5,Week,AM,64,2,16
330001,5,Week,AM,69,5,5
