violation_code,count,cumul,% cumul,distinct %
14,281755,281755,16%,16%
38,200043,481798,27%,11%
69,146509,628307,35%,8%
21,142015,770322,43%,8%
37,140835,911157,51%,8%
20,102122,1013279,57%,6%
31,97797,1111076,62%,5%
16,94293,1205369,68%,5%
46,74781,1280150,72%,4%
40,72354,1352504,76%,4%
47,65574,1418078,80%,4%
19,49591,1467669,82%,3%
42,48297,1515966,85%,3%
71,47104,1563070,88%,3%
17,28025,1591095,89%,2%
84,22612,1613707,91%,1%
70,21739,1635446,92%,1%
48,17940,1653386,93%,1%
10,12894,1666280,94%,1%
13,12683,1678963,94%,1%
82,11994,1690957,95%,1%
50,10498,1701455,96%,1%
53,8388,1709843,96%,0%
51,8360,1718203,96%,0%
64,7920,1726123,97%,0%
18,7629,1733752,97%,0%
74,6887,1740639,98%,0%
45,5739,1746378,98%,0%
77,3949,1750327,98%,0%
9,3544,1753871,98%,0%
24,3503,1757374,99%,0%
35,3314,1760688,99%,0%
83,2605,1763293,99%,0%
39,2029,1765322,99%,0%
11,1988,1767310,99%,0%
60,1956,1769266,99%,0%
89,1606,1770872,99%,0%
8,1474,1772346,99%,0%
67,1140,1773486,100%,0%
23,1021,1774507,100%,0%
61,989,1775496,100%,0%
66,925,1776421,100%,0%
73,745,1777166,100%,0%
98,619,1777785,100%,0%
75,570,1778355,100%,0%
68,539,1778894,100%,0%
72,396,1779290,100%,0%
4,378,1779668,100%,0%
41,250,1779918,100%,0%
43,243,1780161,100%,0%
62,221,1780382,100%,0%
49,185,1780567,100%,0%
27,134,1780701,100%,0%
79,118,1780819,100%,0%
52,100,1780919,100%,0%
34,96,1781015,100%,0%
59,93,1781108,100%,0%
26,70,1781178,100%,0%
81,59,1781237,100%,0%
80,40,1781277,100%,0%
99,32,1781309,100%,0%
32,31,1781340,100%,0%
85,29,1781369,100%,0%
95,28,1781397,100%,0%
78,27,1781424,100%,0%
97,23,1781447,100%,0%
15,17,1781464,100%,0%
44,11,1781475,100%,0%
92,10,1781485,100%,0%
91,6,1781491,100%,0%
58,5,1781496,100%,0%
57,5,1781501,100%,0%
25,4,1781505,100%,0%
22,4,1781509,100%,0%
33,3,1781512,100%,0%
65,3,1781515,100%,0%
76,3,1781518,100%,0%
1,3,1781521,100%,0%
86,2,1781523,100%,0%
12,2,1781525,100%,0%
3,2,1781527,100%,0%
5,2,1781529,100%,0%
28,2,1781531,100%,0%
63,1,1781532,100%,0%
55,1,1781533,100%,0%
36,1,1781534,100%,0%
94,1,1781535,100%,0%
96,1,1781536,100%,0%
90,1,1781537,100%,0%
88,1,1781538,100%,0%
54,1,1781539,100%,0%
56,1,1781540,100%,0%
7,1,1781541,100%,0%
,,,,
,1781541,,,
