summons_number,issue_date,violation_code,violation_category,issuer_code,time_format,address,Latitude,Longitude
7175934853,1/2/14,16,2,353164,0.615277778,57 Kenmare St,40.72100625,-73.9958053
7175934841,1/2/14,37,4,353164,0.6125,185 Mulberry St,40.72092751,-73.99689936
7175934830,1/2/14,31,2,353164,0.610416667,184-186 Mulberry St,40.724324,-73.996124
7175934828,1/2/14,40,2,353164,0.583333333,202 Mott St,40.72139362,-73.99545653
7175934816,1/2/14,20,2,353164,0.577777778,222 Bowery,40.72213205,-73.99376868
7175934786,1/2/14,48,3,353164,0.568055556,183 Chrystie St,40.72174376,-73.99236729
7175934750,1/2/14,14,2,353164,0.559722222,235 Bowery,40.72235109,-73.99284639
7175934737,1/2/14,40,2,353164,0.549305556,226-228 Bowery,40.724324,-73.996124
7175934981,1/2/14,20,2,353164,0.728472222,226 Lafayette St,40.72225278,-73.99748409
7175934968,1/2/14,31,2,353164,0.699305556,433 Broome St,40.72134452,-73.99949707
7175934944,1/2/14,20,2,353164,0.695833333,43 Crosby St,40.72167933,-73.9984872
7175934920,1/2/14,37,4,353164,0.689583333,185 Mulberry St,40.72092751,-73.99689936
7175934907,1/2/14,16,2,353164,0.644444444,89 Crosby St,40.72317413,-73.99743037
7175934877,1/2/14,77,6,353164,0.633333333,555 Broadway,40.72390406,-73.99818292
7175934865,1/2/14,37,4,353164,0.622222222,405 Broome St,40.72084583,-73.99791116
7175935006,1/2/14,19,2,353164,0.775,55 E Houston St,40.62231146,-74.14629864
7175934993,1/2/14,42,4,353164,0.746527778,575 Broadway,40.72449267,-73.99768491
7175934970,1/2/14,20,2,353164,0.726388889,23 Cleveland Pl,40.7217395,-73.99699928
7175934956,1/2/14,31,2,353164,0.698611111,438 Broome St,40.72178664,-73.99919046
7175934932,1/2/14,38,5,353164,0.690277778,188 Mulberry St,40.72111114,-73.99650247
7175934919,1/2/14,20,2,353164,0.686805556,218 Lafayette St,40.72199475,-73.99780523
7175934889,1/2/14,42,4,353164,0.636805556,540 Broadway,40.72318136,-73.99806207
7175934804,1/2/14,16,2,353164,0.575,11 Rivington St,40.72118511,-73.99275607
7175934798,1/2/14,20,2,353164,0.56875,187 Chrystie St,40.72183905,-73.99232246
7175934762,1/2/14,48,3,353164,0.563888889,229 Chrystie St,40.72270166,-73.99159912
7175934749,1/2/14,46,3,353164,0.552777778,218 Bowery,40.72200173,-73.99381303
7175934725,1/2/14,20,2,353164,0.543055556,181 Chrystie St,40.72164719,-73.99240959
7928327946,1/6/14,10,2,353164,0.748611111,49 Bleecker St,40.72573172,-73.99372638
7928327971,1/6/14,38,5,353164,0.78125,98 Forsyth St,40.71817202,-73.9926355
7928327958,1/6/14,14,2,353164,0.750694444,302 Elizabeth St,40.72505164,-73.99298652
7928327880,1/6/14,20,2,353164,0.666666667,290 Mulberry St,40.72474143,-73.99491278
7928327879,1/6/14,16,2,353164,0.624305556,302-4 Mott St,40.72486603,-73.99382267
7928327867,1/6/14,20,2,353164,0.618055556,137 E Houston St,40.72310172,-73.9901216
7928327855,1/6/14,20,2,353164,0.615972222,139 E Houston St,40.72302134,-73.98996464
7928327843,1/6/14,71,5,353164,0.611805556,195 Chrystie St,40.72217181,-73.99235229
7928327790,1/6/14,48,3,353164,0.573611111,163 Chrystie St,40.7206884,-73.99291294
7928327752,1/6/14,20,2,353164,0.568055556,193 Chrystie St,40.72194141,-73.99198463
7928327740,1/6/14,20,2,353164,0.564583333,222 Bowery,40.72213205,-73.99376868
7928327727,1/6/14,24,2,353164,0.554861111,32 Spring St,40.72151096,-73.99573373
7928327673,1/6/14,48,3,353164,0.538194444,177 Chrystie St,40.7212638,-73.99233019
7928327983,1/6/14,37,4,353164,0.786111111,129 Eldridge St,40.71887098,-73.99175083
7928327934,1/6/14,20,2,353164,0.724305556,285 Mott St,40.72429822,-73.99464198
7928327922,1/6/14,20,2,353164,0.722916667,252 Mott St,40.72332801,-73.99468215
7928327910,1/6/14,14,2,353164,0.702083333,178 Mott St,40.72033625,-73.99587237
7928327909,1/6/14,20,2,353164,0.670833333,316 Mott St,40.7252357,-73.9937004
7928327892,1/6/14,20,2,353164,0.670138889,308 Mott St,40.7251136,-73.99375343
7928327831,1/6/14,48,3,353164,0.610416667,191 Chrystie St,40.72200826,-73.99229003
7928327818,1/6/14,20,2,353164,0.581944444,174 Elizabeth St,40.72099906,-73.9946154
7928327806,1/6/14,19,2,353164,0.578472222,180 Bowery,40.72072972,-73.99427324
7928327788,1/6/14,48,3,353164,0.572916667,165 Chrystie St,40.7207538,-73.99288926
7928327776,1/6/14,16,2,353164,0.570833333,177 Chrystie St,40.7212638,-73.99233019
7928327764,1/6/14,20,2,353164,0.569444444,183 Chrystie St,40.72174376,-73.99236729
7928327739,1/6/14,20,2,353164,0.557638889,205 Mulberry St,40.72168716,-73.99646916
7928327703,1/6/14,71,5,353164,0.548611111,4 Spring St,40.72093792,-73.99403601
7928327697,1/6/14,20,2,353164,0.541666667,195 Chrystie St,40.72217181,-73.99235229
7928327685,1/6/14,48,3,353164,0.539583333,179 Chrystie St,40.72132141,-73.99230065
7941124865,1/7/14,37,4,353164,0.7875,30 Delancey St,40.7198511,-73.99218736
7941124853,1/7/14,37,4,353164,0.747222222,188 Lafayette St,40.72095144,-73.99840882
7941124841,1/7/14,20,2,353164,0.743055556,403 Broome St,40.72075128,-73.99796146
7941124786,1/7/14,16,2,353164,0.679861111,376 Broome St,40.7205623,-73.99621645
7941124774,1/7/14,71,5,353164,0.677083333,177 Mulberry St,40.72050999,-73.99693086
7941124749,1/7/14,69,5,353164,0.624305556,100 Grand St,40.72149183,-74.00158816
7941124695,1/7/14,31,2,353164,0.593055556,22D Howard St,40.71964195,-74.00019435
7941124671,1/7/14,16,2,353164,0.580555556,178 Mott St,40.72033625,-73.99587237
7941124646,1/7/14,37,4,353164,0.54375,207 Bowery,40.72123342,-73.99327792
7941124622,1/7/14,17,2,353164,0.538194444,183 Chrystie St,40.72174376,-73.99236729
7941124816,1/7/14,16,2,353164,0.689583333,75 Spring St,40.72277525,-73.9976837
7941124804,1/7/14,82,5,353164,0.688888889,75 Spring St,40.72277525,-73.9976837
7941124798,1/7/14,14,2,353164,0.683333333,62 Kenmare St,40.72085441,-73.99591817
7941124762,1/7/14,14,2,353164,0.672222222,247 Centre St,40.72013828,-73.99834934
