"summons_number","issue_date","violation_code","issuer_code","time_format","house_number","street_name","address","City","State","Zipcode","AUTO_UNIQUE_ID_2014-05-03_superegoforever_353164_all","Source","TimeTaken","UpdatedGeocoding","Version","ErrorMessage","TransactionId","naaccrQualCode","naaccrQualType","FeatureMatchingResultType","MatchedLocationType","RegionSizeUnits","InterpolationType","RegionSize","InterpolationSubType","FeatureMatchingGeographyType","MatchScore","FeatureMatchingHierarchy","TieHandlingStrategyType","FeatureMatchingResultTypeTieBreakingNotes","GeocodeQualityType","FeatureMatchingHierarchyNotes","FeatureMatchingResultTypeNotes","FeatureMatchingResultCount","Latitude","Longitude","MatchType","CensusYear","CensusPlaceFips","CensusMsaFips","CensusMetDivFips","CensusMcdFips","CensusCbsaMicro","CensusCbsaFips","CensusBlock","CensusBlockGroup","CensusTract","CensusCountyFips","CensusStateFips","naaccrCertCode","naaccrCertType"
"7175934853","1/2/2014","16","353164","14:46","57","Kenmare St","57 Kenmare St","New York","NY","10012",1,"USCGeocoder",31,1,"4.01","","52bbbe04-d82e-4ea3-a1d3-befae36f25ae","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1837.15082804137","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7210062522893,-73.9958052955759,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","6000","6","0041.00","061","36","1","ResidenceStreetAddress"
"7175934841","1/2/2014","37","353164","14:42","185","Mulberry St","185 Mulberry St","New York","NY","10012",2,"USCGeocoder",16,1,"4.01","","844df3bb-e84c-4221-af28-317ee78abc6c","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","557.914067342877","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7209275087887,-73.9968993551246,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","6002","6","0041.00","061","36","1","ResidenceStreetAddress"
"7175934830","1/2/2014","31","353164","14:39","184-186","Mulberry St","184-186 Mulberry St","New York","NY","10012",3,"USCGeocoder",16,1,"4.01","","95a42192-44d4-4389-a9a6-e4a9c04ba961","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","100","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","0",40.724324,-73.996124,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0043.00","061","36","4","ResidenceZIP"
"7175934828","1/2/2014","40","353164","14:00","202","Mott St","202 Mott St","New York","NY","10012",4,"USCGeocoder",16,1,"4.01","","e02d82c1-c3ea-4e90-8f09-10e208f04423","03","StreetSegmentInterpolation","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","LinearInterpolation","1998.02100693202","LinearInterpolationAddressRange","StreetSegment","100","FeatureClassBased","ReturnAll","","AddressRangeInterpolation","","","0",40.7213936180536,-73.9954565298234,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","1001","1","0041.00","061","36","1","ResidenceStreetAddress"
"7175934816","1/2/2014","20","353164","13:52","222","Bowery","222 Bowery","New York","NY","10012",5,"USCGeocoder",16,1,"4.01","","7cf19a67-324b-4412-b94b-494cab35a558","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","430.742865987122","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7221320549817,-73.9937686751859,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","2000","2","0043.00","061","36","1","ResidenceStreetAddress"
"7175934786","1/2/2014","48","353164","13:38","183","Chrystie St","183 Chrystie St","New York","NY","10012",6,"USCGeocoder",0,1,"4.01","","3e559516-28d0-4a72-ba8f-55edab658f57","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","425.497163966298","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7217437569443,-73.9923672935084,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0036.01","061","36","1","ResidenceStreetAddress"
"7175934750","1/2/2014","14","353164","13:26","235","Bowery","235 Bowery","New York","NY","10012",7,"USCGeocoder",0,1,"4.01","","fc0d0978-92aa-4325-8c87-2318bcdefddc","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","707.953455626965","ArealInterpolationGeometricCentroid","Parcel","98.3431952662722","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.722351088606,-73.9928463948282,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0036.01","061","36","1","ResidenceStreetAddress"
"7175934737","1/2/2014","40","353164","13:11","226-228","Bowery","226-228 Bowery","New York","NY","10012",8,"USCGeocoder",16,1,"4.01","","d8670cdd-b06d-4cff-a4fa-b4cac49344f3","09","AddressZIPCentroid","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","0","ArealInterpolationGeometricCentroid","USPSZip","100","FeatureClassBased","ReturnAll","","USPSZipAreaCentroid","","","0",40.724324,-73.996124,"Exact","TwoThousandTen","51000","5602","35644","44919","0","35620","3002","3","0043.00","061","36","4","ResidenceZIP"
"7175934981","1/2/2014","20","353164","17:29","226","Lafayette St","226 Lafayette St","New York","NY","10012",9,"USCGeocoder",16,1,"4.01","","1a4fb5f0-b885-41ae-9d46-d4d0c9335bc7","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","333.09055169858","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7222527830819,-73.9974840883115,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1001","1","0045.00","061","36","1","ResidenceStreetAddress"
"7175934968","1/2/2014","31","353164","16:47","433","Broome St","433 Broome St","New York","NY","10012",10,"USCGeocoder",0,1,"4.01","","28f5cdff-808b-4bf4-b899-7746d5a3900f","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","232.649500433356","ArealInterpolationGeometricCentroid","Parcel","98.8757396449704","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7213445225676,-73.9994970725259,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1003","1","0045.00","061","36","1","ResidenceStreetAddress"
"7175934944","1/2/2014","20","353164","16:42","43","Crosby St","43 Crosby St","New York","NY","10012",11,"USCGeocoder",0,1,"4.01","","d2f87488-94da-4a28-91d9-a757c8ab0ad1","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","231.690422024578","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7216793257092,-73.998487198961,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","1001","1","0045.00","061","36","1","ResidenceStreetAddress"
"7175934920","1/2/2014","37","353164","16:33","185","Mulberry St","185 Mulberry St","New York","NY","10012",12,"USCGeocoder",0,1,"4.01","","9066cec4-7595-457e-8776-b879a58b7256","02","Parcel","Success","LOCATION_TYPE_STREET_ADDRESS","Meters","ArealInterpolation","557.914067342877","ArealInterpolationGeometricCentroid","Parcel","99.4082840236686","FeatureClassBased","ReturnAll","","ExactParcelCentroidPoint","","","0",40.7209275087887,-73.9968993551246,"Relaxed","TwoThousandTen","51000","5602","35644","44919","0","35620","6002","6","0041.00","061","36","1","ResidenceStreetAddress"
