summons_number,issue_date,violation_code,violation_category,issuer_code,violation_time,Column2,AP,Column1,time_format,first_hour,house_number,street_name,address,city,state,zip
7937990636,8/1/13,40,2,353164,1252,52,P,1252,12:52,12,8,E 1st St,8 E 1st St,New York,NY,10014
7937990661,8/1/13,17,2,353164,117,117,P,1317,13:17,13,181,Mercer St,181 Mercer St,New York,NY,10014
7937990697,8/1/13,20,2,353164,221,221,P,1421,14:21,14,27,W 4th St,27 W 4th St,New York,NY,10014
7937990703,8/1/13,69,5,353164,228,228,P,1428,14:28,14,704,Broadway,704 Broadway,New York,NY,10014
7937990739,8/1/13,20,2,353164,255,255,P,1455,14:55,14,29,W 4th St,29 W 4th St,New York,NY,10014
7937990752,8/1/13,20,2,353164,330,330,P,1530,15:30,15,35,W 4th St,35 W 4th St,New York,NY,10014
7937990764,8/1/13,20,2,353164,331,331,P,1531,15:31,15,50,W 4th St,50 W 4th St,New York,NY,10014
7937990806,8/1/13,14,2,353164,529,529,P,1729,17:29,17,324,Lafayette St,324 Lafayette St,New York,NY,10014
7937990855,8/1/13,20,2,353164,552,552,P,1752,17:52,17,316,Mott St,316 Mott St,New York,NY,10014
7937990648,8/1/13,16,2,353164,1257,57,P,1257,12:57,12,300,Bowery,300 Bowery,New York,NY,10014
7937990650,8/1/13,16,2,353164,102,102,P,1302,13:02,13,302-4,Mott St,302-4 Mott St,New York,NY,10014
7937990673,8/1/13,16,2,353164,134,134,P,1334,13:34,13,250,Mercer St,250 Mercer St,New York,NY,10014
7937990685,8/1/13,20,2,353164,216,216,P,1416,14:16,14,14,W 4th St,14 W 4th St,New York,NY,10014
7937990715,8/1/13,38,5,353164,240,240,P,1440,14:40,14,6,Washington Pl,6 Washington Pl,New York,NY,10014
7937990740,8/1/13,20,2,353164,322,322,P,1522,15:22,15,10,Washington Pl,10 Washington Pl,New York,NY,10014
7937990776,8/1/13,14,2,353164,414,414,P,1614,16:14,16,45,W 4th St,45 W 4th St,New York,NY,10014
7937990788,8/1/13,16,2,353164,523,523,P,1723,17:23,17,68,Bleecker St,68 Bleecker St,New York,NY,10014
7937990790,8/1/13,16,2,353164,526,526,P,1726,17:26,17,65,Bleecker St,65 Bleecker St,New York,NY,10014
7937990820,8/1/13,16,2,353164,539,539,P,1739,17:39,17,306,Mott St,306 Mott St,New York,NY,10014
7937990831,8/1/13,20,2,353164,543,543,P,1743,17:43,17,284,Mott St,284 Mott St,New York,NY,10014
7937990843,8/1/13,20,2,353164,546,546,P,1746,17:46,17,298,Mulberry St,298 Mulberry St,New York,NY,10014
7937990892,8/3/13,38,5,353164,1242,42,P,1242,12:42,12,172,Ludlow St,172 Ludlow St,New York,NY,10014
7937990909,8/3/13,14,2,353164,1254,54,P,1254,12:54,12,151,E Houston St,151 E Houston St,New York,NY,10014
7937990946,8/3/13,20,2,353164,118,118,P,1318,13:18,13,36,Bleecker St,36 Bleecker St,New York,NY,10014
7937990971,8/3/13,16,2,353164,136,136,P,1336,13:36,13,306,Mott St,306 Mott St,New York,NY,10014
7937991008,8/3/13,14,2,353164,148,148,P,1348,13:48,13,308,Elizabeth St,308 Elizabeth St,New York,NY,10014
7937991033,8/3/13,14,2,353164,211,211,P,1411,14:11,14,87,E Houston St,87 E Houston St,New York,NY,10014
7937991045,8/3/13,14,2,353164,216,216,P,1416,14:16,14,284,Mott St,284 Mott St,New York,NY,10014
7937991070,8/3/13,16,2,353164,247,247,P,1447,14:47,14,306,Mott St,306 Mott St,New York,NY,10014
7937991100,8/3/13,46,3,353164,259,259,P,1459,14:59,14,68,Bleecker St,68 Bleecker St,New York,NY,10014
7937991136,8/3/13,20,2,353164,418,418,P,1618,16:18,16,1,W 3rd St,1 W 3rd St,New York,NY,10014
7937991150,8/3/13,38,5,353164,430,430,P,1630,16:30,16,1,Washington Pl,1 Washington Pl,New York,NY,10014
7937991173,8/3/13,38,5,353164,536,536,P,1736,17:36,17,566,Laguardia Pl,566 Laguardia Pl,New York,NY,10014
7937991124,8/3/13,37,4,353164,410,410,P,1610,16:10,16,566,Laguardia Pl,566 Laguardia Pl,New York,NY,10014
7937991161,8/3/13,71,5,353164,527,527,P,1727,17:27,17,245,Greene St,245 Greene St,New York,NY,10014
7937991185,8/3/13,38,5,353164,540,540,P,1740,17:40,17,566,Laguardia Pl,566 Laguardia Pl,New York,NY,10014
