violation_code,charge,category,category_description
1,515,5,Parking without proper registration- documentation- or with damaged license plates
2,515,5,Parking without proper registration- documentation- or with damaged license plates
3,515,6,Illegal practices- bad driving behavior
4,115,2,Stopping - standing or parking in illegal areas- or at certain hours
5,115,6,Illegal practices- bad driving behavior
6,265,2,Stopping - standing or parking in illegal areas- or at certain hours
7,50,6,Illegal practices- bad driving behavior
8,115,2,Stopping - standing or parking in illegal areas- or at certain hours
9,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
10,115,2,Stopping - standing or parking in illegal areas- or at certain hours
11,115,2,Stopping - standing or parking in illegal areas- or at certain hours
12,95,2,Stopping - standing or parking in illegal areas- or at certain hours
13,115,2,Stopping - standing or parking in illegal areas- or at certain hours
14,115,2,Stopping - standing or parking in illegal areas- or at certain hours
16,95,2,Stopping - standing or parking in illegal areas- or at certain hours
17,95,2,Stopping - standing or parking in illegal areas- or at certain hours
18,115,2,Stopping - standing or parking in illegal areas- or at certain hours
19,115,2,Stopping - standing or parking in illegal areas- or at certain hours
20,65,2,Stopping - standing or parking in illegal areas- or at certain hours
21,65,1,parking during street cleaning hours
22,60,2,Stopping - standing or parking in illegal areas- or at certain hours
23,65,2,Stopping - standing or parking in illegal areas- or at certain hours
24,65,2,Stopping - standing or parking in illegal areas- or at certain hours
25,115,2,Stopping - standing or parking in illegal areas- or at certain hours
26,115,2,Stopping - standing or parking in illegal areas- or at certain hours
27,180,2,Stopping - standing or parking in illegal areas- or at certain hours
28,95,2,Stopping - standing or parking in illegal areas- or at certain hours
29,515,6,Illegal practices- bad driving behavior
30,515,6,Illegal practices- bad driving behavior
31,115,2,Stopping - standing or parking in illegal areas- or at certain hours
32,65,4,Parking beyond the time allowed by regulation or by the meter
33,65,4,Parking beyond the time allowed by regulation or by the meter
34,65,4,Parking beyond the time allowed by regulation or by the meter
35,65,6,Illegal practices- bad driving behavior
36,50,6,Illegal practices- bad driving behavior
37,65,4,Parking beyond the time allowed by regulation or by the meter
38,65,5,Parking without proper registration- documentation- or with damaged license plates
39,65,4,Parking beyond the time allowed by regulation or by the meter
40,115,2,Stopping - standing or parking in illegal areas- or at certain hours
42,65,4,Parking beyond the time allowed by regulation or by the meter
43,65,4,Parking beyond the time allowed by regulation or by the meter
44,65,4,Parking beyond the time allowed by regulation or by the meter
45,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
46,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
47,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
48,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
49,95,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
50,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
51,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
52,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
53,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
55,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
56,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
57,65,2,Stopping - standing or parking in illegal areas- or at certain hours
58,65,2,Stopping - standing or parking in illegal areas- or at certain hours
59,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
60,65,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
61,65,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
62,65,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
63,95,2,Stopping - standing or parking in illegal areas- or at certain hours
64,95,2,Stopping - standing or parking in illegal areas- or at certain hours
65,95,4,Parking beyond the time allowed by regulation or by the meter
66,65,6,Illegal practices- bad driving behavior
67,165,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
68,65,2,Stopping - standing or parking in illegal areas- or at certain hours
69,65,5,Parking without proper registration- documentation- or with damaged license plates
70,65,5,Parking without proper registration- documentation- or with damaged license plates
71,65,5,Parking without proper registration- documentation- or with damaged license plates
72,65,5,Parking without proper registration- documentation- or with damaged license plates
73,65,5,Parking without proper registration- documentation- or with damaged license plates
74,65,5,Parking without proper registration- documentation- or with damaged license plates
75,65,5,Parking without proper registration- documentation- or with damaged license plates
77,65,6,Illegal practices- bad driving behavior
78,65,2,Stopping - standing or parking in illegal areas- or at certain hours
79,115,3,Parking in illegal ways or blocking access or traffic (double parking- parking the wrong way or at an angle)
80,60,6,Illegal practices- bad driving behavior
81,95,2,Stopping - standing or parking in illegal areas- or at certain hours
82,115,5,Parking without proper registration- documentation- or with damaged license plates
83,65,5,Parking without proper registration- documentation- or with damaged license plates
84,65,5,Parking without proper registration- documentation- or with damaged license plates
85,65,4,Parking beyond the time allowed by regulation or by the meter
86,115,2,Stopping - standing or parking in illegal areas- or at certain hours
89,115,2,Stopping - standing or parking in illegal areas- or at certain hours
91,65,6,Illegal practices- bad driving behavior
92,65,6,Illegal practices- bad driving behavior
93,65,6,Illegal practices- bad driving behavior
94,100,6,Illegal practices- bad driving behavior
96,95,2,Stopping - standing or parking in illegal areas- or at certain hours
97,65,2,Stopping - standing or parking in illegal areas- or at certain hours
98,95,2,Stopping - standing or parking in illegal areas- or at certain hours
99,0,6,Illegal practices- bad driving behavior
