summons_number,issue_date,violation_code,issuer_code,time_format,Address,City,State,Zip
7097809401,8/12/2013,20,349570,7:18,41 W 112th St,New York,New York,10027
7097809425,8/12/2013,21,349570,7:39,525 W 120th St,New York,New York,10027
7097809437,8/12/2013,21,349570,7:46,526 W 114th St,New York,New York,10027
7097809450,8/12/2013,40,349570,8:11,1201 Amsterdam Ave,New York,New York,10027
7097809486,8/12/2013,21,349570,8:41,271 W 119th St,New York,New York,10027
7097809528,8/12/2013,21,349570,9:44,281 W 118th St,New York,New York,10027
7097809530,8/12/2013,21,349570,9:52,159 W 118th St,New York,New York,10027
7097809565,8/12/2013,21,349570,10:04,17-21 W 118th St,New York,New York,10027
7097809577,8/12/2013,21,349570,10:15,308 W 115th St,New York,New York,10027
7097809607,8/12/2013,21,349570,11:21,69 Tiemann Pl,New York,New York,10027
7097809360,8/12/2013,46,349570,6:01,983 Columbus Ave,New York,New York,10027
7097809371,8/12/2013,46,349570,6:41,122 La Salle St,New York,New York,10027
7097809413,8/12/2013,21,349570,7:38,530 W 120th St,New York,New York,10027
7097809449,8/12/2013,21,349570,8:07,1305 Amsterdam Ave,New York,New York,10027
7097809462,8/12/2013,21,349570,8:15,1125 Amsterdam Ave,New York,New York,10027
7097809474,8/12/2013,20,349570,8:34,218 W 124th St,New York,New York,10027
7097809498,8/12/2013,46,349570,8:49,314 W 120th St,New York,New York,10027
7097809516,8/12/2013,21,349570,9:40,313 W 118th St,New York,New York,10027
7097809541,8/12/2013,21,349570,9:54,111 W 118th St,New York,New York,10027
7097809553,8/12/2013,71,349570,9:55,111 W 118th St,New York,New York,10027
7097809620,8/13/2013,19,349570,7:36,2508 Broadway,New York,New York,10027
7097809644,8/13/2013,21,349570,8:12,2643 Broadway,New York,New York,10027
7097809656,8/13/2013,21,349570,9:15,1425 Amsterdam Ave,New York,New York,10027
7097809711,8/13/2013,20,349570,9:56,228 W 132nd St,New York,New York,10027
7097809723,8/13/2013,20,349570,9:58,222 W 132nd St,New York,New York,10027
7097809772,8/13/2013,46,349570,11:47,61 St Nicholas Ave,New York,New York,10027
