summons_number,issue_date,violation_code,violation_category,issuer_code,violation_time,Column2,AP,Column1,time_format,first_hour,house_number,street_name,Column5,City,State,Zip
7097810956,8/19/2013,14,2,349570,711,711,A,711,0.299305556,7,505,Columbus Ave,505 Columbus Ave,New York,NY,10032
7097810907,8/19/2013,40,2,349570,541,541,A,541,0.236805556,5,157,W 111th St,157 W 111th St,New York,NY,10032
7097810920,8/19/2013,17,2,349570,638,638,A,638,0.276388889,6,1060,Amsterdam Ave,1060 Amsterdam Ave,New York,NY,10032
7097810932,8/19/2013,19,2,349570,643,643,A,643,0.279861111,6,2831,Broadway,2831 Broadway,New York,NY,10032
7097810968,8/19/2013,21,1,349570,736,736,A,736,0.316666667,7,2578,Broadway,2578 Broadway,New York,NY,10032
7097810981,8/19/2013,21,1,349570,743,743,A,743,0.321527778,7,2880,Broadway,2880 Broadway,New York,NY,10032
7097811006,8/19/2013,20,2,349570,837,837,A,837,0.359027778,8,521,W 159th St,521 W 159th St,New York,NY,10032
7097811020,8/19/2013,21,1,349570,842,842,A,842,0.3625,8,564,W 160th St,564 W 160th St,New York,NY,10032
7097811031,8/19/2013,21,1,349570,843,843,A,843,0.363194444,8,564,W 160th St,564 W 160th St,New York,NY,10032
7097811079,8/19/2013,21,1,349570,848,848,A,848,0.366666667,8,539,W 160th St,539 W 160th St,New York,NY,10032
7097811110,8/19/2013,21,1,349570,853,853,A,853,0.370138889,8,511,W 160th St,511 W 160th St,New York,NY,10032
7097811122,8/19/2013,21,1,349570,907,907,A,907,0.379861111,9,423,W 154th St,423 W 154th St,New York,NY,10032
7097811171,8/19/2013,21,1,349570,917,917,A,917,0.386805556,9,425,Convent Ave,425 Convent Ave,New York,NY,10032
7097811201,8/19/2013,21,1,349570,926,926,A,926,0.393055556,9,371,Convent Ave,371 Convent Ave,New York,NY,10032
7097811213,8/19/2013,21,1,349570,936,936,A,936,0.4,9,101,W 131st St,101 W 131st St,New York,NY,10032
7097811237,8/19/2013,21,1,349570,942,942,A,942,0.404166667,9,158,W 130th St,158 W 130th St,New York,NY,10032
7097811250,8/19/2013,21,1,349570,945,945,A,945,0.40625,9,123,W 130th St,123 W 130th St,New York,NY,10032
7097811262,8/19/2013,21,1,349570,948,948,A,948,0.408333333,9,67,W 130th St,67 W 130th St,New York,NY,10032
7097811286,8/19/2013,21,1,349570,1110,1110,A,1110,0.465277778,11,600,W 142nd St,600 W 142nd St,New York,NY,10032
7097811298,8/19/2013,21,1,349570,1112,1112,A,1112,0.466666667,11,547,W 142nd St,547 W 142nd St,New York,NY,10032
7097811304,8/19/2013,21,1,349570,1113,1113,A,1113,0.467361111,11,545,W 142nd St,545 W 142nd St,New York,NY,10032
7097811341,8/19/2013,21,1,349570,1124,1124,A,1124,0.475,11,609,W 137th St,609 W 137th St,New York,NY,10032
7097811353,8/19/2013,21,1,349570,1125,1125,A,1125,0.475694444,11,606,W 137th St,606 W 137th St,New York,NY,10032
7097811389,8/19/2013,21,1,349570,1141,1141,A,1141,0.486805556,11,161,W 140th St,161 W 140th St,New York,NY,10032
7097811419,8/19/2013,21,1,349570,1148,1148,A,1148,0.491666667,11,219,W 138th St,219 W 138th St,New York,NY,10032
7097811432,8/19/2013,21,1,349570,1150,1150,A,1150,0.493055556,11,203,W 138th St,203 W 138th St,New York,NY,10032
7097811444,8/19/2013,21,1,349570,1155,1155,A,1155,0.496527778,11,273,W 136th St,273 W 136th St,New York,NY,10032
7097811468,8/19/2013,21,1,349570,1157,1157,A,1157,0.497916667,11,237,W 136th St,237 W 136th St,New York,NY,10032
7097811481,8/19/2013,21,1,349570,1200,0,P,1200,0.5,12,167,W 136th St,167 W 136th St,New York,NY,10032
7097811500,8/19/2013,16,2,349570,1257,57,P,1257,0.539583333,12,2051,2nd Ave,2051 2nd Ave,New York,NY,10032
7097811511,8/19/2013,46,3,349570,100,100,P,1300,0.541666667,13,250,E 105th St,250 E 105th St,New York,NY,10032
7097811523,8/19/2013,46,3,349570,104,104,P,1304,0.544444444,13,315,E 102nd St,315 E 102nd St,New York,NY,10032
7097811547,8/19/2013,19,2,349570,225,225,P,1425,0.600694444,14,1448,1st Ave,1448 1st Ave,New York,NY,10032
7097811559,8/19/2013,18,2,349570,228,228,P,1428,0.602777778,14,1504,1st Ave,1504 1st Ave,New York,NY,10032
7097811584,8/19/2013,48,3,349570,246,246,P,1446,0.615277778,14,2281,1st Ave,2281 1st Ave,New York,NY,10032
7097811596,8/19/2013,18,2,349570,309,309,P,1509,0.63125,15,2351,2nd Ave,2351 2nd Ave,New York,NY,10032
7097811614,8/19/2013,48,3,349570,329,329,P,1529,0.645138889,15,2159,1st Ave,2159 1st Ave,New York,NY,10032
7097811626,8/19/2013,18,2,349570,350,350,P,1550,0.659722222,15,2049,2nd Ave,2049 2nd Ave,New York,NY,10032
7097811638,8/19/2013,18,2,349570,508,508,P,1708,0.713888889,17,2295,2nd Ave,2295 2nd Ave,New York,NY,10032
7097811640,8/19/2013,14,2,349570,524,524,P,1724,0.725,17,2080,1st Ave,2080 1st Ave,New York,NY,10032
7097811663,8/19/2013,19,2,349570,546,546,P,1746,0.740277778,17,1575,2nd Ave,1575 2nd Ave,New York,NY,10032
7097810919,8/19/2013,20,2,349570,544,544,A,544,0.238888889,5,301,W 111th St,301 W 111th St,New York,NY,10032
7097810944,8/19/2013,14,2,349570,709,709,A,709,0.297916667,7,510,Columbus Ave,510 Columbus Ave,New York,NY,10032
7097810970,8/19/2013,21,1,349570,738,738,A,738,0.318055556,7,2616,Broadway,2616 Broadway,New York,NY,10032
7097810993,8/19/2013,20,2,349570,835,835,A,835,0.357638889,8,515,W 159th St,515 W 159th St,New York,NY,10032
7097811018,8/19/2013,21,1,349570,841,841,A,841,0.361805556,8,564,W 160th St,564 W 160th St,New York,NY,10032
