summons_number,issue_date,violation_code,violation_category,issuer_code,violation_time,Column2,AP,Column1,time_format,first_hour,house_number,street_name,address,City,State,Zip
7097818323,41520,21,1,349570,1141,1141,A,1141,0.486805556,11,101,W 136th St,101 W 136th St,New York,NY,10032
7097818281,41520,71,5,349570,1131,1131,A,1131,0.479861111,11,1635,Amsterdam Ave,1635 Amsterdam Ave,New York,NY,10032
7097818270,41520,21,1,349570,1130,1130,A,1130,0.479166667,11,1635,Amsterdam Ave,1635 Amsterdam Ave,New York,NY,10032
7097818268,41520,71,5,349570,1128,1128,A,1128,0.477777778,11,1635,Amsterdam Ave,1635 Amsterdam Ave,New York,NY,10032
7097818256,41520,21,1,349570,1127,1127,A,1127,0.477083333,11,1635,Amsterdam Ave,1635 Amsterdam Ave,New York,NY,10032
7097818116,41520,21,1,349570,936,936,A,936,0.4,9,70,W 128th St,70 W 128th St,New York,NY,10032
7097818098,41520,21,1,349570,913,913,A,913,0.384027778,9,25,Convent Ave,25 Convent Ave,New York,NY,10032
7097817975,41520,21,1,349570,840,840,A,840,0.361111111,8,364,W 121st St,364 W 121st St,New York,NY,10032
7097817951,41520,21,1,349570,837,837,A,837,0.359027778,8,352,W 122nd St,352 W 122nd St,New York,NY,10032
7097817940,41520,21,1,349570,809,809,A,809,0.339583333,8,510,W 148th St,510 W 148th St,New York,NY,10032
7097817859,41520,21,1,349570,636,636,A,636,0.275,6,885,Columbus Ave,885 Columbus Ave,New York,NY,10032
7097818335,41520,21,1,349570,1144,1144,A,1144,0.488888889,11,2547,Adam Clayton Powell,2547 Adam Clayton Powell,New York,NY,10032
7097818311,41520,21,1,349570,1139,1139,A,1139,0.485416667,11,174,W 136th St,174 W 136th St,New York,NY,10032
7097818300,41520,21,1,349570,1138,1138,A,1138,0.484722222,11,262,W 136th St,262 W 136th St,New York,NY,10032
7097818293,41520,21,1,349570,1136,1136,A,1136,0.483333333,11,268,W 136th St,268 W 136th St,New York,NY,10032
7097818244,41520,21,1,349570,1125,1125,A,1125,0.475694444,11,1590,Amsterdam Ave,1590 Amsterdam Ave,New York,NY,10032
7097818232,41520,21,1,349570,1122,1122,A,1122,0.473611111,11,540,W 136th St,540 W 136th St,New York,NY,10032
7097818220,41520,73,5,349570,1115,1115,A,1115,0.46875,11,620,W 141st St,620 W 141st St,New York,NY,10032
7097818219,41520,21,1,349570,1114,1114,A,1114,0.468055556,11,620,W 141st St,620 W 141st St,New York,NY,10032
7097818207,41520,21,1,349570,1112,1112,A,1112,0.466666667,11,620,W 141st St,620 W 141st St,New York,NY,10032
7097818190,41520,21,1,349570,1111,1111,A,1111,0.465972222,11,610,W 141st St,610 W 141st St,New York,NY,10032
7097818189,41520,21,1,349570,1109,1109,A,1109,0.464583333,11,600,W 141st St,600 W 141st St,New York,NY,10032
7097818177,41520,21,1,349570,950,950,A,950,0.409722222,9,240,W 129th St,240 W 129th St,New York,NY,10032
7097818165,41520,21,1,349570,949,949,A,949,0.409027778,9,236,W 129th St,236 W 129th St,New York,NY,10032
