summons_number,issue_date,violation_code,violation_category,issuer_code,time_format,address,Lat,Long
7937990636,8/1/13,40,2,353164,12:52,8 E 1st St,40.724743,-73.99178
7937990661,8/1/13,17,2,353164,13:17,181 Mercer St,40.726032,-73.9975
7937990697,8/1/13,20,2,353164,14:21,27 W 4th St,40.73296,-74.00231
7937990703,8/1/13,69,5,353164,14:28,704 Broadway,40.72863,-73.99398
7937990739,8/1/13,20,2,353164,14:55,29 W 4th St,40.73297,-74.00232
7937990752,8/1/13,20,2,353164,15:30,35 W 4th St,40.733,-74.00234
7937990764,8/1/13,20,2,353164,15:31,50 W 4th St,40.72892,-73.995415
7937990806,8/1/13,14,2,353164,17:29,324 Lafayette St,40.725506,-73.99508
7937990855,8/1/13,20,2,353164,17:52,316 Mott St,40.72488,-73.99402
7937990648,8/1/13,16,2,353164,12:57,300 Bowery,40.724537,-73.99254
7937990650,8/1/13,16,2,353164,13:02,302-4 Mott St,40.72476,-73.99408
7937990673,8/1/13,16,2,353164,13:34,250 Mercer St,40.7283,-73.995415
7937990685,8/1/13,20,2,353164,14:16,14 W 4th St,40.728752,-73.99508
7937990715,8/1/13,38,5,353164,14:40,6 Washington Pl,40.72935,-73.99456
7937990740,8/1/13,20,2,353164,15:22,10 Washington Pl,40.729458,-73.99479
7937990776,8/1/13,14,2,353164,16:14,45 W 4th St,40.73305,-74.00239
7937990788,8/1/13,16,2,353164,17:23,68 Bleecker St,40.72631,-73.995544
7937990790,8/1/13,16,2,353164,17:26,65 Bleecker St,40.72612,-73.994896
7937990820,8/1/13,16,2,353164,17:39,306 Mott St,40.724792,-73.994064
7937990831,8/1/13,20,2,353164,17:43,284 Mott St,40.724327,-73.99426
7937990843,8/1/13,20,2,353164,17:46,298 Mulberry St,40.72499,-73.99481
7937990892,8/3/13,38,5,353164,12:42,172 Ludlow St,40.72162,-73.987495
7937990909,8/3/13,14,2,353164,12:54,151 E Houston St,40.723133,-73.98945
7937990946,8/3/13,20,2,353164,13:18,36 Bleecker St,40.725643,-73.99395
7937990971,8/3/13,16,2,353164,13:36,306 Mott St,40.724792,-73.994064
7937991008,8/3/13,14,2,353164,13:48,308 Elizabeth St,40.724686,-73.99328
7937991033,8/3/13,14,2,353164,14:11,87 E Houston St,40.72415,-73.99282
7937991045,8/3/13,14,2,353164,14:16,284 Mott St,40.724327,-73.99426
7937991070,8/3/13,16,2,353164,14:47,306 Mott St,40.724792,-73.994064
7937991100,8/3/13,46,3,353164,14:59,68 Bleecker St,40.72631,-73.995544
7937991136,8/3/13,20,2,353164,16:18,1 W 3rd St,40.72788,-73.99474
7937991150,8/3/13,38,5,353164,16:30,1 Washington Pl,40.729065,-73.99373
7937991173,8/3/13,38,5,353164,17:36,566 Laguardia Pl,40.72936,-73.99793
7937991124,8/3/13,37,4,353164,16:10,566 Laguardia Pl,40.72936,-73.99793
7937991161,8/3/13,71,5,353164,17:27,245 Greene St,40.730003,-73.9952
7937991185,8/3/13,38,5,353164,17:40,566 Laguardia Pl,40.72936,-73.99793
7937990922,8/3/13,14,2,353164,13:10,89 E Houston St,40.724125,-73.99274
7937990934,8/3/13,14,2,353164,13:12,87 E Houston St,40.72415,-73.99282
7937990960,8/3/13,20,2,353164,13:29,36 Bleecker St,40.725643,-73.99395
7937990995,8/3/13,20,2,353164,13:45,32 Bleecker St,40.7256,-73.993805
7937991010,8/3/13,20,2,353164,13:52,334 Bowery,40.725857,-73.99206
7937991021,8/3/13,16,2,353164,14:06,302-4 Mott St,40.72476,-73.99408
7937991057,8/3/13,70,5,353164,14:18,284 Mott St,40.724327,-73.99426
7937991069,8/3/13,71,5,353164,14:21,284 Mott St,40.724327,-73.99426
7937991240,8/4/13,20,2,353164,10:33,174 Forsyth St,40.721313,-73.99128
7937991252,8/4/13,53,3,353164,10:41,224 Elizabeth St,40.722816,-73.99404
7937991276,8/4/13,19,2,353164,11:04,269 Bowery,40.724045,-73.99256
7937991331,8/4/13,14,2,353164,12:27,87 E Houston St,40.72415,-73.99282
7937991343,8/4/13,40,2,353164,12:35,15 Stanton St,40.72248,-73.99213
7937991379,8/4/13,40,2,353164,12:44,211 Bowery,40.72156,-73.99348
7937991422,8/4/13,14,2,353164,14:02,97 Rivington St,40.720066,-73.98851
7937991458,8/4/13,71,5,353164,14:12,115 Norfolk St,40.719193,-73.98704
7937991460,8/4/13,16,2,353164,14:18,95 Clinton St,40.718525,-73.98544
7937991471,8/4/13,16,2,353164,14:21,91 Clinton St,40.718636,-73.98538
7937991495,8/4/13,20,2,353164,14:31,141 Ludlow St,40.720467,-73.988235
7937991501,8/4/13,20,2,353164,14:55,174 Forsyth St,40.721313,-73.99128
7937991525,8/4/13,10,2,353164,15:01,183 Chrystie St,40.721447,-73.99221
7937991537,8/4/13,14,2,353164,16:02,180 Bowery,40.720604,-73.994
7937991288,8/4/13,14,2,353164,11:08,296 Bowery,40.724392,-73.992584
7937991306,8/4/13,71,5,353164,12:00,7 Great Jones St,40.727425,-73.99404
7937991320,8/4/13,40,2,353164,12:21,299 Bowery,40.72463,-73.992355
7937991355,8/4/13,71,5,353164,12:37,11 Stanton St,40.72256,-73.99239
7937991367,8/4/13,40,2,353164,12:42,213 Bowery,40.721607,-73.99346
7937991410,8/4/13,20,2,353164,13:57,149 Essex St,40.720634,-73.987206
7937991434,8/4/13,70,5,353164,14:09,109 Norfolk St,40.718964,-73.98716
7937991446,8/4/13,20,2,353164,14:10,109 Norfolk St,40.718964,-73.98716
7937991483,8/4/13,16,2,353164,14:23,50 Clinton St,40.719727,-73.984665
7937991513,8/4/13,20,2,353164,14:57,174 Forsyth St,40.721313,-73.99128
7932310120,8/5/13,48,3,353164,13:21,167 Chrystie St,40.72073,-73.992584
7932310088,8/5/13,14,2,353164,12:49,181 E Houston St,40.72271,-73.9881
7932310090,8/5/13,38,5,353164,12:58,169 Allen St,40.7211,-73.989624
7932310106,8/5/13,38,5,353164,13:01,163 Allen St,40.721268,-73.98953
7932310155,8/5/13,20,2,353164,13:41,190 Elizabeth St,40.721558,-73.99454
7932310179,8/5/13,20,2,353164,13:57,278 Mott St,40.724148,-73.99435
7932310192,8/5/13,40,2,353164,14:07,219 Mott St,40.72215,-73.99533
7932310210,8/5/13,20,2,353164,14:14,6 Spring St,40.72104,-73.9942
7932310222,8/5/13,20,2,353164,14:42,262 Mott St,40.723667,-73.99455
7932310258,8/5/13,20,2,353164,15:02,222 Lafayette St,40.722084,-73.997406
7932310271,8/5/13,14,2,353164,16:09,222 Bowery,40.72194,-73.993484
7932310283,8/5/13,20,2,353164,16:48,226 Lafayette St,40.722168,-73.99733
7932310295,8/5/13,69,5,353164,16:53,518 Broadway,40.722668,-73.99903
7932310301,8/5/13,20,2,353164,17:31,132 Crosby St,40.724773,-73.99629
7932310325,8/5/13,20,2,353164,17:49,10 Prince St,40.72255,-73.99388
7932310349,8/5/13,38,5,353164,17:55,195 Bowery,40.721233,-73.99361
7932310076,8/5/13,20,2,353164,12:41,152 Ludlow St,40.72093,-73.98785
7932310118,8/5/13,40,2,353164,13:12,190 Forsyth St,40.72204,-73.99091
7932310143,8/5/13,20,2,353164,13:33,6 Spring St,40.72104,-73.9942
7932310180,8/5/13,20,2,353164,14:02,252 Mott St,40.72337,-73.99469
7932310234,8/5/13,20,2,353164,14:44,284 Mott St,40.724327,-73.99426
7932310246,8/5/13,20,2,353164,14:49,112 Crosby St,40.72408,-73.99687
7932310260,8/5/13,20,2,353164,16:02,39 Spring St,40.72185,-73.99587
7932310313,8/5/13,20,2,353164,17:47,12 Prince St,40.722607,-73.99402
7932310416,8/6/13,69,5,353164,13:39,676 Broadway,40.72756,-73.99489
7932310441,8/6/13,37,4,353164,14:15,1 University Pl,40.73069,-73.9955
7932310465,8/6/13,20,2,353164,14:27,274 Mercer St,40.729183,-73.99465
7932310489,8/6/13,20,2,353164,15:06,3 University Pl,40.730804,-73.99539
7932310507,8/6/13,38,5,353164,15:23,14 Washington Pl,40.729633,-73.99515
7932310568,8/6/13,20,2,353164,17:12,508 Laguardia Pl,40.727974,-73.99912
7932310600,8/6/13,38,5,353164,17:34,548 Laguardia Pl,40.728886,-73.99835
7932310374,8/6/13,16,2,353164,12:38,188 Ludlow St,40.722107,-73.98724
7932310398,8/6/13,14,2,353164,13:12,298 Bowery,40.724464,-73.99256
7932310404,8/6/13,14,2,353164,13:19,302 Elizabeth St,40.72464,-73.9933
7932310428,8/6/13,84,5,353164,14:01,13-19 University Pl,40.73119,-73.99505
7932310430,8/6/13,37,4,353164,14:10,49 E 8th St,40.73155,-73.99453
7932310453,8/6/13,37,4,353164,14:19,32 Waverly Pl,40.73035,-73.99495
7932310490,8/6/13,37,4,353164,15:09,14 University Pl,40.73147,-73.99499
7932310519,8/6/13,37,4,353164,15:27,14 Washington Pl,40.729633,-73.99515
7932310544,8/6/13,71,5,353164,16:41,496 Laguardia Pl,40.727867,-73.999214
7932310581,8/6/13,38,5,353164,17:27,510 Laguardia Pl,40.727993,-73.99911
7932310593,8/6/13,71,5,353164,17:31,520 Laguardia Pl,40.728134,-73.998985
7937991628,8/12/13,20,2,353164,13:58,174 Orchard St,40.721497,-73.98843
7937991630,8/12/13,20,2,353164,14:13,156 Ludlow St,40.721096,-73.98776
7937991653,8/12/13,37,4,353164,14:27,188 Allen St,40.721783,-73.98891
