summons_number,issue_date,violation_code,violation_category,issuer_code,time_format,Address,Latitude,Longitude
7097809360,8/12/2013,46,3,349570,6:01,983 Columbus Ave,40.80058017,-73.9614946
7097809371,8/12/2013,46,3,349570,6:41,122 La Salle St,40.81386114,-73.96012135
7097809401,8/12/2013,20,2,349570,7:18,41 W 112th St,40.79894543,-73.95005218
7097809413,8/12/2013,21,1,349570,7:38,530 W 120th St,40.80859306,-73.9615831
7097809425,8/12/2013,21,1,349570,7:39,525 W 120th St,40.8097195,-73.95988519
7097809437,8/12/2013,21,1,349570,7:46,526 W 114th St,40.80587554,-73.96346828
7097809449,8/12/2013,21,1,349570,8:07,1305 Amsterdam Ave,40.81214258,-73.95705664
7097809450,8/12/2013,40,2,349570,8:11,1201 Amsterdam Ave,40.80875545,-73.95913026
7097809462,8/12/2013,21,1,349570,8:15,1125 Amsterdam Ave,40.80622322,-73.96110798
7097809474,8/12/2013,20,2,349570,8:34,218 W 124th St,40.80843449,-73.94938719
7097809486,8/12/2013,21,1,349570,8:41,271 W 119th St,40.80601889,-73.95292895
7097809498,8/12/2013,46,3,349570,8:49,314 W 120th St,40.79903613,-73.93526224
7097809516,8/12/2013,21,1,349570,9:40,313 W 118th St,40.79814627,-73.93583878
7097809528,8/12/2013,21,1,349570,9:44,281 W 118th St,40.80573884,-73.95380464
7097809530,8/12/2013,21,1,349570,9:52,159 W 118th St,40.79984963,-73.93986564
7097809541,8/12/2013,21,1,349570,9:54,111 W 118th St,40.8038788,-73.94938862
7097809553,8/12/2013,71,5,349570,9:55,111 W 118th St,40.8038788,-73.94938862
7097809565,8/12/2013,21,1,349570,10:04,17-21 W 118th St,40.81207,-73.954377
7097809577,8/12/2013,21,1,349570,10:15,308 W 115th St,40.80379197,-73.95659281
7097809607,8/12/2013,21,1,349570,11:21,69 Tiemann Pl,40.81571243,-73.9599287
7097809620,8/13/2013,19,2,349570,7:36,2508 Broadway,40.79283968,-73.97258252
7097809632,8/13/2013,21,1,349570,7:38,2526 Broadway,40.79349403,-73.97252478
7097809644,8/13/2013,21,1,349570,8:12,2643 Broadway,40.79758063,-73.97016009
7097809656,8/13/2013,21,1,349570,9:15,1425 Amsterdam Ave,40.81587092,-73.95433701
7097809668,8/13/2013,21,1,349570,9:22,1504 Amsterdam Ave,40.81859773,-73.95289382
7097809693,8/13/2013,21,1,349570,9:28,110 Convent Ave,40.8172106,-73.95267023
7097809700,8/13/2013,20,2,349570,9:51,228 W 132nd St,40.81365287,-73.94632241
7097809711,8/13/2013,20,2,349570,9:56,228 W 132nd St,40.81365287,-73.94632241
7097809723,8/13/2013,20,2,349570,9:58,222 W 132nd St,40.8135865,-73.94616065
7097809735,8/13/2013,21,1,349570,11:36,41958 St Nicholas Ave,40.81207,-73.954377
7097809747,8/13/2013,21,1,349570,11:38,52 St Nicholas Ave,40.80031105,-73.95217005
7097809759,8/13/2013,21,1,349570,11:43,1893 Adam Clayton Powell,40.80219866,-73.95315972
