summons_number,issue_date,violation_code,violation_category,issuer_code,time_format
7175934725,41641,20,2,353164,0.543055556
7175934725,41641,20,2,353164,0.543055556
7175934737,41641,40,2,353164,0.549305556
7175934737,41641,40,2,353164,0.549305556
7175934749,41641,46,3,353164,0.552777778
7175934749,41641,46,3,353164,0.552777778
7175934750,41641,14,2,353164,0.559722222
7175934750,41641,14,2,353164,0.559722222
7175934762,41641,48,3,353164,0.563888889
7175934762,41641,48,3,353164,0.563888889
7175934786,41641,48,3,353164,0.568055556
7175934786,41641,48,3,353164,0.568055556
7175934798,41641,20,2,353164,0.56875
7175934798,41641,20,2,353164,0.56875
7175934804,41641,16,2,353164,0.575
7175934804,41641,16,2,353164,0.575
7175934816,41641,20,2,353164,0.577777778
7175934816,41641,20,2,353164,0.577777778
7175934828,41641,40,2,353164,0.583333333
7175934828,41641,40,2,353164,0.583333333
7175934830,41641,31,2,353164,0.610416667
7175934830,41641,31,2,353164,0.610416667
7175934841,41641,37,4,353164,0.6125
7175934841,41641,37,4,353164,0.6125
7175934853,41641,16,2,353164,0.615277778
7175934853,41641,16,2,353164,0.615277778
7175934865,41641,37,4,353164,0.622222222
7175934865,41641,37,4,353164,0.622222222
7175934877,41641,77,6,353164,0.633333333
7175934877,41641,77,6,353164,0.633333333
7175934889,41641,42,4,353164,0.636805556
7175934889,41641,42,4,353164,0.636805556
7175934907,41641,16,2,353164,0.644444444
7175934907,41641,16,2,353164,0.644444444
7175934919,41641,20,2,353164,0.686805556
7175934919,41641,20,2,353164,0.686805556
7175934920,41641,37,4,353164,0.689583333
7175934920,41641,37,4,353164,0.689583333
7175934932,41641,38,5,353164,0.690277778
7175934932,41641,38,5,353164,0.690277778
7175934944,41641,20,2,353164,0.695833333
7175934944,41641,20,2,353164,0.695833333
7175934956,41641,31,2,353164,0.698611111
7175934956,41641,31,2,353164,0.698611111
7175934968,41641,31,2,353164,0.699305556
7175934968,41641,31,2,353164,0.699305556
7175934970,41641,20,2,353164,0.726388889
7175934970,41641,20,2,353164,0.726388889
7175934981,41641,20,2,353164,0.728472222
7175934981,41641,20,2,353164,0.728472222
7175934993,41641,42,4,353164,0.746527778
7175934993,41641,42,4,353164,0.746527778
7175935006,41641,19,2,353164,0.775
7175935006,41641,19,2,353164,0.775
