Issuer_id,Week_AM_14_,Week_AM_38_,Week_AM_69_,Week_AM_21_,Week_AM_37_,Week_AM_20_,Week_AM_31_,Week_AM_16_,Week_AM_46_,Week_AM_40_,Week_AM_47_,Week_AM_19_,Week_AM_42_,Week_AM_71_,Week_AM_17_,Week_PM_14_,Week_PM_38_,Week_PM_69_,Week_PM_21_,Week_PM_37_,Week_PM_20_,Week_PM_31_,Week_PM_16_,Week_PM_46_,Week_PM_40_,Week_PM_47_,Week_PM_19_,Week_PM_42_,Week_PM_71_,Week_PM_17_,Weekend_AM_14_,Weekend_AM_38_,Weekend_AM_69_,Weekend_AM_21_,Weekend_AM_37_,Weekend_AM_20_,Weekend_AM_31_,Weekend_AM_16_,Weekend_AM_46_,Weekend_AM_40_,Weekend_AM_47_,Weekend_AM_19_,Weekend_AM_42_,Weekend_AM_71_,Weekend_AM_17_,Weekend_PM_14_,Weekend_PM_38_,Weekend_PM_69_,Weekend_PM_21_,Weekend_PM_37_,Weekend_PM_20_,Weekend_PM_31_,Weekend_PM_16_,Weekend_PM_46_,Weekend_PM_40_,Weekend_PM_47_,Weekend_PM_19_,Weekend_PM_42_,Weekend_PM_71_,Weekend_PM_17_
925657,848,3,1,12,21,190,6,5,185,107,276,79,0,4,49,22,1,0,0,0,8,1,0,14,2,3,3,0,0,8,313,3,0,5,4,43,3,13,40,18,0,61,0,6,30,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0
346086,366,121,1,533,46,80,1,443,38,114,0,36,0,32,7,43,19,0,25,3,30,1,91,18,26,0,24,0,5,2,6,34,0,33,10,30,0,73,8,27,0,10,0,10,0,3,1,0,0,0,5,0,1,0,1,0,0,0,0,0
934615,24,2,0,1,0,15,0,0,13,2,449,69,3,0,6,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,0,0,7,0,0,5,3,109,53,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359324,7,7,2,0,1,1,5,0,0,0,3,2,2,0,1,92,73,158,0,110,8,54,0,5,11,129,18,131,12,17,8,5,4,0,3,0,3,0,1,1,4,2,1,1,0,2,7,1,0,2,0,0,0,0,0,0,0,1,2,1
355607,35,314,8,260,263,28,1,26,27,71,0,34,0,52,6,37,352,12,39,370,24,3,31,43,107,0,53,2,55,2,0,15,0,0,2,0,0,1,2,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
359326,0,13,0,0,4,1,0,0,0,1,0,0,0,3,0,54,260,11,0,303,14,1,18,3,26,0,7,7,27,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,80,0,0,77,2,0,0,0,2,0,0,0,13,0
331794,16,108,1,30,81,17,0,38,2,16,0,9,0,15,2,127,475,2,24,392,80,0,68,17,59,0,32,1,60,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,2,2,0,0,0,4,0,0,0,5,0
357330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,134,1,1,54,381,0,44,163,338,0,89,0,72,59,0,8,0,0,2,0,0,0,0,1,0,0,0,0,1,5,1,0,0,0,4,0,1,4,8,0,3,0,2,0
358856,134,571,9,214,319,21,1,24,27,108,0,61,0,22,9,31,163,6,30,159,31,0,5,18,40,0,27,0,11,5,3,118,0,0,33,4,0,3,1,21,0,5,0,9,0,2,49,0,0,32,2,0,1,1,10,0,2,0,3,3
926112,91,0,0,0,0,18,3,6,40,86,432,132,0,5,2,6,1,0,0,0,0,0,0,3,4,14,13,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
331074,153,30,40,162,1,40,7,8,0,7,30,9,0,32,3,14,7,14,2,0,1,3,1,0,5,2,1,0,1,0,16,10,0,0,0,4,0,0,0,10,1,4,0,24,6,28,5,2,0,0,10,1,6,0,18,1,1,0,42,6
920567,1,18,0,140,1,10,1,5,67,16,0,62,0,6,13,9,0,0,3,1,10,3,11,314,23,0,135,1,6,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2
901890,67,33,0,2,1,83,4,112,65,15,0,392,0,13,49,11,8,0,0,0,13,0,14,6,11,0,55,0,0,5,1,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
348553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,57,467,1,29,11,111,0,14,3,55,1,79,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
345369,706,1,508,0,0,9,23,0,3,20,277,20,37,1,31,51,0,29,0,0,0,1,0,0,1,21,2,4,0,5,32,32,28,0,4,2,6,0,0,0,20,1,2,2,5,6,2,1,0,2,0,2,0,0,0,1,0,0,0,1
331261,426,0,271,0,0,3,429,78,1,3,79,8,0,0,15,26,0,8,0,0,0,25,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359325,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,52,213,0,0,294,7,0,17,1,17,0,3,0,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,84,0,0,71,3,0,0,1,2,0,3,0,8,0
894955,4,0,0,0,0,0,0,0,148,0,46,158,0,0,4,3,0,0,0,0,0,0,0,178,2,31,146,0,0,1,3,0,0,0,0,0,0,0,11,0,0,4,0,0,0,5,0,0,0,0,0,0,1,0,0,0,1,0,0,3
906659,21,3,0,6,5,23,3,4,208,9,0,143,0,1,1,3,0,0,2,0,2,0,0,13,1,0,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355685,77,306,17,239,223,59,9,64,135,186,0,44,2,34,13,43,235,9,77,176,57,8,40,135,160,0,47,3,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355208,2,0,2,1,0,0,2,0,3,0,1,0,0,0,0,399,12,240,0,13,0,746,56,37,7,62,9,181,10,15,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0,2,0,0,1,2,0,0,0,2,6
355207,399,0,133,0,0,0,50,2,10,11,322,16,48,3,1,58,0,17,0,0,0,6,0,4,3,48,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
359330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,114,218,0,117,0,79,1,2,15,47,9,160,19,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,2,5,0,0,3,0
357678,260,104,806,38,48,4,95,3,1,3,271,31,137,24,17,30,19,132,1,18,7,15,1,6,2,63,3,50,3,4,1,0,0,0,0,2,0,0,1,3,0,0,0,1,0,4,3,0,0,0,1,0,1,1,2,0,2,0,2,5
932845,8,0,0,4,38,780,0,3,970,2,0,80,0,0,0,3,0,0,0,2,39,0,1,168,0,0,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
927373,70,5,0,2,1,2,9,0,526,0,306,40,0,1,6,12,0,0,0,0,2,0,0,11,0,18,8,0,0,0,2,0,0,0,0,0,1,0,2,0,0,6,0,3,0,5,0,0,0,0,0,0,0,0,0,2,2,0,1,0
330978,273,18,74,198,0,53,30,12,4,15,126,33,6,18,4,28,4,19,1,0,6,10,2,0,2,18,2,2,5,1,35,24,7,5,1,37,9,12,5,15,57,16,3,11,6,72,28,10,0,4,18,61,13,1,9,19,11,5,18,11
358525,47,337,6,221,281,26,1,27,40,38,0,26,3,45,13,67,265,6,43,314,16,1,29,39,67,0,19,3,39,10,0,51,1,1,8,1,0,0,0,3,0,1,0,3,0,0,16,0,0,8,0,0,1,0,3,0,1,0,1,0
355618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,710,78,333,0,69,10,293,64,59,29,102,55,233,39,41,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0,43,53,12,0,49,3,25,0,2,5,7,2,12,8,0
355057,92,0,13,1,0,29,17,7,10,7,21,2,5,1,5,484,26,139,0,31,91,178,39,37,36,60,24,91,18,42,40,6,8,24,0,23,25,10,7,2,7,10,0,8,3,2,0,0,0,1,0,2,1,3,1,5,1,1,0,0
358896,1,3,0,0,7,0,0,0,0,1,0,0,0,1,0,83,341,3,0,593,13,1,106,7,45,0,10,2,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,154,0,0,161,3,1,14,0,7,0,2,0,34,0
358914,131,333,0,792,129,153,0,34,42,117,0,51,0,64,22,15,157,0,8,114,25,0,3,45,53,0,22,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
938339,43,0,0,48,0,11,0,0,7,11,0,3,0,12,0,37,0,0,62,0,34,0,0,37,24,0,14,0,17,2,13,0,0,1,0,16,0,0,7,22,0,16,0,1,3,48,0,0,0,0,20,0,0,25,36,0,39,0,3,2
355443,53,112,437,16,41,13,93,1,1,5,90,19,23,18,6,12,18,131,0,17,2,50,2,0,3,27,4,20,9,5,6,16,0,2,4,1,2,0,1,0,4,3,0,11,2,4,5,1,0,0,0,4,0,0,1,7,0,0,2,2
353431,121,243,9,588,106,240,7,250,39,103,0,32,0,96,10,19,34,7,14,35,27,3,47,18,21,0,9,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355290,324,2,0,202,0,18,5,6,13,11,0,64,0,22,27,7,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
345513,371,0,612,0,0,2,57,0,0,25,221,28,164,30,12,59,0,73,0,0,0,18,0,1,5,30,7,43,6,2,14,12,6,9,2,1,2,0,0,0,1,2,2,3,0,3,6,3,0,3,3,3,0,1,0,3,0,0,5,1
