issuer_code,type_day,day_period,violation_code,count
330001,Week,AM,14,1533
330001,Week,AM,16,195
330001,Week,AM,17,24
330001,Week,AM,19,150
330001,Week,AM,20,44
330001,Week,AM,21,107
330001,Week,AM,31,194
330001,Week,AM,37,4
330001,Week,AM,38,3
330001,Week,AM,40,26
330001,Week,AM,46,46
330001,Week,AM,47,261
330001,Week,AM,69,50
330001,Week,AM,71,27
330001,Week,PM,14,13
330001,Week,PM,16,17
330001,Week,PM,19,3
330001,Week,PM,20,6
330001,Week,PM,31,14
330001,Week,PM,46,5
330001,Week,PM,47,1
330001,Week,PM,71,2
330001,Weekend,AM,14,158
330001,Weekend,AM,16,25
330001,Weekend,AM,17,24
330001,Weekend,AM,19,40
330001,Weekend,AM,20,15
330001,Weekend,AM,21,1
330001,Weekend,AM,31,24
330001,Weekend,AM,37,1
330001,Weekend,AM,38,5
330001,Weekend,AM,40,92
330001,Weekend,AM,46,15
330001,Weekend,AM,47,16
330001,Weekend,AM,69,3
330001,Weekend,AM,71,10
330001,Weekend,PM,14,126
330001,Weekend,PM,16,47
330001,Weekend,PM,17,10
330001,Weekend,PM,19,27
330001,Weekend,PM,20,18
330001,Weekend,PM,31,52
330001,Weekend,PM,40,81
330001,Weekend,PM,46,17
330001,Weekend,PM,47,5
330001,Weekend,PM,69,2
330001,Weekend,PM,71,11
330198,Week,AM,14,320
330198,Week,AM,16,73
330198,Week,AM,17,98
330198,Week,AM,19,47
330198,Week,AM,20,238
330198,Week,AM,21,1493
330198,Week,AM,31,10
330198,Week,AM,37,65
330198,Week,AM,38,281
330198,Week,AM,40,22
330198,Week,AM,42,3
330198,Week,AM,46,10
330198,Week,AM,69,57
330198,Week,AM,71,73
330198,Week,PM,14,52
330198,Week,PM,16,21
330198,Week,PM,17,6
330198,Week,PM,19,15
330198,Week,PM,20,49
330198,Week,PM,21,131
330198,Week,PM,31,2
330198,Week,PM,37,83
330198,Week,PM,38,153
330198,Week,PM,40,12
330198,Week,PM,42,1
330198,Week,PM,46,2
330198,Week,PM,69,5
330198,Week,PM,71,20
330198,Weekend,AM,14,56
330198,Weekend,AM,16,33
330198,Weekend,AM,17,43
330198,Weekend,AM,19,2
330198,Weekend,AM,20,62
330198,Weekend,AM,21,58
330198,Weekend,AM,31,3
330198,Weekend,AM,37,22
330198,Weekend,AM,38,198
330198,Weekend,AM,40,11
330198,Weekend,AM,46,1
330198,Weekend,AM,69,1
330198,Weekend,AM,71,6
330198,Weekend,PM,14,120
330198,Weekend,PM,16,42
330198,Weekend,PM,17,55
330198,Weekend,PM,19,29
330198,Weekend,PM,20,57
330198,Weekend,PM,31,4
330198,Weekend,PM,37,20
330198,Weekend,PM,38,57
330198,Weekend,PM,40,21
330198,Weekend,PM,46,9
330198,Weekend,PM,71,20
330291,Week,AM,14,514
330291,Week,AM,16,7
330291,Week,AM,17,18
330291,Week,AM,19,76
330291,Week,AM,20,221
330291,Week,AM,21,1202
330291,Week,AM,38,31
330291,Week,AM,40,150
330291,Week,AM,46,320
330291,Week,AM,71,34
330291,Week,PM,14,13
330291,Week,PM,19,7
330291,Week,PM,20,9
330291,Week,PM,21,19
330291,Week,PM,37,1
330291,Week,PM,38,43
330291,Week,PM,40,15
330291,Week,PM,46,35
330291,Week,PM,71,4
330291,Weekend,AM,14,25
330291,Weekend,AM,17,7
330291,Weekend,AM,19,16
330291,Weekend,AM,20,116
330291,Weekend,AM,21,283
330291,Weekend,AM,38,120
330291,Weekend,AM,40,147
330291,Weekend,AM,46,19
330291,Weekend,AM,71,16
330291,Weekend,PM,14,1
330291,Weekend,PM,16,2
330291,Weekend,PM,19,3
330291,Weekend,PM,20,3
330291,Weekend,PM,38,1
330291,Weekend,PM,40,2
330291,Weekend,PM,46,1
330692,Week,AM,14,941
330692,Week,AM,16,127
330692,Week,AM,17,16
330692,Week,AM,19,73
330692,Week,AM,20,168
330692,Week,AM,21,227
330692,Week,AM,31,152
330692,Week,AM,37,55
330692,Week,AM,38,77
330692,Week,AM,40,116
330692,Week,AM,46,24
330692,Week,AM,47,248
330692,Week,AM,69,390
330692,Week,AM,71,42
330692,Week,PM,14,102
330692,Week,PM,16,14
330692,Week,PM,17,1
330692,Week,PM,19,19
330692,Week,PM,20,14
330692,Week,PM,21,7
330692,Week,PM,31,53
330692,Week,PM,37,29
330692,Week,PM,38,4
330692,Week,PM,40,19
330692,Week,PM,46,13
330692,Week,PM,47,21
330692,Week,PM,69,65
330692,Week,PM,71,5
330692,Weekend,AM,14,55
330692,Weekend,AM,16,6
330692,Weekend,AM,17,1
330692,Weekend,AM,19,13
330692,Weekend,AM,20,15
330692,Weekend,AM,21,2
330692,Weekend,AM,31,7
330692,Weekend,AM,37,5
330692,Weekend,AM,38,17
330692,Weekend,AM,40,69
330692,Weekend,AM,46,10
330692,Weekend,AM,47,18
330692,Weekend,AM,69,39
330692,Weekend,AM,71,14
330692,Weekend,PM,14,76
330692,Weekend,PM,16,38
330692,Weekend,PM,17,5
330692,Weekend,PM,19,31
330692,Weekend,PM,20,14
330692,Weekend,PM,31,9
330692,Weekend,PM,37,8
330692,Weekend,PM,38,15
330692,Weekend,PM,40,70
330692,Weekend,PM,46,15
330692,Weekend,PM,47,26
330692,Weekend,PM,69,25
330692,Weekend,PM,71,14
331220,Week,AM,14,309
331220,Week,AM,16,28
331220,Week,AM,17,28
331220,Week,AM,19,40
331220,Week,AM,20,62
331220,Week,AM,21,363
331220,Week,AM,31,332
331220,Week,AM,37,12
331220,Week,AM,38,46
331220,Week,AM,40,59
331220,Week,AM,42,45
331220,Week,AM,46,106
331220,Week,AM,47,169
331220,Week,AM,69,510
331220,Week,AM,71,21
331220,Week,PM,14,21
331220,Week,PM,16,3
331220,Week,PM,17,2
331220,Week,PM,19,4
331220,Week,PM,20,1
331220,Week,PM,31,126
331220,Week,PM,37,2
331220,Week,PM,38,3
331220,Week,PM,40,6
331220,Week,PM,42,29
331220,Week,PM,46,2
331220,Week,PM,47,22
331220,Week,PM,69,36
331220,Week,PM,71,4
331220,Weekend,AM,14,25
331220,Weekend,AM,16,3
331220,Weekend,AM,17,12
331220,Weekend,AM,19,9
331220,Weekend,AM,20,11
331220,Weekend,AM,21,9
331220,Weekend,AM,31,20
331220,Weekend,AM,38,8
331220,Weekend,AM,40,21
331220,Weekend,AM,42,1
331220,Weekend,AM,46,13
331220,Weekend,AM,47,16
331220,Weekend,AM,69,8
331220,Weekend,AM,71,3
331220,Weekend,PM,14,53
331220,Weekend,PM,16,5
331220,Weekend,PM,17,15
331220,Weekend,PM,19,16
331220,Weekend,PM,20,7
331220,Weekend,PM,31,1
331220,Weekend,PM,37,1
331220,Weekend,PM,40,52
331220,Weekend,PM,46,23
331220,Weekend,PM,47,1
331220,Weekend,PM,71,3
331510,Week,AM,14,1
331510,Week,AM,16,2
331510,Week,AM,20,2
331510,Week,AM,21,2
331510,Week,AM,40,1
331510,Week,PM,14,943
331510,Week,PM,16,443
331510,Week,PM,17,95
331510,Week,PM,19,169
331510,Week,PM,20,529
331510,Week,PM,21,3
331510,Week,PM,31,231
331510,Week,PM,37,49
331510,Week,PM,38,58
331510,Week,PM,40,184
331510,Week,PM,42,2
331510,Week,PM,46,85
331510,Week,PM,69,32
331510,Week,PM,71,39
331510,Weekend,PM,14,14
331510,Weekend,PM,16,3
331510,Weekend,PM,17,7
331510,Weekend,PM,19,3
331510,Weekend,PM,20,4
331510,Weekend,PM,37,1
331510,Weekend,PM,40,2
331510,Weekend,PM,71,1
333163,Week,AM,14,517
333163,Week,AM,16,121
333163,Week,AM,17,134
333163,Week,AM,19,87
333163,Week,AM,20,87
333163,Week,AM,21,11
333163,Week,AM,31,275
333163,Week,AM,40,163
333163,Week,AM,46,244
333163,Week,AM,47,37
333163,Week,AM,71,114
333163,Week,PM,14,19
333163,Week,PM,16,13
333163,Week,PM,17,15
333163,Week,PM,19,9
333163,Week,PM,20,35
333163,Week,PM,31,7
333163,Week,PM,38,1
333163,Week,PM,40,24
333163,Week,PM,46,60
333163,Week,PM,71,5
333163,Weekend,AM,14,58
333163,Weekend,AM,16,22
333163,Weekend,AM,17,47
333163,Weekend,AM,19,40
333163,Weekend,AM,20,21
333163,Weekend,AM,31,19
333163,Weekend,AM,40,76
333163,Weekend,AM,46,74
333163,Weekend,AM,47,2
333163,Weekend,AM,71,18
333163,Weekend,PM,14,34
333163,Weekend,PM,16,8
333163,Weekend,PM,17,21
333163,Weekend,PM,19,35
333163,Weekend,PM,20,14
333163,Weekend,PM,31,17
333163,Weekend,PM,40,40
333163,Weekend,PM,46,43
333163,Weekend,PM,71,3
333386,Week,AM,14,158
333386,Week,AM,16,52
333386,Week,AM,17,16
333386,Week,AM,19,55
333386,Week,AM,20,278
333386,Week,AM,21,1681
333386,Week,AM,37,2
333386,Week,AM,38,62
333386,Week,AM,40,216
333386,Week,AM,46,97
333386,Week,AM,71,79
333386,Week,PM,14,9
333386,Week,PM,16,2
333386,Week,PM,19,3
333386,Week,PM,20,4
333386,Week,PM,21,57
333386,Week,PM,38,1
333386,Week,PM,40,4
333386,Week,PM,46,7
333386,Week,PM,71,1
333386,Weekend,AM,14,16
333386,Weekend,AM,16,4
333386,Weekend,AM,17,2
333386,Weekend,AM,19,8
333386,Weekend,AM,20,50
333386,Weekend,AM,21,176
333386,Weekend,AM,38,92
333386,Weekend,AM,40,32
333386,Weekend,AM,46,5
333386,Weekend,AM,71,7
333386,Weekend,PM,14,2
333386,Weekend,PM,20,5
333386,Weekend,PM,38,2
333386,Weekend,PM,40,7
333386,Weekend,PM,46,3
333733,Week,PM,14,915
333733,Week,PM,16,31
333733,Week,PM,17,116
333733,Week,PM,19,1
333733,Week,PM,20,103
333733,Week,PM,31,354
333733,Week,PM,37,1
333733,Week,PM,38,12
333733,Week,PM,40,62
333733,Week,PM,42,330
333733,Week,PM,46,34
333733,Week,PM,47,193
333733,Week,PM,69,552
333733,Week,PM,71,26
333733,Weekend,AM,14,1
333733,Weekend,AM,40,3
333733,Weekend,AM,46,1
333733,Weekend,AM,71,2
333733,Weekend,PM,14,87
333733,Weekend,PM,16,7
333733,Weekend,PM,17,10
333733,Weekend,PM,20,5
333733,Weekend,PM,31,14
333733,Weekend,PM,37,19
333733,Weekend,PM,38,41
333733,Weekend,PM,40,21
333733,Weekend,PM,42,7
333733,Weekend,PM,46,5
333733,Weekend,PM,47,8
333733,Weekend,PM,69,12
333733,Weekend,PM,71,8
337778,Week,AM,14,42
337778,Week,AM,16,69
337778,Week,AM,17,16
337778,Week,AM,19,31
337778,Week,AM,20,85
337778,Week,AM,21,267
337778,Week,AM,37,261
337778,Week,AM,38,251
337778,Week,AM,40,38
337778,Week,AM,42,3
337778,Week,AM,46,198
337778,Week,AM,71,146
337778,Week,PM,14,53
337778,Week,PM,16,52
337778,Week,PM,17,17
337778,Week,PM,19,43
337778,Week,PM,20,91
337778,Week,PM,21,132
337778,Week,PM,31,2
337778,Week,PM,37,418
337778,Week,PM,38,313
337778,Week,PM,40,69
337778,Week,PM,42,4
337778,Week,PM,46,157
337778,Week,PM,69,3
337778,Week,PM,71,147
337778,Weekend,AM,14,15
337778,Weekend,AM,16,16
337778,Weekend,AM,17,4
337778,Weekend,AM,19,12
337778,Weekend,AM,20,25
337778,Weekend,AM,21,4
337778,Weekend,AM,31,2
337778,Weekend,AM,37,46
337778,Weekend,AM,38,79
337778,Weekend,AM,40,35
337778,Weekend,AM,46,20
337778,Weekend,AM,71,104
337778,Weekend,PM,14,4
337778,Weekend,PM,16,5
337778,Weekend,PM,17,4
337778,Weekend,PM,19,7
337778,Weekend,PM,20,11
337778,Weekend,PM,37,52
337778,Weekend,PM,38,42
337778,Weekend,PM,40,12
337778,Weekend,PM,46,13
337778,Weekend,PM,71,24
340051,Week,AM,14,1469
340051,Week,AM,16,12
340051,Week,AM,17,11
340051,Week,AM,19,35
340051,Week,AM,20,34
340051,Week,AM,21,33
340051,Week,AM,31,1096
340051,Week,AM,40,322
340051,Week,AM,46,90
340051,Week,AM,47,174
340051,Week,AM,69,1
340051,Week,AM,71,10
340051,Week,PM,14,180
340051,Week,PM,16,28
340051,Week,PM,17,2
340051,Week,PM,19,17
340051,Week,PM,20,19
340051,Week,PM,31,93
340051,Week,PM,38,2
340051,Week,PM,40,106
340051,Week,PM,46,150
340051,Week,PM,47,9
340051,Week,PM,71,3
340051,Weekend,AM,14,146
340051,Weekend,AM,16,5
340051,Weekend,AM,17,9
340051,Weekend,AM,19,19
340051,Weekend,AM,20,15
340051,Weekend,AM,31,6
340051,Weekend,AM,40,116
340051,Weekend,AM,46,63
340051,Weekend,AM,47,9
340051,Weekend,AM,69,1
340051,Weekend,AM,71,6
340051,Weekend,PM,14,231
340051,Weekend,PM,16,11
340051,Weekend,PM,17,3
340051,Weekend,PM,19,32
340051,Weekend,PM,20,3
340051,Weekend,PM,31,32
340051,Weekend,PM,40,26
340051,Weekend,PM,46,71
340051,Weekend,PM,47,8
340051,Weekend,PM,69,2
341298,Week,AM,14,83
341298,Week,AM,16,4
341298,Week,AM,17,5
341298,Week,AM,19,5
341298,Week,AM,20,5
341298,Week,AM,21,3
341298,Week,AM,31,82
341298,Week,AM,38,6
341298,Week,AM,42,9
341298,Week,AM,46,69
341298,Week,AM,47,35
341298,Week,AM,69,82
