issuer_code,vcount,dcount,avgcount
349570,7948,161,49.3664596273291925
351274,6865,147,46.7006802721088435
353486,3572,77,46.3896103896103896
346105,7301,158,46.2088607594936709
356304,7623,172,44.3197674418604651
347489,8551,193,44.3056994818652850
347687,7110,163,43.6196319018404908
358194,7315,168,43.5416666666666667
355134,5600,130,43.0769230769230769
357792,7155,169,42.3372781065088757
358623,8433,204,41.3382352941176471
349481,5810,141,41.2056737588652482
357783,7578,188,40.3085106382978723
357360,7207,179,40.2625698324022346
354098,6471,162,39.9444444444444444
355538,5782,145,39.8758620689655172
346346,6507,164,39.6768292682926829
353070,5633,144,39.1180555555555556
346330,5986,155,38.6193548387096774
340051,5905,153,38.5947712418300654
356225,6515,169,38.5502958579881657
358128,6543,170,38.4882352941176471
354084,6637,173,38.3641618497109827
350433,6608,173,38.1965317919075145
352079,5909,155,38.1225806451612903
358117,5748,151,38.0662251655629139
351929,6726,178,37.7865168539325843
342966,5301,141,37.5957446808510638
352950,5358,144,37.2083333333333333
357735,6171,167,36.9520958083832335
345221,5424,147,36.8979591836734694
353194,5032,137,36.7299270072992701
355567,5753,157,36.6433121019108280
357724,5856,160,36.6000000000000000
356484,5657,155,36.4967741935483871
352946,4180,115,36.3478260869565217
345238,5009,138,36.2971014492753623
351280,4783,132,36.2348484848484848
355220,5961,165,36.1272727272727273
358119,4973,138,36.0362318840579710
351997,5613,157,35.7515923566878981
358600,7028,197,35.6751269035532995
355224,5912,167,35.4011976047904192
356964,3716,105,35.3904761904761905
331510,3663,104,35.2211538461538462
358948,5651,161,35.0993788819875776
357073,5790,165,35.0909090909090909
357338,6803,194,35.0670103092783505
355156,4695,134,35.0373134328358209
330692,5112,146,35.0136986301369863
358204,5391,154,35.0064935064935065
357736,6184,177,34.9378531073446328
355710,5327,153,34.8169934640522876
353424,4489,129,34.7984496124031008
354125,5323,153,34.7908496732026144
349850,5527,159,34.7610062893081761
357088,6112,176,34.7272727272727273
341298,4790,138,34.7101449275362319
356512,4789,138,34.7028985507246377
358617,6379,184,34.6684782608695652
355497,4691,136,34.4926470588235294
346381,5909,172,34.3546511627906977
357771,5768,168,34.3333333333333333
355283,5315,155,34.2903225806451613
355691,4136,121,34.1818181818181818
352070,4886,143,34.1678321678321678
345275,6552,192,34.1250000000000000
356261,5316,156,34.0769230769230769
344778,6677,197,33.8934010152284264
337778,4811,142,33.8802816901408451
350423,5378,159,33.8238993710691824
353408,2266,67,33.8208955223880597
358570,5518,164,33.6463414634146341
357721,4369,130,33.6076923076923077
353508,6473,193,33.5388601036269430
353069,5253,157,33.4585987261146497
330001,5014,150,33.4266666666666667
358214,5711,171,33.3976608187134503
