violation_code,count
4,257
8,571
9,862
10,6183
11,979
12,1
13,7034
14,147044
16,43214
17,14716
18,4150
19,23267
20,47577
21,83477
23,585
24,2172
25,2
26,48
27,6
28,2
31,53427
32,8
33,1
34,8
35,1254
37,44059
38,69652
39,837
40,38812
42,19297
43,98
44,1
45,46
46,30253
47,27114
48,10974
49,81
50,5845
51,3421
52,35
53,4417
55,1
59,47
60,1253
61,695
62,31
64,4533
66,544
67,386
68,342
69,55237
70,9152
71,20828
72,187
73,390
74,2876
75,332
77,931
79,49
80,14
81,13
82,4190
83,1342
84,12768
86,1
89,672
91,2
98,129
