issuer_code,violation_category,violation_time_bucket,count
330001,1,2,1
330001,1,3,15
330001,1,5,88
330001,1,6,41
330001,2,1,423
330001,2,2,613
330001,2,3,645
330001,2,4,820
330001,2,5,513
330001,2,6,337
330001,2,7,148
330001,2,8,148
330001,2,9,144
330001,2,10,102
330001,2,11,50
330001,2,12,1
330001,3,1,28
330001,3,2,103
330001,3,3,81
330001,3,4,137
330001,3,5,114
330001,3,6,67
330001,3,7,11
330001,3,8,15
330001,3,9,20
330001,3,10,8
330001,3,11,1
330001,4,4,2
330001,4,5,2
330001,4,6,1
330001,5,1,19
330001,5,2,38
330001,5,3,25
330001,5,4,43
330001,5,5,32
330001,5,6,22
330001,5,7,5
330001,5,8,3
330001,5,9,8
330001,5,10,6
330001,5,11,1
330198,1,2,64
330198,1,3,292
330198,1,4,510
330198,1,5,174
330198,1,6,741
330198,1,7,136
330198,2,1,8
330198,2,2,276
330198,2,3,258
330198,2,4,231
330198,2,5,228
330198,2,6,297
330198,2,7,170
330198,2,8,82
330198,2,9,130
330198,2,10,89
330198,2,11,77
330198,2,12,23
330198,3,1,1
330198,3,2,30
330198,3,3,33
330198,3,4,43
330198,3,5,52
330198,3,6,28
330198,3,7,34
330198,3,8,12
330198,3,9,5
330198,3,10,8
330198,3,11,4
330198,3,12,1
330198,4,3,10
330198,4,4,8
330198,4,5,45
330198,4,6,49
330198,4,7,32
330198,4,8,21
330198,4,9,20
330198,4,10,16
330198,4,11,15
330198,4,12,7
330198,5,2,57
330198,5,3,107
330198,5,4,232
330198,5,5,250
330198,5,6,163
330198,5,7,137
330198,5,8,62
330198,5,9,42
330198,5,10,31
330198,5,11,22
330198,5,12,6
330291,1,1,2
330291,1,2,344
330291,1,3,691
330291,1,4,148
330291,1,5,16
330291,1,6,553
330291,1,7,20
330291,2,1,294
330291,2,2,416
330291,2,3,234
330291,2,4,358
330291,2,5,144
330291,2,6,73
330291,2,7,20
330291,2,8,12
330291,2,9,26
330291,2,10,7
330291,2,11,1
330291,3,1,118
330291,3,2,71
330291,3,3,63
330291,3,4,251
330291,3,5,108
330291,3,6,77
330291,3,7,7
330291,3,8,24
330291,3,9,24
330291,3,10,10
330291,3,11,1
330291,4,9,1
330291,5,1,22
330291,5,2,28
330291,5,3,91
330291,5,4,109
330291,5,5,12
330291,5,6,23
330291,5,7,1
330291,5,8,38
330291,5,9,20
330291,5,10,6
330291,5,11,3
330291,6,1,4
330692,1,2,1
330692,1,3,13
330692,1,4,19
330692,1,5,134
330692,1,6,82
330692,1,7,7
330692,2,1,259
330692,2,2,601
330692,2,3,490
330692,2,4,593
330692,2,5,332
330692,2,6,157
330692,2,7,94
330692,2,8,158
330692,2,9,176
330692,2,10,126
330692,2,11,26
330692,2,12,1
330692,3,1,23
330692,3,2,50
330692,3,3,93
330692,3,4,158
330692,3,5,110
330692,3,6,50
330692,3,7,19
330692,3,8,38
330692,3,9,34
330692,3,10,12
330692,3,11,2
330692,4,2,2
330692,4,3,7
330692,4,4,28
330692,4,5,25
330692,4,6,14
330692,4,7,3
330692,4,8,17
330692,4,9,13
330692,4,10,4
330692,4,11,3
330692,5,1,21
330692,5,2,121
330692,5,3,165
330692,5,4,245
330692,5,5,180
330692,5,6,62
330692,5,7,25
330692,5,8,48
330692,5,9,62
330692,5,10,30
330692,5,11,5
331220,1,1,89
331220,1,2,144
331220,1,3,124
331220,1,4,106
331220,1,5,16
331220,1,6,3
331220,2,1,214
331220,2,2,253
331220,2,3,265
331220,2,4,175
331220,2,5,163
331220,2,6,151
331220,2,7,77
331220,2,8,81
331220,2,9,72
331220,2,10,67
331220,2,11,35
331220,2,12,12
331220,3,1,73
331220,3,2,104
331220,3,3,70
