issuer_code,vcount,dcount
0,899,251
24,6,5
107,1,1
146,4,4
190,1,1
365,5,4
496,4,1
868,2,2
1368,1,1
1692,1,1
1895,1,1
3484,9,8
3489,1,1
5410,1,1
10030,1,1
10125,1,1
13096,18,11
13103,1,1
13105,5,4
14319,1,1
15007,1,1
17788,1,1
18418,2,2
21420,1,1
26780,1,1
27177,1,1
31781,1,1
32532,1,1
34323,1,1
39855,9,7
39858,1,1
39885,1,1
40462,1,1
41494,1,1
41994,14,13
41995,28,24
42214,1,1
42250,2,1
42700,2,2
42737,1,1
43039,1,1
43130,1,1
43161,1,1
43209,1,1
43224,3,3
43229,1,1
43246,2,1
43267,3,2
43462,3,1
43465,1,1
43474,1,1
44207,1,1
44222,1,1
44231,3,1
44260,1,1
44395,1,1
44400,2,2
44442,1,1
44457,1,1
44462,1,1
44662,1,1
44679,2,2
44718,1,1
44886,1,1
44902,1,1
44903,3,1
44907,1,1
44923,14,8
44937,18,11
44968,1,1
44973,1,1
44984,1,1
44987,1,1
44988,1,1
45007,2,2
45010,1,1
45318,1,1
45352,1,1
45361,2,2
45386,1,1
45402,2,2
45432,1,1
47207,1,1
47276,1,1
47365,1,1
47392,1,1
47404,1,1
48212,1,1
49937,2,1
50911,1,1
51586,1,1
52911,108,60
54801,1,1
59643,4,1
59693,1,1
65410,2,2
74347,1,1
83384,1,1
86199,1,1
86380,15,9
86464,2,1
86502,3,3
86554,4,4
86557,1,1
86564,1,1
86596,2,2
86597,6,6
86620,1,1
86679,3,1
86684,1,1
86715,1,1
86745,1,1
86749,1,1
86750,1,1
86774,1,1
86792,1,1
86794,1,1
86808,1,1
90665,1,1
91813,1,1
91890,1,1
92672,1,1
93392,1,1
94494,1,1
94877,1,1
95746,1,1
95969,2,2
99650,1,1
100004,6,6
100022,1,1
100029,2,1
100030,1,1
100043,2,2
100045,1,1
100074,3,1
100145,1,1
100171,1,1
100195,3,2
100246,1,1
100258,1,1
100356,8,8
100384,2,1
100387,2,2
100433,2,2
100449,1,1
100462,1,1
100558,1,1
100633,1,1
100639,3,1
100642,100,40
100685,6,1
100701,3,2
100716,1,1
100718,3,3
100721,1,1
100743,9,8
100749,3,3
100752,1,1
100760,1,1
100771,1,1
100780,1,1
100781,9,8
100784,7,7
100786,1,1
100788,10,7
100789,2,1
100790,1,1
100798,1,1
100827,7,7
100831,2,2
100832,3,2
100847,1,1
100867,2,2
100868,1,1
100871,3,2
100888,1,1
100895,32,25
100900,1,1
100920,11,7
100926,16,9
100940,5,4
100944,1,1
100946,3,3
100949,1,1
100954,1,1
100961,3,2
100971,1,1
100974,2,2
100989,1,1
100992,1,1
101001,1,1
101004,46,16
101015,2,2
101027,43,20
101029,68,37
101030,10,9
101033,2,2
101044,1,1
101045,2,2
101048,4,3
101053,1,1
101073,3,2
101078,1,1
101080,1,1
101084,1,1
101085,2,2
101097,7,6
101105,48,36
101113,2,2
101118,4,3
101125,1,1
101126,1,1
101136,5,5
101158,1,1
101176,1,1
101182,1,1
101207,2,2
101212,2,1
103098,1,1
103205,1,1
103233,2,2
103380,1,1
